document,actual,labeled,atheism,hockey,apple hardware,for sale,guns,electronics
530,rec.sport.hockey,hockey,82,151,45,78,80,67
531,rec.sport.hockey,hockey,280,547,121,241,311,225
532,rec.sport.hockey,hockey,27,284,38,19,69,37
533,rec.sport.hockey,hockey,25,35,23,34,22,26
534,rec.sport.hockey,hockey,55,79,27,45,52,44
535,rec.sport.hockey,hockey,72,101,37,56,80,70
536,rec.sport.hockey,hockey,48,82,21,44,46,40
537,rec.sport.hockey,hockey,31,72,18,44,34,33
538,rec.sport.hockey,hockey,47,85,21,58,42,40
539,rec.sport.hockey,hockey,32,67,14,28,31,32
540,rec.sport.hockey,hockey,31,87,16,18,30,15
541,rec.sport.hockey,hockey,27,42,15,34,16,22
542,rec.sport.hockey,hockey,30,44,21,39,24,23
543,rec.sport.hockey,hockey,6,57,10,6,18,6
544,rec.sport.hockey,hockey,31,66,25,36,34,35
545,rec.sport.hockey,hockey,27,56,14,18,27,23
546,rec.sport.hockey,hockey,32,65,28,42,45,38
547,rec.sport.hockey,hockey,87,102,41,73,83,75
548,rec.sport.hockey,hockey,44,55,16,42,39,37
549,rec.sport.hockey,hockey,156,213,50,111,135,114
550,rec.sport.hockey,hockey,38,114,23,27,40,22
551,rec.sport.hockey,hockey,167,233,84,128,166,122
552,rec.sport.hockey,hockey,47,125,33,64,60,37
553,rec.sport.hockey,hockey,41,75,24,60,37,28
554,rec.sport.hockey,hockey,114,243,61,114,116,98
555,rec.sport.hockey,hockey,132,207,51,103,107,94
556,rec.sport.hockey,hockey,51,107,26,26,53,49
557,rec.sport.hockey,hockey,84,132,49,58,91,91
558,rec.sport.hockey,hockey,33,107,49,37,50,46
559,rec.sport.hockey,hockey,55,103,28,41,55,45
560,rec.sport.hockey,hockey,21,93,25,25,39,22
561,rec.sport.hockey,hockey,24,47,25,38,27,26
562,rec.sport.hockey,hockey,88,234,45,81,101,89
563,rec.sport.hockey,hockey,53,128,23,42,41,41
564,rec.sport.hockey,hockey,32,53,22,44,30,27
565,rec.sport.hockey,hockey,20,195,21,28,25,18
566,rec.sport.hockey,hockey,91,107,37,94,81,70
567,rec.sport.hockey,hockey,24,60,21,38,27,33
568,rec.sport.hockey,hockey,72,85,27,43,56,51
569,rec.sport.hockey,hockey,29,59,14,32,17,26
570,rec.sport.hockey,hockey,55,66,19,51,40,42
571,rec.sport.hockey,hockey,84,188,38,63,68,65
572,rec.sport.hockey,hockey,41,81,30,53,55,48
573,rec.sport.hockey,hockey,15,31,22,21,16,26
574,rec.sport.hockey,hockey,48,105,35,52,50,31
575,rec.sport.hockey,hockey,76,124,42,84,69,65
576,rec.sport.hockey,hockey,19,48,17,23,17,21
577,rec.sport.hockey,hockey,19,30,13,21,18,21
578,rec.sport.hockey,hockey,9,32,11,13,7,10
579,rec.sport.hockey,hockey,28,47,20,34,20,28
580,rec.sport.hockey,hockey,25,48,20,29,28,27
581,rec.sport.hockey,hockey,47,84,22,30,52,33
582,rec.sport.hockey,hockey,34,102,37,44,39,38
583,rec.sport.hockey,hockey,257,671,150,212,299,236
584,rec.sport.hockey,hockey,86,244,57,65,95,62
585,rec.sport.hockey,hockey,48,322,27,15,56,39
586,rec.sport.hockey,hockey,27,100,26,26,24,24
587,rec.sport.hockey,hockey,101,277,76,83,108,75
588,rec.sport.hockey,hockey,17,45,14,16,14,15
589,rec.sport.hockey,hockey,55,122,52,82,64,68
590,rec.sport.hockey,hockey,46,112,22,35,38,34
591,rec.sport.hockey,hockey,38,98,30,40,42,43
592,rec.sport.hockey,hockey,39,66,26,43,43,31
593,rec.sport.hockey,hockey,47,94,22,36,43,32
594,rec.sport.hockey,hockey,19,37,25,15,22,25
595,rec.sport.hockey,hockey,21,31,20,24,20,15
596,rec.sport.hockey,hockey,46,82,38,31,43,40
597,rec.sport.hockey,atheism,74,70,40,66,60,62
598,rec.sport.hockey,hockey,38,48,25,31,31,33
599,rec.sport.hockey,hockey,47,75,17,44,36,32
600,talk.politics.guns,guns,71,49,23,40,150,54
601,talk.politics.guns,guns,293,202,88,175,722,214
602,talk.politics.guns,guns,61,50,40,54,150,59
603,talk.politics.guns,guns,781,486,294,331,1620,538
604,talk.politics.guns,guns,68,70,40,81,128,51
605,talk.politics.guns,for sale,18,20,18,26,23,22
606,talk.politics.guns,guns,111,63,41,71,219,76
607,talk.politics.guns,electronics,7,12,13,15,9,17
608,talk.politics.guns,atheism,108,60,44,104,100,78
609,talk.politics.guns,guns,58,31,25,48,68,43
610,talk.politics.guns,for sale,56,30,26,72,56,38
611,talk.politics.guns,for sale,38,36,30,71,54,32
612,talk.politics.guns,guns,50,33,39,70,78,37
613,talk.politics.guns,for sale,26,29,21,44,25,24
614,talk.politics.guns,guns,22,20,22,23,24,15
615,talk.politics.guns,for sale,23,13,19,54,42,23
616,talk.politics.guns,guns,46,36,18,46,98,47
617,talk.politics.guns,guns,62,37,47,66,128,43
618,talk.politics.guns,guns,58,43,27,49,85,42
619,talk.politics.guns,guns,86,85,47,94,171,69
620,talk.politics.guns,electronics,60,46,30,62,62,79
621,talk.politics.guns,atheism,22,11,15,19,22,21
622,talk.politics.guns,guns,111,76,39,59,262,79
623,talk.politics.guns,guns,89,56,58,87,116,69
624,talk.politics.guns,guns,80,45,41,55,89,44
625,talk.politics.guns,guns,80,30,29,40,117,52
626,talk.politics.guns,guns,133,79,39,84,263,98
627,talk.politics.guns,guns,120,62,49,68,223,79
628,talk.politics.guns,guns,54,39,22,34,122,41
629,talk.politics.guns,guns,170,105,103,150,305,156
630,talk.politics.guns,guns,35,23,14,31,62,27
631,talk.politics.guns,guns,46,34,19,49,93,33
632,talk.politics.guns,guns,89,58,41,66,140,60
633,talk.politics.guns,guns,137,89,68,129,267,116
634,talk.politics.guns,guns,46,42,31,40,70,34
635,talk.politics.guns,guns,59,33,41,64,85,47
636,talk.politics.guns,guns,35,25,20,33,54,34
637,talk.politics.guns,guns,44,29,32,53,61,47
638,talk.politics.guns,guns,54,59,50,71,131,52
639,talk.politics.guns,guns,91,47,57,72,138,94
640,talk.politics.guns,guns,48,25,29,37,59,38
641,talk.politics.guns,guns,49,33,28,66,83,43
642,talk.politics.guns,guns,33,35,20,34,60,34
643,talk.politics.guns,guns,79,69,65,55,154,63
644,talk.politics.guns,guns,67,50,28,45,110,47
645,talk.politics.guns,guns,117,73,50,85,206,117
646,talk.politics.guns,guns,109,56,47,81,151,91
647,talk.politics.guns,guns,52,39,37,60,61,51
648,talk.politics.guns,guns,18,22,20,18,48,22
649,talk.politics.guns,guns,53,23,29,63,86,42
650,talk.politics.guns,guns,30,19,22,29,40,24
651,talk.politics.guns,for sale,77,60,35,78,74,74
652,talk.politics.guns,guns,49,32,21,52,54,48
653,talk.politics.guns,guns,139,88,61,115,221,93
654,talk.politics.guns,guns,55,36,19,54,113,36
655,talk.politics.guns,guns,187,217,77,190,430,152
656,talk.politics.guns,guns,88,51,38,82,131,64
657,talk.politics.guns,guns,87,56,33,59,195,72
658,talk.politics.guns,guns,90,63,39,66,194,74
659,talk.politics.guns,guns,145,85,49,100,290,139
660,talk.politics.guns,guns,160,101,77,122,296,100
661,talk.politics.guns,guns,64,45,30,62,104,60
662,talk.politics.guns,guns,41,25,13,26,94,32
663,talk.politics.guns,guns,63,56,27,45,137,50
664,talk.politics.guns,atheism,89,45,19,68,81,61
665,talk.politics.guns,guns,96,61,39,77,108,80
666,talk.politics.guns,guns,39,38,21,39,81,41
667,talk.politics.guns,guns,98,66,45,74,137,67
668,talk.politics.guns,guns,72,55,35,48,92,54
669,talk.politics.guns,guns,24,20,15,23,35,24
670,talk.politics.guns,guns,30,19,20,23,81,22
671,talk.politics.guns,guns,63,50,28,48,96,51
672,talk.politics.guns,guns,202,97,74,98,320,124
673,talk.politics.guns,guns,53,19,30,55,62,41
674,talk.politics.guns,guns,117,76,48,122,201,92
675,talk.politics.guns,guns,366,182,115,182,531,213
676,talk.politics.guns,guns,58,50,30,47,157,63
677,talk.politics.guns,guns,202,121,56,217,226,130
678,talk.politics.guns,guns,191,120,81,185,425,185
679,talk.politics.guns,guns,49,29,24,48,84,30
680,talk.politics.guns,guns,73,52,40,72,167,52
681,talk.politics.guns,guns,142,103,80,110,299,129
682,talk.politics.guns,guns,77,30,31,35,102,37
683,talk.politics.guns,guns,175,99,117,127,339,163
684,talk.politics.guns,for sale,14,19,22,51,36,19
685,talk.politics.guns,guns,179,115,68,144,332,151
686,talk.politics.guns,guns,151,82,62,146,301,145
687,talk.politics.guns,guns,35,33,26,38,54,29
688,talk.politics.guns,guns,143,80,53,98,225,96
689,talk.politics.guns,guns,36,49,29,34,62,37
690,talk.politics.guns,guns,312,157,119,203,441,186
691,talk.politics.guns,guns,33,18,21,27,73,21
692,talk.politics.guns,guns,92,69,41,131,142,62
693,talk.politics.guns,guns,254,146,82,156,377,154
694,talk.politics.guns,guns,42,15,14,13,48,20
695,talk.politics.guns,guns,36,40,26,41,102,43
696,talk.politics.guns,guns,55,45,41,50,137,52
697,talk.politics.guns,guns,179,96,61,102,272,115
698,talk.politics.guns,for sale,38,28,30,75,31,29
699,talk.politics.guns,for sale,40,38,27,67,62,28
700,talk.politics.guns,for sale,46,25,31,62,39,27
701,talk.politics.guns,guns,58,39,26,78,103,44
702,talk.politics.guns,guns,107,54,46,104,185,71
703,talk.politics.guns,for sale,24,18,22,57,20,24
704,talk.politics.guns,guns,99,111,74,78,224,94
705,talk.politics.guns,guns,103,65,47,92,201,84
706,talk.politics.guns,guns,46,46,37,59,87,46
707,talk.politics.guns,guns,68,52,35,61,145,60
708,talk.politics.guns,guns,39,30,13,34,85,31
709,talk.politics.guns,guns,42,32,12,39,69,39
710,talk.politics.guns,guns,237,151,95,204,385,200
711,talk.politics.guns,guns,32,25,14,29,62,29
712,talk.politics.guns,guns,159,94,66,106,244,121
713,talk.politics.guns,guns,89,52,54,79,163,65
714,talk.politics.guns,guns,28,21,14,20,54,29
715,talk.politics.guns,guns,25,25,20,32,42,40
716,talk.politics.guns,guns,22,19,18,24,30,26
717,talk.politics.guns,guns,162,86,70,115,293,93
718,talk.politics.guns,guns,125,71,69,80,218,88
719,talk.politics.guns,guns,70,54,43,92,93,54
720,talk.politics.guns,guns,71,47,29,48,118,57
721,talk.politics.guns,guns,74,42,34,59,155,78
722,talk.politics.guns,guns,199,156,97,159,390,190
723,talk.politics.guns,guns,86,53,30,50,127,69
724,talk.politics.guns,guns,60,39,32,93,131,54
725,talk.politics.guns,guns,124,72,53,141,162,86
726,talk.politics.guns,guns,32,32,31,34,63,25
727,talk.politics.guns,guns,120,50,46,69,196,71
728,talk.politics.guns,guns,169,126,76,193,280,137
729,talk.politics.guns,guns,114,63,54,93,229,104
730,talk.politics.guns,guns,35,25,21,37,47,36
731,talk.politics.guns,guns,71,50,24,64,101,46
732,talk.politics.guns,guns,104,58,44,75,192,64
733,talk.politics.guns,guns,178,91,68,161,258,116
734,talk.politics.guns,for sale,79,62,46,121,89,59
735,talk.politics.guns,guns,61,40,26,59,144,67
736,talk.politics.guns,guns,53,34,27,48,84,41
737,talk.politics.guns,guns,29,17,15,34,38,18
738,talk.politics.guns,guns,153,86,50,158,240,104
739,talk.politics.guns,guns,81,48,46,79,139,60
740,talk.politics.guns,guns,178,91,73,114,335,137
741,talk.politics.guns,guns,69,38,31,67,114,49
742,talk.politics.guns,guns,142,97,52,145,251,114
743,talk.politics.guns,guns,74,54,35,56,156,59
744,talk.politics.guns,guns,258,145,109,198,474,180
745,talk.politics.guns,guns,76,46,21,60,135,46
746,talk.politics.guns,guns,25,28,15,39,46,30
747,talk.politics.guns,guns,181,75,56,181,261,130
748,talk.politics.guns,guns,98,78,51,117,150,93
749,talk.politics.guns,guns,72,50,32,65,124,53
750,talk.politics.guns,for sale,167,114,43,250,203,87
751,talk.politics.guns,for sale,104,65,45,130,98,63
752,talk.politics.guns,guns,81,51,46,56,155,64
753,talk.politics.guns,guns,37,26,24,32,60,24
754,talk.politics.guns,atheism,35,10,18,32,33,24
755,talk.politics.guns,guns,69,37,39,67,84,66
756,talk.politics.guns,guns,96,76,62,115,219,87
757,talk.politics.guns,guns,65,35,24,57,120,46
758,talk.politics.guns,guns,51,41,23,59,79,38
759,talk.politics.guns,guns,88,65,31,104,119,53
760,talk.politics.guns,guns,95,53,42,99,155,68
761,talk.politics.guns,guns,177,114,94,246,259,145
762,talk.politics.guns,guns,72,60,44,48,128,60
763,talk.politics.guns,guns,61,38,29,77,85,37
764,talk.politics.guns,guns,26,29,19,27,76,27
765,talk.politics.guns,guns,114,65,47,96,166,73
766,talk.politics.guns,guns,547,331,418,281,1844,481
767,talk.politics.guns,guns,178,106,69,163,248,124
768,talk.politics.guns,guns,95,92,63,88,203,65
769,talk.politics.guns,guns,22,22,10,16,36,16
770,talk.politics.guns,for sale,106,69,59,149,113,71
771,talk.politics.guns,guns,62,37,33,81,129,57
772,talk.politics.guns,guns,158,84,63,142,251,93
773,talk.politics.guns,guns,80,45,27,86,118,53
774,talk.politics.guns,guns,22,26,17,29,37,35
775,talk.politics.guns,for sale,78,47,35,144,77,56
776,talk.politics.guns,for sale,55,44,32,86,72,43
777,talk.politics.guns,guns,79,40,49,67,140,72
778,talk.politics.guns,guns,65,51,24,66,143,65
779,talk.politics.guns,guns,330,219,149,281,500,235
780,talk.politics.guns,guns,109,58,63,79,160,86
781,talk.politics.guns,guns,454,302,189,388,886,410
782,talk.politics.guns,guns,51,28,37,53,106,48
783,talk.politics.guns,guns,18,13,24,16,58,20
784,talk.politics.guns,guns,64,37,37,57,156,58
785,talk.politics.guns,guns,60,47,52,63,116,59
786,talk.politics.guns,guns,28,24,24,29,62,31
787,talk.politics.guns,guns,84,57,48,73,168,67
788,talk.politics.guns,guns,61,27,40,46,66,42
789,talk.politics.guns,guns,86,73,55,76,145,72
790,talk.politics.guns,guns,49,50,35,43,120,50
791,talk.politics.guns,guns,87,62,56,102,171,80
792,talk.politics.guns,guns,58,31,31,53,96,48
793,talk.politics.guns,guns,21,22,18,25,46,22
794,talk.politics.guns,guns,62,47,35,52,97,49
795,talk.politics.guns,guns,73,51,41,61,139,61
796,talk.politics.guns,guns,118,85,64,82,273,85
797,talk.politics.guns,guns,64,64,56,48,130,56
798,talk.politics.guns,guns,113,65,61,109,178,92
799,talk.politics.guns,guns,57,34,24,56,100,46
800,comp.sys.mac.hardware,apple hardware,51,33,88,35,64,64
801,comp.sys.mac.hardware,guns,40,17,40,39,41,33
802,comp.sys.mac.hardware,for sale,27,14,37,39,28,23
803,comp.sys.mac.hardware,apple hardware,30,25,47,30,23,39
804,comp.sys.mac.hardware,apple hardware,48,35,62,43,31,53
805,comp.sys.mac.hardware,apple hardware,15,12,30,15,13,18
806,comp.sys.mac.hardware,apple hardware,23,22,42,18,32,27
807,comp.sys.mac.hardware,apple hardware,22,20,50,21,28,31
808,comp.sys.mac.hardware,apple hardware,8,7,17,13,11,10
809,comp.sys.mac.hardware,for sale,34,30,53,54,42,43
810,comp.sys.mac.hardware,apple hardware,22,23,59,7,20,34
811,comp.sys.mac.hardware,electronics,25,25,38,23,31,46
812,comp.sys.mac.hardware,apple hardware,19,13,35,22,26,27
813,comp.sys.mac.hardware,apple hardware,72,41,85,54,69,83
814,comp.sys.mac.hardware,apple hardware,14,15,23,14,16,15
815,comp.sys.mac.hardware,apple hardware,12,13,21,8,14,14
816,comp.sys.mac.hardware,apple hardware,66,36,107,59,62,84
817,comp.sys.mac.hardware,apple hardware,43,40,63,36,60,41
818,comp.sys.mac.hardware,apple hardware,132,114,158,123,149,133
819,comp.sys.mac.hardware,electronics,8,9,18,15,9,22
820,comp.sys.mac.hardware,atheism,77,39,51,33,72,53
821,comp.sys.mac.hardware,apple hardware,24,16,45,26,15,27
822,comp.sys.mac.hardware,apple hardware,32,18,56,38,24,28
823,comp.sys.mac.hardware,apple hardware,13,14,32,11,12,11
824,comp.sys.mac.hardware,apple hardware,57,33,110,58,67,65
825,comp.sys.mac.hardware,apple hardware,20,20,28,18,12,26
826,comp.sys.mac.hardware,apple hardware,19,13,41,16,21,20
827,comp.sys.mac.hardware,apple hardware,62,30,73,52,64,60
828,comp.sys.mac.hardware,apple hardware,26,14,50,21,25,29
829,comp.sys.mac.hardware,apple hardware,26,29,92,18,31,36
830,comp.sys.mac.hardware,apple hardware,39,34,58,41,32,46
831,comp.sys.mac.hardware,apple hardware,10,12,38,14,12,18
832,comp.sys.mac.hardware,apple hardware,32,24,76,33,39,33
833,comp.sys.mac.hardware,apple hardware,39,27,79,29,38,47
834,comp.sys.mac.hardware,for sale,40,29,57,77,45,42
835,comp.sys.mac.hardware,apple hardware,20,9,28,23,19,24
836,comp.sys.mac.hardware,apple hardware,36,35,72,49,37,54
837,comp.sys.mac.hardware,hockey,11,26,26,10,12,15
838,comp.sys.mac.hardware,hockey,27,34,32,25,26,31
839,comp.sys.mac.hardware,atheism,59,48,53,46,53,57
840,comp.sys.mac.hardware,apple hardware,8,6,28,6,6,15
841,comp.sys.mac.hardware,apple hardware,44,41,76,52,55,49
842,comp.sys.mac.hardware,apple hardware,44,28,74,40,52,50
843,comp.sys.mac.hardware,apple hardware,69,57,93,76,85,65
844,comp.sys.mac.hardware,apple hardware,51,28,66,39,50,63
845,comp.sys.mac.hardware,apple hardware,24,15,59,20,19,25
846,comp.sys.mac.hardware,apple hardware,55,34,95,50,56,56
847,comp.sys.mac.hardware,apple hardware,54,39,137,29,59,108
848,comp.sys.mac.hardware,apple hardware,24,20,54,30,24,37
849,comp.sys.mac.hardware,apple hardware,18,18,33,15,17,20
850,comp.sys.mac.hardware,hockey,20,37,27,26,17,33
851,comp.sys.mac.hardware,apple hardware,25,19,66,19,29,37
852,comp.sys.mac.hardware,apple hardware,26,23,29,26,18,25
853,comp.sys.mac.hardware,apple hardware,32,33,61,29,40,45
854,comp.sys.mac.hardware,apple hardware,20,21,32,22,27,20
855,comp.sys.mac.hardware,apple hardware,41,34,86,36,43,51
856,comp.sys.mac.hardware,apple hardware,36,24,69,26,28,27
857,comp.sys.mac.hardware,apple hardware,24,12,32,17,22,31
858,comp.sys.mac.hardware,apple hardware,14,18,32,16,17,19
859,comp.sys.mac.hardware,apple hardware,41,31,54,31,33,44
860,comp.sys.mac.hardware,apple hardware,64,42,77,56,68,67
861,comp.sys.mac.hardware,apple hardware,59,40,74,51,57,57
862,comp.sys.mac.hardware,apple hardware,20,22,41,20,24,21
863,comp.sys.mac.hardware,apple hardware,27,25,48,25,24,28
864,comp.sys.mac.hardware,apple hardware,128,83,154,121,140,127
865,comp.sys.mac.hardware,apple hardware,17,19,34,33,20,28
866,comp.sys.mac.hardware,apple hardware,42,38,68,63,39,49
867,comp.sys.mac.hardware,apple hardware,46,33,53,50,46,49
868,comp.sys.mac.hardware,apple hardware,37,21,94,28,33,36
869,comp.sys.mac.hardware,apple hardware,13,15,36,11,13,19
870,comp.sys.mac.hardware,atheism,85,41,82,63,65,84
871,comp.sys.mac.hardware,apple hardware,34,31,60,46,40,44
872,comp.sys.mac.hardware,electronics,25,19,31,31,34,35
873,comp.sys.mac.hardware,apple hardware,43,23,56,43,34,40
874,comp.sys.mac.hardware,guns,98,70,83,101,105,72
875,comp.sys.mac.hardware,for sale,25,19,29,33,17,20
876,comp.sys.mac.hardware,apple hardware,21,12,35,17,28,20
877,comp.sys.mac.hardware,electronics,51,36,76,48,60,81
878,comp.sys.mac.hardware,apple hardware,35,26,52,48,43,45
879,comp.sys.mac.hardware,apple hardware,33,28,91,34,43,47
880,comp.sys.mac.hardware,electronics,36,30,28,41,43,52
881,comp.sys.mac.hardware,apple hardware,26,12,36,19,22,35
882,comp.sys.mac.hardware,electronics,44,32,52,38,43,76
883,comp.sys.mac.hardware,electronics,114,84,145,77,93,173
884,comp.sys.mac.hardware,electronics,114,84,145,77,93,173
885,comp.sys.mac.hardware,apple hardware,36,50,58,35,37,52
886,comp.sys.mac.hardware,apple hardware,67,49,115,56,57,70
887,comp.sys.mac.hardware,apple hardware,32,23,54,33,23,32
888,comp.sys.mac.hardware,electronics,29,32,22,39,34,50
889,comp.sys.mac.hardware,guns,79,55,83,88,97,83
890,comp.sys.mac.hardware,apple hardware,21,10,53,15,12,29
891,comp.sys.mac.hardware,apple hardware,9,11,41,16,17,31
892,comp.sys.mac.hardware,electronics,50,29,53,55,45,59
893,comp.sys.mac.hardware,for sale,37,32,49,54,35,43
894,comp.sys.mac.hardware,apple hardware,34,20,54,43,38,33
895,comp.sys.mac.hardware,electronics,50,45,50,47,45,67
896,comp.sys.mac.hardware,apple hardware,154,108,293,131,168,155
897,comp.sys.mac.hardware,apple hardware,22,20,64,27,27,49
898,comp.sys.mac.hardware,apple hardware,51,32,78,41,51,57
899,comp.sys.mac.hardware,apple hardware,53,50,142,53,93,66
900,comp.sys.mac.hardware,apple hardware,60,60,96,55,57,61
901,comp.sys.mac.hardware,apple hardware,23,11,38,18,20,21
902,comp.sys.mac.hardware,electronics,26,24,20,23,23,31
903,comp.sys.mac.hardware,apple hardware,39,21,53,35,45,37
904,comp.sys.mac.hardware,apple hardware,11,19,23,19,13,23
905,comp.sys.mac.hardware,apple hardware,60,58,100,53,61,59
906,comp.sys.mac.hardware,apple hardware,43,28,90,42,40,58
907,comp.sys.mac.hardware,electronics,65,47,69,56,55,95
908,comp.sys.mac.hardware,apple hardware,13,11,27,13,14,15
909,comp.sys.mac.hardware,apple hardware,59,37,136,47,67,65
910,comp.sys.mac.hardware,apple hardware,69,41,83,63,77,77
911,comp.sys.mac.hardware,apple hardware,16,14,37,20,8,11
912,comp.sys.mac.hardware,apple hardware,27,18,49,25,26,47
913,comp.sys.mac.hardware,apple hardware,46,54,79,51,58,48
914,comp.sys.mac.hardware,apple hardware,44,20,88,35,50,53
915,comp.sys.mac.hardware,apple hardware,35,25,70,31,44,58
916,comp.sys.mac.hardware,for sale,37,27,39,40,37,30
917,comp.sys.mac.hardware,apple hardware,44,23,64,55,42,47
918,comp.sys.mac.hardware,for sale,51,33,45,63,52,52
919,comp.sys.mac.hardware,apple hardware,41,25,71,45,30,41
920,comp.sys.mac.hardware,apple hardware,71,59,101,77,83,69
921,comp.sys.mac.hardware,apple hardware,40,17,51,37,51,49
922,comp.sys.mac.hardware,apple hardware,9,8,18,8,11,11
923,comp.sys.mac.hardware,atheism,59,38,56,48,58,53
924,comp.sys.mac.hardware,electronics,76,58,93,67,98,128
925,comp.sys.mac.hardware,apple hardware,41,27,72,29,39,58
926,comp.sys.mac.hardware,apple hardware,14,16,23,19,11,14
927,comp.sys.mac.hardware,apple hardware,75,38,100,47,51,60
928,comp.sys.mac.hardware,apple hardware,23,23,41,26,33,33
929,comp.sys.mac.hardware,apple hardware,50,30,98,42,47,55
930,comp.sys.mac.hardware,for sale,34,30,29,42,33,42
931,comp.sys.mac.hardware,apple hardware,10,14,20,11,8,19
932,comp.sys.mac.hardware,apple hardware,49,28,79,40,39,63
933,comp.sys.mac.hardware,apple hardware,31,32,75,35,50,50
934,comp.sys.mac.hardware,apple hardware,19,16,33,16,23,24
935,comp.sys.mac.hardware,apple hardware,13,15,29,6,12,22
936,comp.sys.mac.hardware,electronics,34,25,48,39,37,49
937,comp.sys.mac.hardware,apple hardware,16,13,27,26,13,22
938,comp.sys.mac.hardware,electronics,31,31,49,32,30,66
939,comp.sys.mac.hardware,apple hardware,18,12,26,16,16,24
940,comp.sys.mac.hardware,apple hardware,12,16,33,14,13,17
941,comp.sys.mac.hardware,apple hardware,39,20,71,34,45,49
942,comp.sys.mac.hardware,apple hardware,6,6,15,3,10,6
943,comp.sys.mac.hardware,apple hardware,21,17,27,18,16,18
944,comp.sys.mac.hardware,apple hardware,35,27,70,37,40,48
945,comp.sys.mac.hardware,apple hardware,63,45,72,52,45,72
946,comp.sys.mac.hardware,apple hardware,40,30,71,34,29,58
947,comp.sys.mac.hardware,apple hardware,40,20,86,33,39,50
948,comp.sys.mac.hardware,electronics,67,42,84,57,52,85
949,comp.sys.mac.hardware,apple hardware,25,22,79,34,49,60
950,comp.sys.mac.hardware,apple hardware,13,20,43,15,23,19
951,comp.sys.mac.hardware,electronics,39,29,59,30,47,82
952,comp.sys.mac.hardware,electronics,36,29,39,32,26,52
953,comp.sys.mac.hardware,electronics,75,44,48,50,61,114
954,comp.sys.mac.hardware,apple hardware,51,26,53,39,42,51
955,comp.sys.mac.hardware,electronics,27,15,26,21,33,36
956,comp.sys.mac.hardware,apple hardware,25,17,54,23,25,29
957,comp.sys.mac.hardware,for sale,6,6,5,8,7,7
958,comp.sys.mac.hardware,apple hardware,68,54,99,58,72,79
959,comp.sys.mac.hardware,apple hardware,14,24,44,20,17,22
960,comp.sys.mac.hardware,apple hardware,12,13,34,15,15,20
961,comp.sys.mac.hardware,electronics,31,27,35,26,29,52
962,comp.sys.mac.hardware,apple hardware,58,27,72,47,48,68
963,comp.sys.mac.hardware,apple hardware,16,15,54,14,25,30
964,comp.sys.mac.hardware,apple hardware,23,14,34,20,26,21
965,comp.sys.mac.hardware,apple hardware,27,21,34,18,27,29
966,comp.sys.mac.hardware,apple hardware,13,9,26,15,12,14
967,comp.sys.mac.hardware,apple hardware,39,30,59,33,40,53
968,comp.sys.mac.hardware,electronics,25,21,24,20,16,49
969,comp.sys.mac.hardware,apple hardware,35,24,56,30,33,27
970,comp.sys.mac.hardware,apple hardware,38,29,72,36,37,35
971,comp.sys.mac.hardware,apple hardware,45,23,83,45,47,53
972,comp.sys.mac.hardware,apple hardware,22,27,34,24,14,26
973,comp.sys.mac.hardware,apple hardware,10,11,32,14,12,18
974,comp.sys.mac.hardware,apple hardware,33,24,46,34,30,29
975,comp.sys.mac.hardware,apple hardware,19,13,23,22,14,16
976,comp.sys.mac.hardware,apple hardware,4,7,8,6,5,6
977,comp.sys.mac.hardware,apple hardware,13,15,29,21,13,19
978,comp.sys.mac.hardware,atheism,55,30,44,53,38,55
979,comp.sys.mac.hardware,apple hardware,20,23,61,38,24,37
980,comp.sys.mac.hardware,apple hardware,34,31,49,46,31,46
981,comp.sys.mac.hardware,apple hardware,14,16,25,12,17,20
982,comp.sys.mac.hardware,apple hardware,82,55,98,85,80,97
983,comp.sys.mac.hardware,apple hardware,35,27,71,35,34,44
984,comp.sys.mac.hardware,apple hardware,35,28,66,42,19,31
985,comp.sys.mac.hardware,apple hardware,68,37,103,62,59,75
986,comp.sys.mac.hardware,apple hardware,73,41,104,65,65,77
987,comp.sys.mac.hardware,apple hardware,63,63,114,64,88,91
988,comp.sys.mac.hardware,for sale,16,23,20,25,10,24
989,comp.sys.mac.hardware,for sale,15,20,18,23,9,22
990,comp.sys.mac.hardware,for sale,26,22,22,32,17,23
991,comp.sys.mac.hardware,apple hardware,17,10,41,16,9,17
992,comp.sys.mac.hardware,apple hardware,53,55,87,54,54,72
993,comp.sys.mac.hardware,apple hardware,47,50,96,45,48,57
994,comp.sys.mac.hardware,apple hardware,21,25,42,19,22,17
995,comp.sys.mac.hardware,apple hardware,23,31,52,30,37,47
996,comp.sys.mac.hardware,electronics,79,47,58,49,84,114
997,comp.sys.mac.hardware,apple hardware,25,12,43,22,25,29
998,comp.sys.mac.hardware,electronics,109,85,94,75,112,171
999,comp.sys.mac.hardware,apple hardware,84,51,131,49,80,91
1000,sci.electronics,electronics,63,54,40,56,60,118
1001,sci.electronics,apple hardware,98,163,275,92,167,148
1002,sci.electronics,electronics,107,73,61,85,96,210
1003,sci.electronics,apple hardware,19,21,29,26,20,22
1004,sci.electronics,apple hardware,15,28,34,26,22,20
1005,sci.electronics,electronics,50,19,25,34,33,91
1006,sci.electronics,hockey,14,25,24,15,11,25
1007,sci.electronics,apple hardware,60,66,123,94,56,86
1008,sci.electronics,electronics,32,37,37,31,21,76
1009,sci.electronics,apple hardware,34,36,91,30,42,80
