document,actual,for sale,hockey,apple hardware,atheism,email filler,university misc,electronics,guns
366,atheism,10.64,9.22,8.51,35.46,8.51,10.64,9.93,7.09
367,atheism,10.62,6.25,7.5,36.25,9.38,8.12,11.25,10.62
368,university misc,8.29,6.63,6.63,22.65,7.73,29.83,7.18,11.05
369,university misc,15.81,6.41,6.84,18.8,10.26,21.79,7.26,12.82
370,email filler,11.36,12.12,9.09,15.15,20.45,11.36,9.09,11.36
371,atheism,28.06,1.46,2.55,42.49,1.53,2.11,2.92,18.88
372,atheism,13.98,5.91,8.6,34.41,6.45,12.37,7.53,10.75
373,atheism,11.03,7.59,7.59,24.14,10.34,21.38,8.97,8.97
374,atheism,22.64,3.89,2.87,55.24,3.55,3.21,3.38,5.24
375,university misc,9.69,5.73,7.05,18.06,11.89,31.72,7.49,8.37
376,atheism,13.91,8.61,10.6,25.17,11.26,12.58,8.61,9.27
377,atheism,7.58,7.58,9.85,37.88,9.09,8.33,10.61,9.09
378,atheism,22.7,3.24,1.98,50.63,3.78,9.55,4.68,3.42
379,atheism,22.69,7.98,5.46,29.83,11.76,9.24,5.88,7.14
380,for sale,21.98,9.89,6.04,14.84,20.88,12.64,6.59,7.14
381,university misc,15.28,8.33,7.64,14.58,15.97,16.67,10.42,11.11
382,atheism,11.35,7.09,7.09,34.04,9.22,17.02,7.09,7.09
383,atheism,11.32,11.32,11.32,20.75,15.09,11.32,9.43,9.43
384,for sale,23.26,7.56,11.05,12.21,13.95,13.95,9.3,8.72
385,atheism,9.78,4.71,5.8,54.71,5.43,6.52,5.43,7.61
386,atheism,11.84,7.89,4.39,36.4,7.46,9.21,6.58,16.23
387,atheism,13.73,5.88,5.88,38.73,9.31,11.27,7.84,7.35
388,email filler,14.69,11.19,9.09,15.38,20.28,9.79,9.09,10.49
389,university misc,11.97,9.4,8.55,14.53,11.11,22.22,11.11,11.11
390,university misc,9.22,7.8,9.22,13.48,14.89,27.66,8.51,9.22
391,atheism,10.92,4.2,6.3,48.32,8.4,5.88,8.4,7.56
392,atheism,11.98,5.53,5.53,43.78,6.45,9.68,5.99,11.06
393,atheism,16.11,7.38,8.72,26.17,11.41,12.08,8.05,10.07
394,atheism,9.76,6.1,8.54,35.98,10.37,12.2,8.54,8.54
395,email filler,13.94,7.88,7.27,19.39,21.82,12.73,6.67,10.3
396,atheism,12.75,5.39,6.37,35.29,11.27,8.33,8.82,11.76
397,atheism,24.12,7.04,7.54,24.62,9.55,9.55,8.04,9.55
398,atheism,11.67,8.33,9.17,19.17,10.83,19.17,8.33,13.33
399,atheism,10.32,6.45,7.74,34.84,11.61,9.03,6.45,13.55
400,atheism,9.86,5.63,7.98,38.03,8.92,7.98,10.33,11.27
401,atheism,16.06,7.34,7.34,35.32,7.34,11.47,6.42,8.72
402,university misc,10.95,11.44,9.45,15.92,14.93,19.4,7.96,9.95
403,atheism,12.63,4.1,6.83,31.4,13.31,9.9,8.53,13.31
404,email filler,12.95,6.25,6.25,20.54,31.25,8.04,6.25,8.48
405,atheism,11.8,7.3,6.74,38.2,8.43,10.11,8.43,8.99
406,atheism,13.4,6.22,8.13,36.36,8.13,8.13,11.0,8.61
407,atheism,8.47,6.21,8.47,45.2,9.04,8.47,5.65,8.47
408,atheism,9.95,5.21,6.16,47.87,8.06,9.95,6.16,6.64
409,atheism,11.05,6.98,11.05,40.7,5.81,9.88,6.98,7.56
410,atheism,20.15,4.56,9.13,33.08,9.51,8.75,10.65,4.18
411,atheism,12.59,9.09,9.09,25.17,9.09,16.08,8.39,10.49
412,atheism,8.33,6.41,9.62,38.46,8.97,10.26,10.26,7.69
413,for sale,30.97,5.75,5.75,12.39,22.12,11.95,5.31,5.75
414,atheism,10.32,7.1,7.1,34.84,10.97,14.84,7.74,7.1
415,atheism,13.91,8.61,7.95,23.84,9.27,17.22,8.61,10.6
416,atheism,8.05,8.05,5.93,39.83,6.36,11.86,4.66,15.25
417,atheism,6.67,5.93,5.56,56.67,8.52,7.78,4.07,4.81
418,atheism,28.26,1.06,1.26,61.2,0.83,0.8,2.71,3.88
419,atheism,18.99,3.03,2.18,58.49,2.86,4.2,4.54,5.71
420,university misc,10.3,7.88,6.06,16.36,7.88,27.88,7.88,15.76
421,atheism,16.5,4.21,5.5,48.54,6.8,7.44,6.47,4.53
422,university misc,10.71,10.71,15.18,15.18,8.93,19.64,9.82,9.82
423,atheism,16.15,5.21,5.73,44.27,6.25,9.9,6.77,5.73
424,university misc,7.75,10.08,10.08,17.05,16.28,20.93,9.3,8.53
425,atheism,14.33,4.14,6.37,48.41,7.96,4.78,7.96,6.05
426,atheism,11.96,7.61,5.07,34.06,10.87,10.87,6.88,12.68
427,university misc,10.0,12.0,10.0,15.0,11.0,18.0,11.0,13.0
428,atheism,12.37,6.7,9.79,37.63,5.67,12.37,7.22,8.25
429,atheism,15.45,8.18,5.91,20.0,16.36,15.0,6.82,12.27
430,atheism,6.7,6.19,8.25,43.81,6.7,10.82,9.28,8.25
431,atheism,12.5,8.93,8.93,25.0,15.18,9.82,9.82,9.82
432,for sale,21.05,12.03,7.52,18.05,8.27,12.03,12.03,9.02
433,atheism,13.66,6.21,8.07,36.65,6.83,11.8,7.45,9.32
434,atheism,7.1,8.28,8.28,39.05,9.47,8.88,6.51,12.43
435,atheism,9.86,7.75,10.56,27.46,9.15,19.01,7.75,8.45
436,atheism,9.88,6.98,7.56,44.77,6.4,8.14,8.14,8.14
437,atheism,18.85,6.54,9.62,25.38,7.31,11.92,13.85,6.54
438,atheism,10.56,4.23,9.15,38.03,3.52,8.1,8.8,17.61
439,atheism,9.93,5.14,9.25,42.12,4.11,8.9,6.51,14.04
440,for sale,27.01,5.84,4.74,20.44,22.63,8.03,5.84,5.47
441,atheism,30.35,2.55,2.13,34.33,2.7,2.7,4.26,20.99
442,atheism,11.11,6.48,5.56,33.8,7.41,14.81,7.87,12.96
443,email filler,10.22,9.49,8.03,11.68,18.98,18.25,10.95,12.41
444,atheism,6.8,8.84,8.16,40.14,10.2,9.52,8.16,8.16
445,atheism,18.7,3.49,3.24,53.12,4.99,4.99,5.24,6.23
446,atheism,6.67,6.15,6.67,44.62,8.21,16.92,5.64,5.13
447,atheism,14.23,4.87,3.75,53.56,4.87,8.24,5.62,4.87
448,atheism,12.33,10.96,9.59,28.08,10.27,13.7,6.85,8.22
449,atheism,16.41,4.69,8.59,41.02,6.64,9.38,8.2,5.08
450,university misc,16.3,7.41,7.41,17.04,7.41,28.15,8.89,7.41
451,university misc,10.49,7.69,7.69,23.08,8.39,27.27,6.99,8.39
452,atheism,8.45,8.45,7.75,26.76,8.45,22.54,9.15,8.45
453,atheism,15.89,5.92,5.92,32.09,7.17,12.77,7.79,12.46
454,university misc,12.99,6.78,6.21,16.95,5.65,32.77,7.91,10.73
455,university misc,14.55,6.67,7.88,20.0,7.27,24.85,7.27,11.52
456,university misc,7.81,7.81,8.59,24.22,8.59,25.0,9.38,8.59
457,university misc,10.53,5.26,6.84,17.37,7.89,33.16,8.95,10.0
458,atheism,15.23,7.28,7.95,25.83,8.61,20.53,7.28,7.28
459,atheism,18.75,3.95,3.29,50.99,5.92,6.91,4.61,5.59
460,atheism,7.75,10.85,9.3,24.03,10.08,17.83,9.3,10.85
461,atheism,15.44,5.26,6.67,37.89,9.47,6.67,11.93,6.67
462,atheism,17.22,3.32,7.05,50.0,3.32,5.39,5.19,8.51
463,atheism,19.03,4.87,6.19,25.66,10.62,13.72,10.62,9.29
464,atheism,13.51,4.36,3.92,51.42,5.01,9.59,6.54,5.66
465,atheism,19.8,6.09,6.09,31.98,5.58,17.26,7.11,6.09
466,atheism,9.17,3.25,5.92,48.22,7.1,10.06,5.92,10.36
467,atheism,17.81,7.31,6.85,25.11,7.31,20.09,8.22,7.31
468,atheism,10.59,4.66,5.93,26.69,5.08,17.8,7.2,22.03
469,atheism,21.25,5.92,4.53,38.33,6.27,9.76,5.57,8.36
470,atheism,14.57,4.86,5.26,29.55,5.67,19.43,8.5,12.15
471,atheism,20.0,7.65,7.65,28.24,10.0,10.0,8.24,8.24
472,atheism,10.26,6.15,8.21,29.74,16.41,10.77,9.23,9.23
473,university misc,9.92,10.69,8.4,11.45,10.69,29.77,9.92,9.16
474,atheism,10.42,6.94,8.33,24.31,9.03,23.61,8.33,9.03
475,university misc,13.79,8.05,9.77,14.94,10.92,24.14,6.9,11.49
476,university misc,12.42,6.83,6.83,19.25,8.7,27.33,6.83,11.8
477,atheism,10.4,8.09,6.36,39.88,8.09,9.25,8.67,9.25
478,atheism,11.45,8.43,6.63,37.95,7.83,13.25,7.23,7.23
479,atheism,11.86,8.47,9.32,28.81,9.32,14.41,9.32,8.47
480,university misc,9.6,8.0,12.8,8.8,16.0,24.8,10.4,9.6
481,email filler,10.14,8.11,8.78,12.16,29.05,12.16,11.49,8.11
482,university misc,9.63,8.15,9.63,8.89,10.37,36.3,9.63,7.41
483,apple hardware,10.42,7.64,23.61,9.72,14.58,15.28,11.81,6.94
484,email filler,6.94,12.72,10.98,8.67,34.68,10.98,7.51,7.51
485,university misc,9.52,11.43,10.48,9.52,18.1,19.05,12.38,9.52
486,email filler,8.8,8.8,12.8,8.0,24.0,15.2,8.0,14.4
487,email filler,18.89,6.11,7.22,11.67,21.67,9.44,9.44,15.56
488,university misc,12.97,9.73,8.11,6.49,16.22,22.7,14.05,9.73
489,electronics,5.04,4.28,12.59,4.03,16.62,7.81,43.32,6.3
490,email filler,10.49,17.48,11.19,11.89,18.88,10.49,9.09,10.49
491,hockey,8.96,18.66,7.46,8.21,16.42,15.67,12.69,11.94
492,email filler,9.77,7.52,16.54,8.27,24.81,12.78,12.03,8.27
493,email filler,8.55,11.11,11.11,8.55,23.08,18.8,10.26,8.55
494,email filler,11.58,5.79,15.26,7.89,26.84,8.95,11.58,12.11
495,email filler,5.98,9.63,12.62,9.63,39.87,7.97,7.97,6.31
496,apple hardware,12.99,8.23,23.81,5.63,19.48,12.55,11.69,5.63
497,email filler,13.25,7.83,15.06,6.63,19.88,11.45,18.67,7.23
498,apple hardware,9.82,8.93,25.0,9.82,15.18,9.82,9.82,11.61
499,email filler,7.43,9.14,15.43,8.57,22.86,17.71,9.71,9.14
500,university misc,8.82,8.82,11.03,8.09,21.32,24.26,8.09,9.56
501,email filler,9.48,8.62,10.34,12.07,18.97,12.07,14.66,13.79
502,email filler,6.87,9.89,8.24,7.42,44.78,6.04,9.89,6.87
503,email filler,14.88,7.74,10.71,13.1,15.48,13.69,11.31,13.1
504,email filler,9.76,9.76,13.82,8.13,21.95,14.63,11.38,10.57
505,university misc,14.67,7.07,7.07,14.13,17.93,23.91,5.98,9.24
506,university misc,9.92,9.09,14.05,11.57,14.05,18.18,9.92,13.22
507,apple hardware,10.59,8.24,18.82,8.82,16.47,15.29,14.71,7.06
508,university misc,17.73,4.55,11.36,15.91,10.45,26.36,6.36,7.27
509,email filler,8.89,8.15,11.85,8.15,30.37,8.89,14.81,8.89
510,email filler,9.62,8.97,10.26,9.62,25.0,10.9,17.95,7.69
511,electronics,13.82,7.89,10.53,10.53,11.84,11.18,20.39,13.82
512,email filler,17.16,5.88,16.67,8.33,20.1,9.8,15.2,6.86
513,apple hardware,15.72,9.43,22.64,8.81,16.35,10.69,9.43,6.92
514,apple hardware,8.63,6.6,28.43,6.09,22.34,12.18,7.61,8.12
515,email filler,13.33,8.15,14.07,10.37,18.52,14.81,11.11,9.63
516,email filler,9.48,10.34,10.34,9.48,26.72,11.21,11.21,11.21
517,email filler,9.09,9.09,12.73,10.0,29.09,10.91,9.09,10.0
518,email filler,9.66,7.39,8.52,5.68,40.34,6.82,15.34,6.25
519,apple hardware,8.6,6.45,27.42,5.91,16.13,20.97,7.53,6.99
520,email filler,6.98,8.14,7.56,7.56,37.79,9.3,15.7,6.98
521,apple hardware,10.11,8.43,32.58,6.18,14.61,11.8,9.55,6.74
522,email filler,8.04,6.53,13.57,9.05,32.66,8.04,10.05,12.06
523,apple hardware,10.92,10.08,20.17,8.4,15.13,15.13,10.08,10.08
524,hockey,9.09,15.91,13.64,8.33,15.91,12.88,12.88,11.36
525,apple hardware,13.51,5.95,22.16,11.35,17.84,8.65,11.89,8.65
526,email filler,8.6,6.45,10.75,5.91,37.63,9.68,14.52,6.45
527,apple hardware,11.76,6.47,29.41,8.24,16.47,11.76,8.82,7.06
528,apple hardware,11.82,7.43,33.11,10.81,10.47,8.11,10.47,7.77
529,apple hardware,7.48,7.87,49.21,5.51,7.09,5.51,9.84,7.48
530,email filler,7.48,11.56,14.97,9.52,19.73,18.37,11.56,6.8
531,email filler,15.57,10.78,11.38,7.78,19.76,12.57,9.58,12.57
532,email filler,9.22,7.09,12.77,8.51,31.21,11.35,9.22,10.64
533,email filler,8.84,9.77,6.98,9.3,29.77,9.77,15.81,9.77
534,university misc,11.36,10.61,9.09,12.12,11.36,21.97,12.12,11.36
535,email filler,11.86,6.19,15.98,8.25,23.2,12.89,14.43,7.22
536,electronics,10.27,7.53,10.27,6.85,10.27,10.96,32.19,11.64
537,apple hardware,12.31,7.69,18.46,10.77,16.92,9.23,12.31,12.31
538,email filler,7.75,8.45,7.75,7.75,29.58,12.68,18.31,7.75
539,university misc,10.16,8.59,12.5,9.38,19.53,21.09,9.38,9.38
540,email filler,10.99,7.85,14.66,7.85,18.32,16.23,13.09,10.99
541,apple hardware,6.85,10.27,25.34,6.85,21.23,10.96,8.9,9.59
542,email filler,5.2,5.2,11.52,9.29,29.0,18.96,10.04,10.78
543,apple hardware,10.92,10.92,17.65,9.24,12.61,16.81,8.4,13.45
544,apple hardware,7.43,13.51,17.57,7.43,17.57,15.54,11.49,9.46
545,email filler,7.53,7.88,14.04,4.11,40.75,8.22,13.36,4.11
546,email filler,8.86,10.13,11.39,8.23,32.28,10.13,7.59,11.39
547,electronics,15.13,6.72,8.12,5.88,14.01,16.25,22.41,11.48
548,email filler,8.62,8.05,8.62,9.2,22.99,11.49,16.09,14.94
549,email filler,9.09,4.78,8.61,6.22,35.41,10.53,9.57,15.79
550,for sale,15.13,14.29,11.76,11.76,13.45,12.61,9.24,11.76
551,apple hardware,16.6,5.53,26.81,8.09,11.91,15.74,6.81,8.51
552,email filler,9.49,13.92,8.23,7.59,29.75,12.03,12.03,6.96
553,email filler,8.22,14.38,12.33,10.96,20.55,15.75,10.27,7.53
554,email filler,13.14,6.86,9.71,12.57,22.86,8.57,8.57,17.71
555,email filler,10.49,9.09,9.79,8.39,21.68,20.98,11.89,7.69
556,email filler,8.11,9.19,8.65,9.73,35.14,11.89,8.65,8.65
557,email filler,10.28,13.08,10.28,11.21,16.82,14.95,13.08,10.28
558,email filler,8.28,6.51,15.38,7.1,20.71,15.38,18.93,7.69
559,email filler,10.06,18.44,7.82,6.15,26.82,10.61,10.06,10.06
560,email filler,8.57,6.94,5.71,6.53,39.18,7.76,13.06,12.24
561,email filler,8.85,16.15,11.46,8.33,23.44,7.29,11.98,12.5
562,apple hardware,9.71,10.19,22.33,4.85,19.9,9.22,17.48,6.31
563,email filler,13.5,5.5,8.5,7.5,24.5,11.5,15.0,14.0
564,apple hardware,6.74,6.22,33.68,5.18,18.65,9.84,9.84,9.84
565,electronics,8.38,10.47,17.28,11.52,11.52,8.9,23.04,8.9
566,electronics,8.77,10.09,14.91,7.89,10.53,15.35,19.3,13.16
567,email filler,15.03,8.5,16.34,8.5,19.61,13.73,9.15,9.15
568,email filler,10.08,13.95,8.53,8.53,20.16,16.28,10.85,11.63
569,email filler,9.41,8.24,15.29,7.06,31.76,9.41,9.41,9.41
570,email filler,10.87,7.97,13.04,7.97,25.36,13.77,10.87,10.14
571,email filler,14.39,10.07,7.91,9.35,18.71,17.99,10.79,10.79
572,email filler,7.73,7.73,16.02,6.63,31.49,8.29,13.26,8.84
573,university misc,11.48,9.02,10.66,12.3,9.84,26.23,10.66,9.84
574,email filler,12.0,9.6,12.0,10.4,24.0,13.6,9.6,8.8
575,email filler,7.24,7.89,19.08,8.55,27.63,13.82,7.89,7.89
576,email filler,6.85,8.9,11.64,7.53,28.08,19.18,10.96,6.85
577,email filler,7.89,8.95,18.42,6.84,29.47,6.84,14.74,6.84
578,email filler,11.86,9.32,14.41,9.32,22.03,11.86,10.17,11.02
579,email filler,11.48,12.3,10.66,9.02,18.85,12.3,10.66,14.75
580,email filler,7.58,11.36,8.33,12.12,29.55,10.61,9.85,10.61
581,email filler,9.25,9.25,19.08,8.09,31.21,10.98,5.78,6.36
582,email filler,11.11,7.84,18.3,7.84,23.53,10.46,11.76,9.15
583,apple hardware,14.06,4.82,30.12,7.23,21.69,8.43,6.83,6.83
584,email filler,13.69,8.33,7.74,10.71,28.57,10.71,10.12,10.12
585,email filler,8.78,9.46,13.51,14.19,20.95,14.19,11.49,7.43
586,email filler,7.54,7.04,7.54,8.54,31.66,13.57,17.59,6.53
587,electronics,8.07,6.83,11.8,7.45,14.91,19.25,22.98,8.7
588,email filler,7.54,13.57,10.05,9.55,20.6,16.58,9.05,13.07
589,apple hardware,8.0,14.4,22.4,9.6,14.4,12.0,9.6,9.6
590,email filler,8.02,12.35,15.43,8.02,20.99,14.81,11.73,8.64
591,apple hardware,9.15,7.75,24.65,8.45,19.01,10.56,9.86,10.56
592,university misc,9.38,11.72,14.84,12.5,14.06,17.97,10.16,9.38
593,apple hardware,10.42,9.03,18.06,8.33,15.97,13.89,13.19,11.11
594,apple hardware,10.67,11.33,27.33,8.67,17.33,7.33,8.0,9.33
595,email filler,16.25,6.88,11.88,6.88,24.38,7.5,19.38,6.88
596,apple hardware,6.75,7.36,36.2,6.75,14.72,7.36,13.5,7.36
597,apple hardware,10.62,7.08,33.19,6.64,17.26,6.19,9.73,9.29
598,apple hardware,8.36,4.9,47.26,8.65,12.39,4.03,6.05,8.36
599,apple hardware,7.27,6.36,43.18,6.36,13.18,6.82,11.36,5.45
600,apple hardware,8.52,7.39,36.93,6.82,13.64,8.52,10.23,7.95
601,apple hardware,10.59,7.2,36.86,9.32,13.56,5.93,7.2,9.32
602,for sale,22.19,8.62,11.23,12.79,14.1,3.66,14.62,12.79
603,email filler,9.63,8.89,10.37,8.15,37.04,9.63,8.89,7.41
604,electronics,11.9,12.7,10.32,12.7,11.11,11.9,15.08,14.29
605,email filler,8.8,13.6,12.0,8.0,20.8,12.8,10.4,13.6
606,email filler,8.66,11.02,10.24,7.87,18.9,18.11,17.32,7.87
607,email filler,10.92,6.9,12.07,6.9,22.99,14.94,13.22,12.07
608,university misc,10.31,11.34,12.37,11.34,15.46,16.49,10.31,12.37
609,for sale,20.44,7.73,11.05,12.71,9.94,18.23,9.94,9.94
610,for sale,23.97,6.2,14.46,7.44,20.66,7.44,8.68,11.16
611,apple hardware,14.65,12.74,19.75,8.28,12.74,9.55,10.19,12.1
612,university misc,13.86,6.02,7.83,7.23,9.64,30.12,18.67,6.63
613,email filler,12.82,9.4,8.55,9.4,28.21,13.68,8.55,9.4
614,email filler,10.4,9.6,16.0,8.8,23.2,12.8,11.2,8.0
615,email filler,6.51,8.28,13.61,7.1,29.59,14.2,11.83,8.88
616,hockey,9.8,18.3,10.46,11.76,17.65,9.15,9.8,13.07
617,university misc,12.6,14.17,10.24,8.66,14.17,15.75,15.75,8.66
618,email filler,12.72,6.14,9.21,7.46,26.32,9.21,17.54,11.4
619,email filler,9.94,10.56,9.94,7.45,23.6,8.07,18.01,12.42
620,email filler,8.85,11.5,8.85,9.73,16.81,15.04,16.81,12.39
621,email filler,12.2,8.94,12.2,8.94,20.33,10.57,15.45,11.38
622,for sale,18.0,8.67,8.67,11.33,16.0,14.67,12.67,10.0
623,university misc,8.45,7.04,14.08,7.75,13.38,30.28,11.27,7.75
624,apple hardware,7.88,7.27,35.15,7.27,9.7,15.76,6.67,10.3
625,email filler,5.02,6.69,12.97,9.62,41.84,6.28,11.72,5.86
626,apple hardware,9.32,9.32,23.73,8.47,14.41,17.8,8.47,8.47
627,apple hardware,11.91,7.94,36.46,5.42,16.97,5.42,10.11,5.78
628,email filler,7.38,9.84,6.97,5.74,24.18,15.16,18.85,11.89
629,university misc,7.85,9.95,8.9,6.81,10.99,27.75,17.8,9.95
630,email filler,8.39,9.09,9.79,6.99,23.78,14.69,19.58,7.69
631,for sale,22.04,11.84,15.92,7.76,12.24,9.39,12.65,8.16
632,electronics,9.2,12.07,8.05,6.32,17.24,12.64,23.56,10.92
633,university misc,6.67,8.89,16.11,11.67,13.89,20.0,15.0,7.78
634,electronics,8.53,9.3,9.3,8.53,16.28,18.6,20.16,9.3
635,email filler,11.45,9.64,9.04,7.23,30.12,10.84,11.45,10.24
636,electronics,9.3,11.63,12.4,10.08,13.95,13.95,17.83,10.85
637,apple hardware,9.29,7.86,26.43,7.14,19.29,11.43,8.57,10.0
638,guns,1.94,7.16,2.68,1.64,3.95,2.76,2.01,77.85
639,apple hardware,8.38,13.77,25.75,8.38,12.57,10.18,13.17,7.78
640,guns,4.19,7.21,5.58,5.12,7.91,4.42,4.88,60.7
641,email filler,11.72,14.84,12.5,10.94,16.41,14.84,10.16,8.59
642,email filler,7.89,7.24,15.79,7.24,22.37,12.5,16.45,10.53
643,email filler,8.46,7.69,11.54,7.69,21.54,8.46,20.0,14.62
644,email filler,9.06,6.8,18.77,7.12,25.57,5.5,11.33,15.86
645,email filler,13.33,12.5,10.0,9.17,29.17,8.33,8.33,9.17
646,electronics,9.24,9.24,10.92,10.92,17.65,10.92,18.49,12.61
647,email filler,9.94,7.02,12.87,7.6,29.82,11.11,14.04,7.6
648,university misc,10.19,12.04,17.59,10.19,10.19,18.52,12.04,9.26
649,apple hardware,5.98,8.7,27.72,5.98,20.65,11.96,11.41,7.61
650,apple hardware,12.1,8.87,23.39,8.06,18.55,12.9,8.06,8.06
651,university misc,9.85,7.58,20.45,9.09,14.39,22.73,8.33,7.58
652,electronics,7.69,8.6,15.84,5.88,17.19,7.24,29.41,8.14
653,apple hardware,7.85,8.9,29.32,6.28,16.75,15.71,8.38,6.81
654,email filler,11.81,10.42,15.97,7.64,26.39,9.03,9.72,9.03
655,for sale,37.76,32.96,2.88,11.04,3.2,4.32,3.68,4.16
656,hockey,16.67,38.1,4.76,11.11,10.32,7.54,5.95,5.56
657,hockey,21.05,29.67,5.74,8.13,11.0,11.48,6.22,6.7
658,hockey,10.78,32.93,8.38,7.19,9.58,17.37,7.19,6.59
659,university misc,8.66,17.32,7.87,7.87,10.24,30.71,8.66,8.66
660,hockey,26.19,32.14,5.16,6.35,13.1,5.16,7.14,4.76
661,university misc,17.39,15.22,8.7,7.97,10.87,21.74,7.97,10.14
662,email filler,10.89,16.83,9.9,9.9,17.82,11.88,11.88,10.89
663,hockey,16.4,41.6,4.8,7.2,9.6,6.0,5.6,8.8
664,hockey,15.35,33.61,4.98,7.88,10.37,13.28,6.64,7.88
665,hockey,1.31,90.16,1.31,1.31,1.57,1.44,1.57,1.31
666,hockey,2.06,83.95,2.26,2.06,2.26,2.67,2.47,2.26
667,hockey,9.41,39.41,6.47,5.88,11.18,12.94,7.65,7.06
668,hockey,10.53,22.37,7.89,9.87,10.53,14.47,9.87,14.47
669,hockey,10.2,36.86,4.71,6.27,13.73,15.29,7.06,5.88
670,hockey,17.46,27.51,5.29,7.41,8.47,20.11,7.41,6.35
671,hockey,14.36,24.75,7.43,8.42,12.87,12.38,8.91,10.89
672,hockey,26.13,33.67,3.27,12.06,10.05,5.78,4.52,4.52
673,hockey,12.59,27.27,11.89,9.79,9.79,13.29,7.69,7.69
674,hockey,25.08,35.65,3.32,11.18,10.27,4.53,5.74,4.23
675,hockey,19.11,31.11,5.78,9.78,8.0,9.78,5.78,10.67
676,hockey,7.14,65.18,3.27,6.25,3.57,5.06,4.76,4.76
677,hockey,7.41,33.33,7.41,11.11,11.85,12.59,8.15,8.15
678,for sale,24.07,14.94,9.96,6.64,8.71,11.62,17.01,7.05
679,hockey,14.34,44.19,4.65,7.75,11.63,5.04,7.75,4.65
680,hockey,20.79,25.81,5.02,8.24,9.32,9.32,14.34,7.17
681,hockey,12.5,16.35,9.62,10.58,16.35,11.54,13.46,9.62
682,hockey,6.31,70.27,3.9,3.9,3.6,4.2,4.2,3.6
683,hockey,15.08,23.46,6.15,6.15,20.67,13.41,7.82,7.26
684,for sale,41.43,19.63,4.36,7.17,7.48,9.66,4.67,5.61
685,hockey,14.21,39.89,5.46,7.65,9.84,6.56,8.74,7.65
686,university misc,14.55,18.18,11.52,8.48,10.3,21.82,6.67,8.48
687,university misc,9.04,17.47,12.05,8.43,7.83,27.71,7.83,9.64
688,hockey,6.63,45.41,6.63,7.14,10.71,12.24,5.61,5.61
689,university misc,20.54,12.97,11.35,8.65,10.27,21.08,7.03,8.11
690,hockey,11.3,36.72,7.91,8.47,7.91,11.86,7.91,7.91
691,for sale,25.5,20.13,8.05,8.05,9.4,11.41,10.07,7.38
692,apple hardware,11.48,13.93,17.21,9.84,11.48,11.48,12.3,12.3
693,for sale,27.66,25.0,9.04,5.32,10.64,7.45,8.51,6.38
694,hockey,25.44,43.21,4.88,4.88,5.23,4.53,5.23,6.62
695,hockey,18.44,30.5,9.93,7.09,9.22,8.51,7.8,8.51
696,university misc,10.76,16.46,10.13,8.23,18.35,22.15,6.96,6.96
697,hockey,9.13,33.04,4.78,8.7,15.22,11.3,5.65,12.17
698,hockey,21.62,32.82,7.34,12.74,7.72,5.41,5.02,7.34
699,email filler,13.87,18.25,7.3,8.03,26.28,10.22,7.3,8.76
700,hockey,14.77,28.98,6.82,7.39,11.93,11.93,7.39,10.8
701,hockey,22.73,27.27,6.82,7.27,8.64,13.18,6.82,7.27
702,university misc,11.17,17.02,9.57,6.38,9.04,32.45,6.38,7.98
703,for sale,26.85,25.93,6.02,5.56,15.28,6.94,6.94,6.48
704,hockey,11.83,36.09,9.47,9.47,9.47,9.47,6.51,7.69
705,hockey,20.87,30.0,4.78,7.39,7.39,16.96,5.22,7.39
706,university misc,11.95,15.72,8.18,8.81,8.81,32.7,6.92,6.92
707,hockey,21.84,31.55,7.28,7.28,12.14,6.31,6.31,7.28
708,university misc,14.81,13.43,7.41,6.02,8.33,37.5,7.41,5.09
709,email filler,9.09,15.7,8.26,9.92,22.31,14.05,10.74,9.92
710,hockey,26.84,41.59,4.42,5.6,4.72,7.67,4.72,4.42
711,hockey,14.52,31.45,6.45,4.03,8.06,20.97,6.45,8.06
712,hockey,16.6,20.85,5.41,6.95,17.76,15.06,8.49,8.88
713,hockey,7.26,30.73,7.82,6.7,15.64,13.41,9.5,8.94
714,hockey,19.05,31.35,6.75,5.56,11.9,7.94,7.94,9.52
715,hockey,21.71,38.79,5.69,6.05,5.69,8.54,7.12,6.41
716,hockey,15.66,40.57,8.19,3.91,6.76,8.19,10.68,6.05
717,hockey,23.79,40.19,4.18,4.82,5.14,9.0,5.47,7.4
718,hockey,15.5,48.34,4.06,7.38,5.54,6.64,6.64,5.9
719,hockey,20.53,67.89,1.19,2.3,1.28,1.7,3.58,1.53
720,hockey,23.37,38.49,4.81,7.56,9.97,6.87,4.12,4.81
721,hockey,17.58,41.03,4.4,6.96,7.33,6.59,6.23,9.89
722,hockey,8.31,65.04,3.44,5.44,3.72,6.3,3.72,4.01
723,hockey,18.96,37.55,3.72,8.18,5.58,9.67,7.81,8.55
724,hockey,2.44,74.89,4.22,3.11,5.56,4.44,2.67,2.67
725,hockey,12.85,22.35,11.17,12.85,8.94,10.06,11.17,10.61
726,hockey,24.62,43.08,5.13,6.41,4.1,5.9,4.36,6.41
727,email filler,10.74,11.57,14.05,9.92,14.88,14.05,13.22,11.57
728,hockey,23.42,43.33,3.98,6.56,3.04,5.15,7.49,7.03
729,hockey,21.6,23.46,8.02,7.41,10.49,12.96,7.41,8.64
730,hockey,12.93,31.29,8.84,8.84,9.52,12.93,7.48,8.16
