document,actual,apple hardware,electronics,email filler words,for sale,hockey,guns,atheism,misc
366,for sale,19.91,11.69,11.69,25.97,9.52,6.06,5.19,9.96
367,for sale,13.86,14.46,12.05,23.49,6.63,8.43,9.64,11.45
368,apple hardware,25.0,8.93,11.61,16.07,8.93,8.93,10.71,9.82
369,for sale,16.0,12.57,18.86,20.57,9.14,8.57,7.43,6.86
370,email filler words,11.76,8.09,26.47,22.06,8.09,8.09,8.09,7.35
371,for sale,11.21,12.93,10.34,25.0,9.48,11.21,9.48,10.34
372,for sale,6.04,8.24,7.14,53.02,8.24,7.42,4.67,5.22
373,for sale,10.12,9.52,16.07,24.4,7.74,9.52,11.9,10.71
374,apple hardware,18.7,15.45,15.45,17.07,8.13,8.94,8.13,8.13
375,email filler words,6.52,13.04,19.02,10.33,9.78,8.15,14.13,19.02
376,email filler words,14.05,9.92,19.01,10.74,10.74,12.4,11.57,11.57
377,apple hardware,31.18,15.88,10.59,9.41,7.06,7.06,8.24,10.59
378,atheism,14.09,8.64,16.82,10.91,4.55,10.91,17.73,16.36
379,for sale,13.33,13.33,13.33,24.44,8.89,8.89,7.41,10.37
380,for sale,11.54,8.33,14.74,30.13,10.9,7.05,8.33,8.97
381,email filler words,11.18,9.87,17.11,13.16,9.21,15.79,7.89,15.79
382,electronics,14.71,19.61,13.24,16.18,8.33,4.9,8.82,14.22
383,apple hardware,23.27,11.95,8.81,18.87,7.55,9.43,8.81,11.32
384,apple hardware,30.46,6.6,9.64,22.84,6.09,6.6,6.6,11.17
385,apple hardware,18.52,9.63,14.81,15.56,9.63,9.63,10.37,11.85
386,apple hardware,20.69,13.79,9.48,18.1,9.48,8.62,9.48,10.34
387,for sale,15.45,14.55,12.73,17.27,10.91,10.0,10.0,9.09
388,for sale,6.82,8.52,7.39,50.0,6.82,5.68,6.25,8.52
389,apple hardware,31.18,7.53,9.14,15.59,5.91,7.53,12.37,10.75
390,for sale,6.4,9.88,9.88,45.93,8.14,5.81,5.81,8.14
391,apple hardware,36.52,6.74,8.99,17.42,7.87,6.18,7.87,8.43
392,email filler words,14.07,8.54,21.61,19.6,8.04,12.06,9.05,7.04
393,apple hardware,21.01,9.24,11.76,15.13,10.08,10.92,10.92,10.92
394,for sale,12.12,9.09,15.15,19.7,15.15,11.36,9.09,8.33
395,apple hardware,26.49,13.51,5.95,12.97,7.03,9.19,9.19,15.68
396,for sale,6.45,8.6,10.22,46.24,8.6,6.45,5.91,7.53
397,for sale,9.41,5.88,11.76,31.18,7.65,8.24,12.35,13.53
398,for sale,11.15,12.16,8.45,32.09,6.76,8.45,9.12,11.82
399,apple hardware,42.91,11.81,6.3,11.42,8.27,7.48,5.91,5.91
400,email filler words,15.65,10.2,22.45,14.29,10.88,8.16,9.52,8.84
401,for sale,11.38,10.78,12.57,31.74,8.38,8.38,7.19,9.58
402,for sale,12.77,9.93,21.28,24.11,7.09,8.51,8.51,7.8
403,hockey,10.23,14.88,14.42,17.21,18.14,7.91,10.7,6.51
404,misc,15.91,9.09,9.85,15.15,12.88,9.09,11.36,16.67
405,for sale,12.89,10.31,12.89,30.41,7.22,9.28,8.25,8.76
406,apple hardware,19.18,18.49,10.96,14.38,7.53,12.33,6.85,10.27
407,email filler words,15.38,12.31,18.46,16.92,8.46,10.0,9.23,9.23
408,email filler words,8.45,19.72,25.35,16.2,8.45,7.04,7.04,7.75
409,for sale,14.06,11.72,15.62,21.09,8.59,10.16,9.38,9.38
410,for sale,7.33,12.57,14.14,32.46,10.47,8.38,7.33,7.33
411,apple hardware,26.71,7.53,11.64,16.44,10.96,8.22,9.59,8.9
412,for sale,11.9,8.18,13.75,36.43,4.83,9.29,8.55,7.06
413,for sale,15.97,10.08,15.97,17.65,8.4,13.45,8.4,10.08
414,for sale,13.51,14.86,11.49,27.7,10.14,7.43,8.11,6.76
415,for sale,6.16,4.79,6.85,60.96,6.85,3.77,5.82,4.79
416,for sale,8.86,9.49,10.76,32.28,11.39,13.29,7.59,6.33
417,electronics,8.4,35.85,10.92,13.17,5.6,8.68,6.72,10.64
418,for sale,6.32,15.52,10.92,29.89,6.9,14.37,6.32,9.77
419,for sale,5.74,10.05,22.01,29.19,6.7,12.44,6.7,7.18
420,email filler words,10.92,8.4,20.17,19.33,11.76,10.08,9.24,10.08
421,for sale,10.21,11.49,17.87,18.72,5.11,7.23,11.06,18.3
422,for sale,12.66,10.13,13.92,27.22,10.13,8.23,8.23,9.49
423,for sale,12.33,8.9,19.86,21.92,12.33,8.22,7.53,8.9
424,for sale,6.86,12.0,13.14,33.71,6.86,8.57,7.43,11.43
425,email filler words,11.19,12.59,22.38,19.58,9.09,9.09,7.69,8.39
426,email filler words,8.65,8.11,25.41,16.22,12.43,7.57,10.81,10.81
427,for sale,14.02,10.28,11.21,19.63,13.08,10.28,9.35,12.15
428,for sale,11.83,11.24,11.24,31.95,8.88,8.88,7.1,8.88
429,for sale,13.41,10.61,11.17,24.02,15.64,6.7,8.38,10.06
430,for sale,4.9,15.92,7.76,42.86,10.2,6.53,6.12,5.71
431,for sale,11.98,9.9,13.54,25.52,15.62,9.38,7.29,6.77
432,for sale,13.11,11.65,6.8,36.41,9.71,8.74,6.8,6.8
433,for sale,5.5,12.5,12.5,32.0,7.0,11.0,8.5,11.0
434,apple hardware,37.31,7.77,7.25,18.13,7.77,8.29,5.18,8.29
435,electronics,14.14,22.51,12.57,14.66,8.38,8.9,10.47,8.38
436,for sale,10.53,17.98,11.84,21.05,12.28,7.89,8.33,10.09
437,for sale,13.73,10.46,12.42,22.88,7.19,9.8,7.84,15.69
438,for sale,11.63,11.63,11.63,20.16,14.73,10.08,9.3,10.85
439,for sale,11.76,8.82,11.18,38.24,7.65,8.24,7.06,7.06
440,for sale,13.04,13.04,14.49,22.46,8.7,11.59,8.7,7.97
441,email filler words,12.23,11.51,20.14,15.83,10.07,10.79,8.63,10.79
442,for sale,11.6,12.71,12.71,32.6,7.73,6.08,8.29,8.29
443,email filler words,9.84,9.02,23.77,14.75,9.84,9.84,11.48,11.48
444,for sale,16.8,10.4,12.8,20.8,9.6,9.6,11.2,8.8
445,email filler words,18.42,9.87,20.39,18.42,7.24,8.55,7.89,9.21
446,email filler words,12.33,9.59,22.6,19.86,8.22,8.22,10.27,8.9
447,for sale,13.68,7.89,7.37,45.79,6.32,6.84,5.79,6.32
448,email filler words,16.95,11.02,17.8,14.41,9.32,11.86,9.32,9.32
449,for sale,13.93,13.11,9.02,18.03,11.48,13.11,9.02,12.3
450,for sale,11.36,9.09,16.67,21.97,8.33,12.12,11.36,9.09
451,for sale,13.87,8.09,13.29,28.32,7.51,9.25,8.67,10.98
452,for sale,16.99,7.84,16.99,24.84,7.84,7.84,7.19,10.46
453,for sale,12.05,8.84,10.04,33.73,6.43,7.23,8.84,12.85
454,for sale,8.93,8.93,7.74,32.74,9.52,10.71,9.52,11.9
455,for sale,14.86,13.51,10.14,16.22,9.46,12.16,12.84,10.81
456,email filler words,10.55,14.07,31.66,11.56,7.54,8.04,8.54,8.04
457,for sale,11.18,19.25,13.66,29.81,6.21,6.83,6.83,6.21
458,for sale,8.04,10.05,13.57,29.65,14.07,9.55,9.05,6.03
459,apple hardware,19.2,11.2,13.6,16.8,10.4,11.2,8.8,8.8
460,for sale,17.28,15.43,10.49,25.31,9.88,6.79,6.79,8.02
461,for sale,17.61,9.86,9.86,28.17,7.04,10.56,7.75,9.15
462,email filler words,15.62,13.28,16.41,15.62,12.5,9.38,7.81,9.38
463,apple hardware,20.83,11.81,10.42,20.83,9.03,9.72,8.33,9.03
464,for sale,16.0,10.67,10.67,28.67,8.67,10.67,7.33,7.33
465,for sale,15.62,12.5,11.25,24.38,7.5,9.38,8.12,11.25
466,apple hardware,31.9,11.04,8.59,20.25,6.75,6.75,7.98,6.75
467,for sale,18.14,12.39,9.73,29.65,5.75,7.96,9.73,6.64
468,for sale,8.36,7.2,3.75,53.31,4.9,6.63,7.78,8.07
469,for sale,20.0,9.55,5.45,40.91,5.91,7.27,5.0,5.91
470,for sale,14.2,9.09,6.25,36.93,7.95,9.09,7.39,9.09
471,for sale,10.17,8.05,5.93,41.53,7.2,7.2,10.59,9.32
472,misc,7.83,21.15,4.7,19.58,10.7,7.57,6.79,21.67
473,for sale,22.96,10.37,8.15,23.7,7.41,8.89,11.11,7.41
474,for sale,10.32,14.29,15.08,16.67,10.32,11.9,11.11,10.32
475,for sale,14.4,9.6,15.2,17.6,12.8,11.2,8.8,10.4
476,electronics,10.24,18.11,17.32,12.6,12.6,7.87,11.81,9.45
477,for sale,14.37,12.07,18.39,21.84,7.47,7.47,9.77,8.62
478,for sale,13.4,12.37,13.4,14.43,12.37,11.34,11.34,11.34
479,email filler words,10.5,8.29,25.41,9.94,6.08,8.84,8.84,22.1
480,misc,16.94,7.02,10.74,23.14,4.96,8.26,4.96,23.97
481,apple hardware,19.75,9.55,8.92,12.1,12.1,7.64,11.46,18.47
482,electronics,7.23,42.77,12.05,8.43,6.63,6.63,7.23,9.04
483,for sale,14.53,9.4,13.68,23.08,11.97,10.26,8.55,8.55
484,for sale,17.6,10.4,10.4,24.8,10.4,8.8,8.0,9.6
485,for sale,11.83,10.65,11.24,29.59,9.47,8.88,9.47,8.88
486,hockey,11.76,11.11,11.76,15.03,17.65,11.76,8.5,12.42
487,hockey,11.02,14.17,14.17,10.24,19.69,8.66,9.45,12.6
488,for sale,11.4,16.23,10.53,26.75,7.02,9.65,7.02,11.4
489,for sale,7.45,16.15,8.7,29.19,12.42,10.56,6.21,9.32
490,for sale,13.27,14.16,13.27,17.7,12.39,11.5,8.85,8.85
491,for sale,12.2,14.63,13.82,21.95,8.94,8.94,8.13,11.38
492,email filler words,10.0,13.33,18.0,13.33,8.67,10.67,12.0,14.0
493,apple hardware,26.06,8.45,12.68,19.01,7.04,8.45,9.15,9.15
494,for sale,17.58,7.88,12.73,29.7,9.09,6.67,7.27,9.09
495,for sale,7.53,7.11,8.37,50.21,8.37,5.86,6.69,5.86
496,apple hardware,22.03,11.02,14.41,15.25,9.32,10.17,8.47,9.32
497,apple hardware,31.77,6.86,11.19,23.47,5.78,5.78,6.5,8.66
498,email filler words,9.02,9.84,31.56,16.8,8.2,9.84,6.56,8.2
499,hockey,7.33,14.14,15.18,17.28,19.9,9.42,5.24,11.52
500,for sale,11.89,16.08,11.89,20.98,11.19,7.69,11.19,9.09
501,misc,11.43,16.33,7.35,17.96,13.06,7.35,7.76,18.78
502,electronics,10.34,19.54,10.92,15.52,18.39,9.77,6.9,8.62
503,for sale,18.89,8.89,12.78,22.22,7.22,8.33,14.44,7.22
504,for sale,12.4,14.73,13.95,23.26,7.75,9.3,7.75,10.85
505,for sale,9.04,10.84,13.25,27.71,10.84,9.04,7.83,11.45
506,apple hardware,17.83,11.63,12.4,14.73,13.95,12.4,8.53,8.53
507,apple hardware,30.0,10.71,15.71,10.71,7.14,11.43,7.14,7.14
508,for sale,1.42,1.86,1.42,85.38,4.62,1.42,1.86,2.01
509,apple hardware,23.95,17.37,10.18,11.98,12.57,7.78,7.78,8.38
510,for sale,4.65,3.72,3.49,71.63,3.95,3.49,4.19,4.88
511,email filler words,10.94,9.38,16.41,15.62,10.16,13.28,11.72,12.5
512,for sale,15.13,10.53,19.08,22.37,6.58,11.18,7.24,7.89
513,for sale,11.54,13.08,12.31,25.38,8.46,13.08,8.46,7.69
514,for sale,9.39,10.68,7.44,43.04,7.44,11.0,4.85,6.15
515,for sale,19.17,8.33,8.33,21.67,10.0,9.17,11.67,11.67
516,for sale,10.08,17.65,12.61,21.01,8.4,11.76,9.24,9.24
517,for sale,12.87,10.53,8.19,36.84,6.43,7.02,7.6,10.53
518,apple hardware,18.52,11.11,18.52,12.04,10.19,10.19,9.26,10.19
519,apple hardware,31.52,10.87,8.7,20.11,8.7,7.61,6.52,5.98
520,apple hardware,25.81,8.06,14.52,14.52,10.48,8.06,8.06,10.48
521,for sale,16.67,11.36,16.67,21.97,8.33,7.58,8.33,9.09
522,for sale,8.6,20.81,6.79,34.84,7.24,6.79,5.43,9.5
523,for sale,22.51,9.95,13.61,23.04,9.42,5.76,7.33,8.38
524,apple hardware,22.92,7.64,19.44,12.5,7.64,8.33,8.33,13.19
525,for sale,13.39,13.39,11.02,22.83,7.87,8.66,8.66,14.17
526,misc,10.0,15.0,11.67,15.83,10.83,11.67,8.33,16.67
527,for sale,21.23,7.53,11.64,24.66,7.53,11.64,6.85,8.9
528,apple hardware,25.17,9.93,10.6,13.91,11.92,7.95,11.92,8.61
529,email filler words,14.43,10.31,20.62,11.34,10.31,12.37,10.31,10.31
530,email filler words,16.07,8.93,19.64,16.07,8.93,11.61,8.93,9.82
531,for sale,9.3,18.6,7.44,28.84,7.91,10.23,11.16,6.51
532,for sale,13.39,11.61,12.5,19.64,16.07,8.93,8.93,8.93
533,apple hardware,20.0,10.0,18.46,13.85,8.46,8.46,10.0,10.77
534,for sale,12.02,12.02,6.73,31.25,13.46,8.17,6.25,10.1
535,for sale,10.16,8.59,14.84,23.44,14.06,10.94,7.81,10.16
536,email filler words,16.67,12.88,17.42,14.39,8.33,12.88,9.09,8.33
537,for sale,7.52,12.78,11.28,27.07,13.53,8.27,12.03,7.52
538,electronics,11.81,19.69,9.45,18.11,11.02,9.45,8.66,11.81
539,email filler words,9.36,15.2,27.49,12.87,8.77,7.02,9.94,9.36
540,apple hardware,33.99,8.5,10.46,13.73,9.8,7.19,8.5,7.84
541,apple hardware,47.74,7.67,7.32,12.2,4.18,4.53,6.62,9.76
542,apple hardware,30.97,10.97,9.68,16.77,7.74,8.39,7.74,7.74
543,apple hardware,38.07,9.66,8.52,17.05,6.25,6.25,6.82,7.39
544,for sale,8.11,10.81,14.41,21.62,6.31,11.26,9.91,17.57
545,email filler words,9.46,11.49,18.24,12.84,8.78,17.57,6.76,14.86
546,for sale,15.27,8.4,17.56,22.9,7.63,8.4,9.16,10.69
547,for sale,1.77,4.22,2.65,75.54,3.14,3.24,4.72,4.72
548,email filler words,16.26,8.94,22.76,13.82,8.94,9.76,8.94,10.57
549,for sale,11.61,10.71,16.96,21.43,9.82,10.71,8.93,9.82
550,apple hardware,27.92,7.07,12.37,26.5,10.25,4.24,5.3,6.36
551,apple hardware,23.53,10.08,10.08,15.13,9.24,11.76,11.76,8.4
552,for sale,13.45,10.92,13.45,15.13,15.13,14.29,9.24,8.4
553,email filler words,10.08,10.08,19.33,19.33,13.45,10.08,8.4,9.24
554,email filler words,11.38,13.77,18.56,14.37,9.58,8.98,9.58,13.77
555,for sale,9.88,14.81,19.14,25.31,6.79,9.26,6.79,8.02
556,apple hardware,38.71,7.1,10.32,12.9,8.39,8.39,6.45,7.74
557,for sale,5.83,6.8,11.97,36.57,17.8,4.85,8.09,8.09
558,for sale,15.18,12.5,15.18,17.86,9.82,9.82,9.82,9.82
559,apple hardware,21.57,10.78,10.78,12.75,12.75,10.78,10.78,9.8
560,for sale,16.79,10.69,7.63,26.72,8.4,10.69,7.63,11.45
561,apple hardware,20.63,11.9,11.9,15.08,8.73,10.32,10.32,11.11
562,for sale,13.99,9.79,18.18,24.48,8.39,9.09,7.69,8.39
563,for sale,7.12,6.3,6.85,29.32,15.34,10.41,11.78,12.88
564,for sale,8.54,4.75,6.65,45.25,9.49,11.71,6.01,7.59
565,for sale,23.38,7.14,9.74,28.57,6.49,9.09,6.49,9.09
566,for sale,8.05,17.45,13.42,20.13,12.08,10.74,8.05,10.07
567,for sale,26.45,14.05,5.79,31.4,4.55,7.85,4.96,4.96
568,for sale,17.39,13.04,8.3,39.53,5.14,6.32,3.95,6.32
569,for sale,12.71,10.17,12.71,22.88,11.86,11.02,10.17,8.47
570,for sale,19.68,7.45,9.57,26.06,8.51,6.38,15.96,6.38
571,for sale,8.79,9.34,8.79,45.6,6.59,6.04,6.59,8.24
572,for sale,7.76,4.74,9.05,54.31,7.33,4.74,5.17,6.9
573,for sale,6.75,5.66,5.88,56.64,5.01,7.41,7.63,5.01
574,for sale,22.73,10.23,9.09,27.27,7.39,6.25,7.39,9.66
575,for sale,12.59,9.79,4.55,43.36,5.24,8.39,6.99,9.09
576,for sale,13.83,10.11,7.98,25.0,10.11,7.98,13.83,11.17
577,for sale,15.79,15.79,13.45,18.13,7.6,8.77,6.43,14.04
578,for sale,13.65,9.59,10.33,33.58,8.12,8.86,7.01,8.86
579,for sale,13.38,8.92,18.47,23.57,8.28,9.55,8.92,8.92
580,for sale,15.95,7.98,9.2,28.83,11.04,8.59,11.04,7.36
581,for sale,16.9,10.56,7.04,30.28,10.56,9.15,7.04,8.45
582,for sale,11.11,15.56,10.37,20.74,8.89,12.59,8.89,11.85
583,for sale,7.14,8.79,8.79,43.41,5.49,7.69,7.14,11.54
584,for sale,11.95,8.81,13.21,22.64,8.81,11.32,13.21,10.06
585,apple hardware,27.36,11.32,7.55,19.34,7.08,7.08,6.6,13.68
586,apple hardware,27.48,9.92,11.45,12.98,11.45,8.4,8.4,9.92
587,apple hardware,21.05,8.77,12.28,17.54,11.4,8.77,9.65,10.53
588,electronics,17.88,21.79,11.17,18.99,9.5,6.7,7.26,6.7
589,for sale,15.71,18.85,10.99,19.37,10.47,7.33,8.38,8.9
590,apple hardware,21.43,10.32,11.9,13.49,10.32,8.73,11.11,12.7
591,for sale,15.32,14.86,9.46,23.87,8.56,7.66,7.66,12.61
592,apple hardware,23.47,16.9,7.51,19.25,8.45,9.86,7.04,7.51
593,for sale,8.61,13.91,13.91,23.84,7.95,7.95,6.62,17.22
594,for sale,22.63,9.47,15.79,24.21,7.37,6.32,5.79,8.42
595,apple hardware,17.65,9.8,13.73,15.69,9.8,10.78,10.78,11.76
596,apple hardware,29.25,10.88,9.52,17.69,8.16,8.16,6.8,9.52
597,for sale,12.58,14.57,10.6,21.85,10.6,9.93,10.6,9.27
598,apple hardware,33.14,9.3,9.3,15.12,5.81,9.3,8.72,9.3
599,for sale,5.02,5.79,7.72,54.44,9.65,4.63,7.72,5.02
600,for sale,9.66,7.39,14.2,35.23,6.25,6.82,9.66,10.8
601,for sale,18.56,12.57,17.96,22.75,6.59,7.78,6.59,7.19
602,for sale,16.49,14.43,14.95,18.56,7.73,7.22,7.22,13.4
603,email filler words,9.02,15.04,21.05,18.05,9.77,10.53,7.52,9.02
604,for sale,10.69,15.09,10.69,20.13,13.21,10.69,7.55,11.95
605,for sale,21.24,8.49,7.72,29.34,6.18,6.56,7.72,12.74
606,for sale,11.72,10.16,14.06,19.53,10.16,12.5,9.38,12.5
607,apple hardware,21.99,9.93,14.89,17.02,7.8,8.51,9.93,9.93
608,for sale,7.74,8.06,9.68,40.97,13.23,8.71,5.81,5.81
609,apple hardware,21.74,9.57,13.04,10.43,13.91,10.43,10.43,10.43
610,electronics,17.13,19.44,6.02,18.06,11.57,7.41,6.94,13.43
611,hockey,15.44,8.72,9.4,16.78,20.13,10.74,9.4,9.4
612,for sale,19.5,6.29,13.21,24.53,12.58,6.29,10.06,7.55
613,email filler words,11.35,11.35,19.86,13.48,9.93,9.93,12.77,11.35
614,for sale,21.02,5.68,9.09,28.98,13.07,6.82,6.82,8.52
615,email filler words,10.23,10.23,18.6,11.63,7.44,10.23,13.02,18.6
616,for sale,9.63,11.47,9.17,27.06,7.8,9.17,7.34,18.35
617,for sale,8.48,14.55,12.73,32.73,7.27,7.88,6.06,10.3
618,for sale,11.29,12.1,16.13,22.58,10.48,8.06,8.87,10.48
619,for sale,12.15,12.62,8.88,28.04,7.48,13.55,6.54,10.75
620,for sale,8.33,16.67,12.25,22.55,9.31,16.67,6.86,7.35
621,for sale,18.25,11.68,16.06,18.98,8.03,8.76,8.76,9.49
622,email filler words,13.21,11.32,19.81,11.32,11.32,12.26,11.32,9.43
623,hockey,13.47,9.33,13.99,18.65,20.21,6.74,6.22,11.4
624,for sale,12.22,6.67,8.89,36.67,10.0,6.67,6.67,12.22
625,for sale,9.45,11.81,12.6,21.26,13.39,12.6,10.24,8.66
626,email filler words,9.15,9.86,21.13,11.27,10.56,9.86,16.2,11.97
627,misc,7.88,10.3,12.73,16.97,12.73,14.55,6.67,18.18
628,for sale,16.67,10.19,16.67,19.44,9.26,9.26,9.26,9.26
629,for sale,14.88,8.26,14.88,23.97,9.92,9.92,8.26,9.92
630,for sale,11.88,11.88,14.37,25.62,6.88,11.25,8.12,10.0
631,for sale,25.7,10.04,5.22,30.92,6.02,8.84,5.22,8.03
632,for sale,17.01,14.52,6.22,41.49,4.98,5.81,4.15,5.81
633,email filler words,8.59,12.5,21.09,17.97,8.59,10.16,11.72,9.38
634,misc,14.47,11.18,9.87,15.13,12.5,11.18,9.21,16.45
635,apple hardware,19.51,11.38,17.07,17.07,8.13,8.94,9.76,8.13
636,for sale,16.46,13.29,12.66,21.52,7.59,7.59,8.86,12.03
637,apple hardware,34.48,7.47,7.47,23.56,6.32,6.9,6.32,7.47
638,for sale,13.33,7.41,11.85,25.93,8.89,13.33,9.63,9.63
639,for sale,13.18,10.08,15.5,25.58,8.53,8.53,7.75,10.85
640,for sale,19.44,11.81,11.81,21.53,8.33,10.42,7.64,9.03
641,for sale,10.29,12.5,9.56,32.35,8.82,10.29,7.35,8.82
642,apple hardware,29.05,8.78,12.84,16.22,8.78,8.78,7.43,8.11
643,for sale,15.03,9.83,9.83,34.1,8.67,7.51,6.94,8.09
644,for sale,11.76,10.92,13.45,18.49,17.65,8.4,10.92,8.4
645,for sale,12.41,11.68,10.22,19.71,16.06,8.03,9.49,12.41
646,for sale,11.46,12.1,8.92,24.2,17.83,8.28,9.55,7.64
647,for sale,22.28,13.37,10.89,25.74,5.94,7.92,7.92,5.94
648,for sale,9.06,18.42,4.68,24.85,6.43,4.97,7.89,23.68
649,for sale,12.4,11.57,14.88,18.18,8.26,12.4,9.92,12.4
650,for sale,11.72,10.34,11.72,24.83,8.28,16.55,8.28,8.28
651,apple hardware,23.24,9.15,11.27,12.68,8.45,7.75,10.56,16.9
652,misc,15.64,9.0,15.64,10.43,7.11,9.95,8.53,23.7
653,email filler words,9.46,11.49,22.3,15.54,10.14,10.81,9.46,10.81
654,for sale,11.04,14.11,12.27,29.45,9.82,7.98,8.59,6.75
655,misc,9.71,9.14,17.71,17.14,9.14,9.14,9.14,18.86
656,apple hardware,23.73,10.17,16.1,13.56,9.32,8.47,10.17,8.47
657,for sale,13.87,8.67,13.87,23.7,13.87,8.09,8.09,9.83
658,for sale,16.36,14.55,7.88,26.06,9.09,8.48,9.09,8.48
659,for sale,7.01,12.15,8.88,44.39,5.61,7.01,7.48,7.48
660,for sale,13.66,14.98,7.05,28.63,7.49,13.66,6.17,8.37
661,apple hardware,17.86,15.71,11.43,15.71,12.86,10.71,8.57,7.14
662,for sale,13.25,18.8,7.26,26.07,6.41,9.4,6.84,11.97
663,email filler words,13.89,7.41,30.09,18.52,5.56,12.96,6.94,4.63
664,for sale,7.91,10.7,7.91,46.05,7.44,6.51,6.98,6.51
665,apple hardware,30.12,12.05,9.64,16.87,10.24,6.63,6.63,7.83
666,for sale,6.67,15.33,8.0,36.67,9.33,9.33,6.67,8.0
667,for sale,21.26,7.87,14.96,22.05,8.66,7.87,8.66,8.66
668,for sale,10.66,9.02,10.66,33.61,8.2,9.02,9.02,9.84
669,for sale,11.54,8.46,17.69,27.69,7.69,8.46,8.46,10.0
670,for sale,17.65,9.41,6.47,31.76,8.82,7.65,7.06,11.18
671,for sale,9.46,8.78,22.3,25.68,8.11,6.76,7.43,11.49
672,apple hardware,17.32,9.45,17.32,14.17,10.24,8.66,14.17,8.66
673,apple hardware,20.51,11.11,11.97,14.53,8.55,10.26,11.97,11.11
674,for sale,18.25,12.41,8.76,18.98,8.03,13.14,11.68,8.76
675,apple hardware,27.82,9.77,7.52,12.03,9.02,10.53,11.28,12.03
676,email filler words,9.86,8.45,28.17,15.49,9.15,7.75,9.15,11.97
677,apple hardware,18.8,12.78,11.28,15.04,8.27,9.02,10.53,14.29
678,apple hardware,21.97,10.61,15.91,14.39,9.09,9.09,9.85,9.09
679,for sale,14.2,10.65,11.24,34.32,7.1,7.1,8.88,6.51
680,apple hardware,27.69,10.0,10.0,15.38,8.46,8.46,8.46,11.54
681,apple hardware,18.85,10.66,17.21,13.93,9.02,9.84,10.66,9.84
682,for sale,19.74,9.01,7.73,28.33,9.44,6.01,5.15,14.59
683,apple hardware,34.18,16.03,7.17,8.44,5.49,9.7,8.86,10.13
684,apple hardware,38.68,10.45,4.88,21.25,5.57,7.32,4.88,6.97
685,apple hardware,26.53,8.84,12.93,11.56,6.8,9.52,9.52,14.29
686,for sale,16.41,10.16,9.77,33.59,7.42,7.81,5.86,8.98
687,email filler words,18.27,9.62,19.23,13.46,9.62,9.62,10.58,9.62
688,for sale,12.4,9.3,17.83,27.13,8.53,9.3,7.75,7.75
689,for sale,9.63,10.37,17.78,28.89,8.89,8.15,8.15,8.15
690,for sale,10.71,9.82,12.5,21.43,13.39,11.61,10.71,9.82
691,for sale,16.77,9.68,9.68,29.68,7.74,7.74,10.32,8.39
692,apple hardware,31.55,8.33,11.9,11.31,11.9,7.74,8.93,8.33
693,for sale,15.32,12.9,11.29,16.13,10.48,9.68,10.48,13.71
694,for sale,8.74,10.19,8.74,43.69,8.74,6.8,7.28,5.83
695,for sale,7.45,10.03,5.44,36.96,6.88,8.02,5.73,19.48
696,for sale,12.27,11.04,9.82,33.13,8.59,7.36,9.2,8.59
697,for sale,12.85,7.82,10.61,36.31,7.26,9.5,6.7,8.94
698,for sale,7.14,8.44,16.23,31.17,7.14,9.09,10.39,10.39
699,for sale,17.91,11.94,16.42,20.15,8.21,9.7,7.46,8.21
700,hockey,2.72,5.6,3.2,5.12,36.0,4.32,8.32,34.72
701,hockey,4.76,6.75,15.48,4.76,35.32,5.95,8.33,18.65
702,hockey,6.22,7.66,10.53,7.18,33.49,7.18,9.09,18.66
703,hockey,11.98,6.59,11.98,8.98,35.33,6.59,7.78,10.78
704,email filler words,17.32,7.87,20.47,8.66,17.32,7.87,11.02,9.45
705,hockey,6.75,7.94,7.14,7.94,34.92,6.35,7.14,21.83
706,email filler words,10.87,12.32,22.46,11.59,10.14,10.87,7.97,13.77
707,hockey,10.89,11.88,14.85,12.87,16.83,9.9,10.89,11.88
708,hockey,4.4,5.6,8.8,6.4,44.0,6.8,7.6,16.4
709,hockey,6.64,10.79,20.75,6.64,31.12,5.39,9.54,9.13
710,hockey,1.44,1.44,1.57,1.71,89.9,1.31,1.31,1.31
711,hockey,2.26,2.47,2.67,3.09,83.13,2.26,2.06,2.06
712,hockey,7.65,7.65,15.29,5.88,40.59,6.47,5.88,10.59
713,hockey,11.18,13.16,12.5,9.87,22.37,9.87,7.89,13.16
714,hockey,7.06,5.49,12.55,6.67,45.49,7.84,5.1,9.8
715,hockey,5.29,8.47,23.81,6.88,26.98,6.35,8.47,13.76
716,hockey,6.93,11.88,9.41,8.42,27.72,10.89,12.87,11.88
717,hockey,4.02,3.27,12.31,4.02,35.18,6.78,7.29,27.14
718,for sale,9.09,9.79,13.29,18.88,18.88,9.79,9.09,11.19
719,hockey,3.93,5.74,14.5,5.14,32.02,5.44,6.34,26.89
720,hockey,6.22,9.33,12.0,8.0,30.22,9.33,7.11,17.78
721,hockey,3.57,4.17,4.46,3.57,66.96,4.17,5.65,7.44
722,hockey,10.37,8.89,15.56,8.15,30.37,11.11,7.41,8.15
723,electronics,9.96,20.33,13.28,5.39,16.18,8.3,10.37,16.18
724,hockey,5.04,6.59,9.3,6.2,48.06,5.81,5.43,13.57
725,misc,6.81,12.9,17.2,7.53,20.07,6.09,6.09,23.3
726,hockey,10.58,12.5,15.38,11.54,16.35,9.62,12.5,11.54
727,hockey,3.9,3.9,3.9,3.6,70.57,3.3,3.9,6.91
