document,actual,hockey,atheism,for sale,apple hardware,electronics,guns
464,atheism,5.01,64.46,16.63,3.87,5.01,5.01
465,atheism,9.6,40.68,21.47,7.34,8.47,12.43
466,atheism,5.03,57.23,16.35,5.35,5.35,10.69
467,atheism,10.05,31.66,28.64,8.04,9.05,12.56
468,atheism,8.8,35.19,17.59,6.94,8.8,22.69
469,atheism,8.24,57.3,16.85,5.24,6.37,5.99
470,atheism,5.73,46.26,25.11,4.85,6.17,11.89
471,atheism,12.67,36.67,16.67,10.0,12.67,11.33
472,atheism,8.57,28.57,28.0,10.86,9.14,14.86
473,for sale,17.12,16.22,35.14,9.01,12.61,9.91
474,atheism,8.87,33.87,26.61,8.87,10.48,11.29
475,atheism,7.79,30.52,27.92,9.09,9.74,14.94
476,for sale,10.64,27.66,32.62,9.22,10.64,9.22
477,atheism,10.46,48.37,12.42,7.19,10.46,11.11
478,atheism,8.22,50.68,15.07,6.85,11.64,7.53
479,atheism,11.22,33.67,17.35,11.22,12.24,14.29
480,for sale,11.43,10.48,33.33,16.19,15.24,13.33
481,apple hardware,9.38,13.28,14.06,35.16,16.41,11.72
482,for sale,12.17,10.43,38.26,13.91,14.78,10.43
483,apple hardware,9.68,11.29,16.13,37.1,15.32,10.48
484,apple hardware,16.99,9.15,20.92,30.72,9.8,12.42
485,for sale,15.29,11.76,23.53,21.18,15.29,12.94
486,apple hardware,10.48,11.43,24.76,32.38,11.43,9.52
487,for sale,8.75,18.75,34.38,8.75,7.5,21.88
488,for sale,11.52,7.88,25.45,21.21,16.36,17.58
489,electronics,5.04,5.57,6.1,28.12,49.07,6.1
490,hockey,24.39,13.82,17.07,13.82,14.63,16.26
491,hockey,26.32,10.53,12.28,10.53,21.93,18.42
492,apple hardware,8.85,10.62,15.93,39.82,15.04,9.73
493,apple hardware,14.43,10.31,20.62,28.87,14.43,11.34
494,apple hardware,8.24,10.0,12.35,41.18,14.71,13.53
495,apple hardware,11.74,12.1,8.19,51.6,7.47,8.9
496,apple hardware,9.0,11.37,10.43,45.5,15.64,8.06
497,apple hardware,10.96,10.27,16.44,30.82,19.18,12.33
498,apple hardware,10.87,13.04,11.96,35.87,17.39,10.87
499,apple hardware,16.13,6.45,12.9,32.26,23.87,8.39
500,for sale,12.93,10.34,30.17,27.59,8.62,10.34
501,apple hardware,15.62,12.5,13.54,28.12,17.71,12.5
502,apple hardware,11.34,7.27,6.69,43.02,9.01,22.67
503,apple hardware,10.81,14.86,14.19,27.7,12.84,19.59
504,electronics,19.42,9.71,18.45,16.5,24.27,11.65
505,for sale,12.2,26.22,28.05,11.59,12.2,9.76
506,apple hardware,15.84,12.87,13.86,23.76,18.81,14.85
507,electronics,12.0,8.67,17.33,18.67,34.0,9.33
508,for sale,6.5,28.0,30.5,14.5,9.5,11.0
509,apple hardware,15.65,8.7,12.17,33.91,19.13,10.43
510,apple hardware,15.44,11.03,10.29,36.03,13.24,13.97
511,guns,15.15,15.15,16.67,17.42,17.42,18.18
512,electronics,8.15,13.04,15.22,22.83,31.52,9.24
513,apple hardware,12.23,13.67,13.67,37.41,14.39,8.63
514,apple hardware,6.21,9.04,14.69,48.02,9.6,12.43
515,for sale,12.17,13.91,22.61,22.61,14.78,13.91
516,electronics,13.54,11.46,16.67,16.67,30.21,11.46
517,electronics,14.44,11.11,14.44,16.67,32.22,11.11
518,apple hardware,9.62,8.33,16.03,41.03,17.31,7.69
519,apple hardware,7.83,9.04,19.88,42.77,10.84,9.64
520,apple hardware,10.53,6.58,11.84,46.05,16.45,8.55
521,apple hardware,10.13,11.39,10.76,48.73,10.13,8.86
522,apple hardware,10.06,11.73,14.53,32.96,11.73,18.99
523,apple hardware,15.15,11.11,16.16,31.31,15.15,11.11
524,apple hardware,16.07,10.71,19.64,25.89,16.96,10.71
525,apple hardware,10.3,16.36,14.55,34.55,12.73,11.52
526,apple hardware,7.23,7.83,12.05,48.19,18.07,6.63
527,apple hardware,10.0,19.33,13.33,38.0,9.33,10.0
528,apple hardware,9.06,15.58,11.23,37.68,13.77,12.68
529,apple hardware,7.69,5.56,8.55,53.85,14.53,9.83
530,apple hardware,13.39,12.6,23.62,25.2,14.96,10.24
531,apple hardware,10.2,12.93,16.33,29.93,13.61,17.01
532,apple hardware,9.09,11.57,20.66,34.71,10.74,13.22
533,electronics,17.95,10.26,10.77,20.0,24.62,16.41
534,electronics,13.39,16.96,18.75,11.61,27.68,11.61
535,apple hardware,8.05,9.2,12.07,34.48,24.71,11.49
536,electronics,11.11,9.52,18.25,11.11,36.51,13.49
537,apple hardware,13.64,13.64,17.27,28.18,13.64,13.64
538,electronics,9.02,9.02,20.49,19.67,31.15,10.66
539,apple hardware,9.26,12.04,23.15,27.78,13.89,13.89
540,apple hardware,11.11,8.19,13.45,32.75,17.54,16.96
541,apple hardware,11.11,8.73,13.49,41.27,14.29,11.11
542,apple hardware,8.84,10.04,17.67,33.33,15.66,14.46
543,apple hardware,11.11,12.12,18.18,29.29,13.13,16.16
544,apple hardware,20.31,10.16,9.38,32.03,17.19,10.94
545,apple hardware,8.46,6.62,10.29,53.31,14.71,6.62
546,apple hardware,13.04,7.97,15.22,31.88,14.49,17.39
547,electronics,6.82,14.24,10.98,11.87,40.95,15.13
548,apple hardware,8.44,9.74,20.78,25.97,17.53,17.53
549,guns,10.05,8.99,21.69,24.34,7.94,26.98
550,for sale,18.18,14.14,20.2,19.19,12.12,16.16
551,apple hardware,7.44,19.07,15.81,35.81,12.09,9.77
552,apple hardware,15.94,10.87,13.77,36.23,13.77,9.42
553,apple hardware,12.7,11.9,15.08,33.33,15.87,11.11
554,apple hardware,9.03,15.48,14.84,39.35,10.32,10.97
555,apple hardware,9.76,13.01,21.14,24.39,17.07,14.63
556,apple hardware,16.97,15.15,18.79,20.0,13.94,15.15
557,electronics,12.64,11.49,12.64,17.24,31.03,14.94
558,apple hardware,11.41,8.72,14.09,41.61,12.75,11.41
559,apple hardware,20.75,7.55,12.58,34.59,11.95,12.58
560,apple hardware,9.78,7.11,12.44,45.78,14.67,10.22
561,apple hardware,20.35,12.21,8.72,31.4,13.37,13.95
562,apple hardware,13.98,8.06,8.6,39.25,19.35,10.75
563,apple hardware,8.89,10.56,17.22,27.22,18.33,17.78
564,apple hardware,8.09,6.94,10.98,50.29,14.45,9.25
565,electronics,14.04,10.53,11.11,16.37,35.09,12.87
566,electronics,14.9,8.65,13.94,20.67,25.0,16.83
567,apple hardware,10.53,12.78,21.8,30.08,12.03,12.78
568,hockey,20.18,11.93,15.6,20.18,19.27,12.84
569,apple hardware,8.0,6.67,13.33,50.0,10.67,11.33
570,apple hardware,15.25,11.02,20.34,22.88,16.1,14.41
571,for sale,10.92,11.76,30.25,18.49,15.97,12.61
572,apple hardware,12.42,8.7,13.04,40.37,16.15,9.32
573,for sale,11.76,13.73,34.31,12.75,15.69,11.76
574,electronics,10.48,9.52,17.14,23.81,26.67,12.38
575,apple hardware,8.33,9.09,21.21,40.91,12.12,8.33
576,apple hardware,10.32,9.52,22.22,32.54,17.46,7.94
577,apple hardware,8.24,8.82,10.0,44.12,18.82,10.0
578,apple hardware,10.2,14.29,22.45,27.55,13.27,12.24
579,apple hardware,14.71,12.75,14.71,22.55,21.57,13.73
580,apple hardware,15.18,13.39,19.64,26.79,12.5,12.5
581,apple hardware,12.42,9.8,14.38,40.52,13.73,9.15
582,apple hardware,9.02,9.77,15.79,39.85,12.78,12.78
583,apple hardware,6.99,14.41,11.35,48.91,10.48,7.86
584,apple hardware,16.22,12.84,18.92,29.05,8.11,14.86
585,apple hardware,10.16,20.31,17.19,21.88,19.53,10.94
586,electronics,17.88,11.73,11.73,9.5,39.66,9.5
587,electronics,9.93,8.51,16.31,25.53,30.5,9.22
588,apple hardware,19.55,8.94,16.76,25.14,12.85,16.76
589,apple hardware,15.24,13.33,11.43,35.24,15.24,9.52
590,apple hardware,13.38,10.56,9.15,35.92,21.13,9.86
591,apple hardware,8.2,13.11,16.39,37.7,10.66,13.93
592,electronics,16.67,12.04,17.59,20.37,23.15,10.19
593,apple hardware,10.48,12.1,13.71,25.81,23.39,14.52
594,apple hardware,13.08,10.77,8.46,40.77,15.38,11.54
595,apple hardware,9.29,10.0,24.29,26.43,17.14,12.86
596,apple hardware,10.49,8.39,8.39,51.75,13.99,6.99
597,apple hardware,6.8,11.65,8.74,46.12,13.11,13.59
598,apple hardware,7.65,11.31,4.28,55.96,8.87,11.93
599,apple hardware,7.5,6.0,6.0,56.0,13.5,11.0
600,apple hardware,9.62,6.41,6.41,51.28,11.54,14.74
601,apple hardware,7.87,18.06,12.5,41.2,11.11,9.26
602,atheism,15.98,23.97,8.54,21.21,16.53,13.77
603,apple hardware,9.57,9.57,11.3,48.7,11.3,9.57
604,apple hardware,14.15,14.15,16.04,20.75,17.92,16.98
605,electronics,12.38,10.48,16.19,20.95,23.81,16.19
606,electronics,16.82,14.02,12.15,18.69,23.36,14.95
607,apple hardware,9.74,11.04,11.04,32.47,25.32,10.39
608,electronics,14.29,14.29,14.29,18.18,20.78,18.18
609,for sale,9.32,20.5,26.71,16.15,10.56,16.77
610,apple hardware,7.66,12.61,9.46,27.48,20.72,22.07
611,guns,14.6,12.41,11.68,19.71,19.71,21.9
612,electronics,7.53,8.22,7.53,11.64,54.79,10.27
613,for sale,18.56,12.37,22.68,16.49,16.49,13.4
614,apple hardware,12.38,9.52,14.29,34.29,16.19,13.33
615,apple hardware,12.08,8.05,12.08,36.91,20.13,10.74
616,hockey,24.81,9.02,10.53,20.3,16.54,18.8
617,hockey,22.43,12.15,13.08,20.56,19.63,12.15
618,electronics,12.02,11.06,11.54,17.79,36.54,11.06
619,electronics,13.48,9.22,10.64,19.15,34.04,13.48
620,electronics,18.28,13.98,10.75,16.13,25.81,15.05
621,apple hardware,10.68,13.59,15.53,29.13,16.5,14.56
622,for sale,10.0,14.62,21.54,20.77,13.85,19.23
623,for sale,10.66,9.84,36.89,21.31,13.11,8.2
624,apple hardware,9.66,7.59,15.17,46.9,9.66,11.03
625,apple hardware,6.85,9.13,10.96,52.05,14.16,6.85
626,apple hardware,12.24,12.24,19.39,31.63,14.29,10.2
627,apple hardware,9.34,11.28,7.78,47.47,12.06,12.06
628,apple hardware,10.71,8.93,20.09,25.0,22.77,12.5
629,hockey,27.49,9.94,15.2,20.47,18.13,8.77
630,electronics,16.26,8.13,15.45,21.95,29.27,8.94
631,electronics,12.0,10.67,10.22,23.56,27.11,16.44
632,electronics,20.13,10.39,9.09,20.78,29.87,9.74
633,apple hardware,11.25,12.5,18.12,35.0,14.37,8.75
634,apple hardware,9.17,9.17,17.43,29.36,25.69,9.17
635,apple hardware,12.33,9.59,17.12,31.51,17.81,11.64
636,hockey,20.18,12.84,16.51,20.18,19.27,11.01
637,apple hardware,8.33,10.0,24.17,35.0,11.67,10.83
638,apple hardware,6.21,2.8,3.1,81.15,1.36,5.37
639,apple hardware,18.37,9.52,12.24,29.93,17.01,12.93
640,apple hardware,5.85,5.37,4.15,76.83,4.15,3.66
641,hockey,23.15,11.11,19.44,17.59,13.89,14.81
642,apple hardware,7.58,9.09,21.21,34.09,13.64,14.39
643,apple hardware,9.09,9.09,10.0,26.36,25.45,20.0
644,apple hardware,7.27,7.96,15.57,42.91,12.11,14.19
645,apple hardware,14.0,13.0,20.0,21.0,12.0,20.0
646,electronics,10.1,10.1,11.11,23.23,25.25,20.2
647,apple hardware,9.27,7.28,9.93,37.09,26.49,9.93
648,apple hardware,13.64,11.36,20.45,28.41,14.77,11.36
649,apple hardware,11.59,6.1,10.98,46.95,15.24,9.15
650,apple hardware,10.58,11.54,20.19,31.73,12.5,13.46
651,apple hardware,10.71,12.5,18.75,34.82,11.61,11.61
652,apple hardware,13.43,6.97,8.96,35.82,25.37,9.45
653,apple hardware,13.45,8.77,12.87,41.52,16.96,6.43
654,hockey,24.19,12.9,12.1,22.58,14.52,13.71
655,apple hardware,12.15,10.28,16.82,31.78,18.69,10.28
656,electronics,17.0,15.0,16.0,15.0,24.0,13.0
657,apple hardware,7.94,9.52,15.87,43.65,10.32,12.7
658,apple hardware,12.98,22.14,14.5,29.77,11.45,9.16
659,for sale,14.29,12.99,25.97,19.48,12.99,14.29
660,for sale,13.04,10.87,25.0,25.0,11.96,14.13
661,apple hardware,7.18,24.1,8.72,32.82,15.38,11.79
662,apple hardware,18.48,13.04,20.65,21.74,11.96,14.13
663,apple hardware,10.0,10.91,12.73,40.0,10.0,16.36
664,apple hardware,18.62,7.98,7.45,39.36,15.43,11.17
665,apple hardware,15.74,12.04,19.44,28.7,9.26,14.81
666,for sale,8.93,12.5,26.79,16.07,19.64,16.07
667,hockey,30.97,14.16,13.27,12.39,15.93,13.27
668,electronics,11.21,12.15,18.69,17.76,27.1,13.08
669,electronics,11.26,10.6,18.54,13.25,33.11,13.25
670,apple hardware,7.52,8.27,9.02,49.62,12.78,12.78
671,apple hardware,5.24,10.86,7.12,55.81,12.36,8.61
672,apple hardware,8.15,8.15,11.11,42.96,20.0,9.63
673,apple hardware,8.33,8.97,7.69,47.44,19.23,8.33
674,apple hardware,10.89,15.84,12.87,22.28,21.78,16.34
675,for sale,17.97,8.59,26.56,13.28,14.84,18.75
676,apple hardware,14.41,9.91,13.51,34.23,16.22,11.71
677,apple hardware,6.51,7.41,3.71,68.14,6.11,8.12
678,for sale,13.59,12.62,24.27,19.42,20.39,9.71
679,apple hardware,11.96,11.96,17.39,32.61,13.04,13.04
680,apple hardware,9.51,7.6,14.07,52.85,9.13,6.84
681,apple hardware,11.11,15.15,14.14,33.33,14.14,12.12
682,apple hardware,18.18,10.1,13.13,25.25,20.2,13.13
683,for sale,14.14,10.1,25.25,22.22,15.15,13.13
684,electronics,13.61,17.01,17.01,17.01,26.53,8.84
685,electronics,9.15,8.45,21.83,18.31,32.39,9.86
686,apple hardware,8.15,8.89,9.63,50.37,12.59,10.37
687,apple hardware,22.84,7.61,13.49,41.18,6.57,8.3
688,apple hardware,15.22,10.87,13.04,27.17,20.65,13.04
689,apple hardware,13.41,12.2,13.41,32.93,13.41,14.63
690,apple hardware,11.71,11.71,12.61,36.04,17.12,10.81
691,electronics,10.38,13.21,16.98,19.81,28.3,11.32
692,apple hardware,12.2,8.13,12.2,42.28,12.2,13.01
693,apple hardware,17.39,11.01,11.01,26.96,9.86,23.77
694,apple hardware,12.5,12.84,12.16,31.08,5.07,26.35
695,apple hardware,8.96,10.45,11.94,50.75,9.7,8.21
696,apple hardware,14.73,15.5,13.18,21.71,20.93,13.95
697,apple hardware,7.21,6.76,5.86,50.0,20.72,9.46
698,apple hardware,8.58,6.87,5.15,51.93,21.46,6.01
699,apple hardware,13.27,11.22,19.39,23.47,19.39,13.27
700,apple hardware,6.55,23.21,7.74,42.26,12.5,7.74
701,apple hardware,10.49,7.41,10.49,43.83,19.75,8.02
702,apple hardware,8.96,6.6,9.91,54.72,10.38,9.43
703,apple hardware,5.92,5.69,5.24,67.43,5.01,10.71
704,apple hardware,9.62,9.62,12.82,47.44,11.54,8.97
705,apple hardware,6.77,11.28,4.89,55.64,13.53,7.89
706,apple hardware,16.07,8.93,20.24,30.95,12.5,11.31
707,apple hardware,15.23,12.58,15.23,31.79,13.91,11.26
708,apple hardware,8.37,7.57,8.76,48.21,12.75,14.34
709,apple hardware,16.06,8.03,17.52,36.5,11.68,10.22
710,apple hardware,12.59,12.59,17.48,30.77,13.29,13.29
711,apple hardware,15.57,9.84,15.57,31.97,16.39,10.66
712,apple hardware,13.91,10.43,14.78,24.35,17.39,19.13
713,apple hardware,10.49,8.02,11.73,50.0,12.35,7.41
714,apple hardware,12.95,20.86,20.14,22.3,8.63,15.11
715,apple hardware,11.46,10.42,14.58,38.54,15.62,9.38
716,apple hardware,17.12,11.71,14.41,34.23,11.71,10.81
717,apple hardware,18.09,11.7,12.77,34.04,12.77,10.64
718,electronics,10.06,8.81,10.69,28.93,35.22,6.29
719,electronics,9.36,9.36,8.77,25.73,35.09,11.7
720,apple hardware,13.21,16.04,15.09,28.3,15.09,12.26
721,apple hardware,10.89,8.91,12.87,31.68,22.77,12.87
722,apple hardware,10.36,9.33,7.77,32.64,29.53,10.36
723,apple hardware,9.92,15.27,13.74,32.06,16.79,12.21
724,apple hardware,18.24,8.82,11.18,42.94,10.59,8.24
725,apple hardware,13.41,13.41,13.41,30.49,15.85,13.41
726,apple hardware,8.66,12.6,13.39,40.94,14.17,10.24
727,apple hardware,12.21,11.45,14.5,24.43,23.66,13.74
728,apple hardware,9.87,7.89,8.55,49.34,12.5,11.84
729,apple hardware,12.13,8.79,5.86,59.0,6.69,7.53
730,apple hardware,10.26,13.46,16.67,41.03,8.33,10.26
731,apple hardware,8.16,10.88,19.05,33.33,17.69,10.88
732,electronics,9.2,10.34,12.07,20.11,33.33,14.94
733,apple hardware,13.27,13.27,19.47,21.24,21.24,11.5
734,electronics,17.27,10.07,10.07,17.27,34.53,10.79
735,apple hardware,10.46,9.62,12.55,33.05,19.67,14.64
736,for sale,14.81,14.81,21.3,21.3,15.74,12.04
737,apple hardware,9.92,11.57,16.53,39.67,12.4,9.92
738,apple hardware,29.66,5.52,14.48,30.34,11.03,8.97
739,apple hardware,18.95,11.58,13.68,27.37,15.79,12.63
740,electronics,9.69,10.2,11.22,21.43,31.12,16.33
741,hockey,23.26,9.3,11.63,20.16,15.5,20.16
742,apple hardware,15.11,12.23,14.39,38.85,11.51,7.91
743,apple hardware,12.4,11.57,19.01,23.14,19.83,14.05
744,apple hardware,11.54,7.05,11.54,48.08,8.97,12.82
745,guns,9.23,20.51,18.97,12.82,15.9,22.56
746,apple hardware,12.12,12.63,9.6,26.26,19.19,20.2
747,apple hardware,15.86,8.97,11.72,33.1,20.69,9.66
748,for sale,10.58,12.5,25.0,24.04,15.38,12.5
749,electronics,13.92,14.43,12.37,17.01,26.29,15.98
750,electronics,10.33,6.52,10.87,16.85,36.96,18.48
751,electronics,10.26,11.11,20.51,12.82,34.19,11.11
752,for sale,15.12,11.63,25.58,15.12,16.28,16.28
753,hockey,27.75,10.4,15.03,23.12,15.03,8.67
754,apple hardware,12.5,8.75,11.88,38.12,14.37,14.37
755,electronics,14.02,11.21,18.69,20.56,22.43,13.08
756,for sale,10.66,18.03,30.33,15.57,14.75,10.66
757,guns,18.62,15.17,14.48,15.17,14.48,22.07
758,for sale,11.36,11.36,23.86,23.86,12.5,17.05
759,apple hardware,10.89,10.89,20.79,33.66,12.87,10.89
760,electronics,15.0,9.29,13.57,22.14,22.86,17.14
761,apple hardware,6.55,6.11,6.11,52.84,19.21,9.17
762,apple hardware,9.05,4.98,6.33,51.58,20.81,7.24
763,electronics,11.11,14.81,17.59,16.67,23.15,16.67
764,for sale,12.12,13.64,20.45,14.39,18.94,20.45
765,apple hardware,10.68,11.65,19.42,33.98,14.56,9.71
766,apple hardware,10.87,8.7,10.87,30.43,28.26,10.87
767,apple hardware,7.14,7.79,18.18,46.75,12.99,7.14
768,apple hardware,20.87,14.78,12.17,26.09,11.3,14.78
769,apple hardware,11.01,11.01,14.68,37.61,16.51,9.17
770,apple hardware,8.87,9.68,16.13,41.13,15.32,8.87
771,apple hardware,15.52,12.07,14.66,31.03,16.38,10.34
772,apple hardware,8.59,10.16,14.06,45.31,10.94,10.94
773,apple hardware,9.8,7.84,11.11,42.48,20.92,7.84
774,apple hardware,20.2,12.12,17.17,21.21,17.17,12.12
775,hockey,23.08,9.4,16.24,20.51,20.51,10.26
776,hockey,23.36,10.22,15.33,21.17,18.25,11.68
777,apple hardware,8.24,10.44,9.89,38.46,18.13,14.84
778,electronics,7.76,12.42,7.76,22.05,41.3,8.7
779,electronics,11.88,12.87,15.84,16.83,28.71,13.86
780,apple hardware,9.6,11.2,25.6,26.4,13.6,13.6
781,electronics,12.3,16.39,9.84,22.13,28.69,10.66
782,electronics,7.85,15.18,20.94,10.47,32.98,12.57
783,electronics,8.59,17.19,16.41,15.62,31.25,10.94
784,apple hardware,13.29,12.59,14.69,39.16,11.19,9.09
785,guns,10.32,14.84,19.35,19.35,14.19,21.94
786,apple hardware,13.27,14.29,17.35,29.59,12.24,13.27
787,apple hardware,13.73,7.84,16.99,39.22,10.46,11.76
788,electronics,9.66,13.1,15.17,17.93,34.48,9.66
789,apple hardware,7.73,7.73,9.79,51.03,15.98,7.73
790,electronics,9.66,8.7,20.29,22.71,26.57,12.08
791,for sale,13.33,9.17,26.67,18.33,19.17,13.33
792,apple hardware,7.48,9.35,10.28,34.11,28.04,10.75
793,for sale,6.12,6.63,33.67,26.53,10.2,16.84
794,apple hardware,8.21,8.21,8.21,51.28,17.44,6.67
795,apple hardware,13.01,8.22,13.01,37.67,18.49,9.59
796,electronics,12.31,7.69,12.31,20.77,32.31,14.62
797,apple hardware,12.15,10.28,20.56,34.58,12.15,10.28
798,apple hardware,9.8,10.78,15.69,39.22,11.76,12.75
799,for sale,9.09,12.73,30.0,26.36,10.91,10.91
800,apple hardware,8.67,8.0,12.67,40.67,17.33,12.67
801,for sale,10.16,12.5,31.25,24.22,12.5,9.38
802,for sale,11.21,9.35,35.51,14.95,19.63,9.35
803,apple hardware,10.31,14.43,16.49,24.74,17.53,16.49
804,apple hardware,11.11,12.82,17.95,24.79,15.38,17.95
805,apple hardware,10.62,13.27,12.39,38.94,12.39,12.39
806,for sale,20.49,12.3,31.97,13.93,10.66,10.66
807,apple hardware,11.5,15.04,16.81,30.09,15.04,11.5
808,apple hardware,9.82,11.61,24.11,32.14,12.5,9.82
809,apple hardware,8.72,6.71,14.09,45.64,12.75,12.08
810,apple hardware,10.91,11.82,12.73,36.36,15.45,12.73
811,apple hardware,12.75,11.76,21.57,29.41,13.73,10.78
812,apple hardware,10.8,6.1,12.68,46.95,11.27,12.21
813,apple hardware,7.37,9.22,7.37,41.47,24.88,9.68
814,apple hardware,6.74,5.62,16.85,44.19,18.73,7.87
815,for sale,8.66,9.45,28.35,28.35,15.75,9.45
816,apple hardware,8.47,10.17,4.66,36.44,31.78,8.47
817,apple hardware,13.1,11.9,21.43,27.38,13.1,13.1
818,apple hardware,10.09,10.09,12.84,36.7,13.76,16.51
819,apple hardware,9.57,9.57,11.3,40.0,13.04,16.52
820,apple hardware,14.13,10.87,16.3,30.43,17.39,10.87
821,apple hardware,11.85,11.85,10.37,45.19,11.11,9.63
822,apple hardware,11.49,10.81,14.86,38.51,15.54,8.78
823,electronics,10.58,12.5,13.46,21.15,25.96,16.35
824,apple hardware,7.53,7.53,9.14,44.62,19.89,11.29
825,apple hardware,9.42,13.98,7.6,39.21,13.37,16.41
826,apple hardware,13.29,9.09,14.69,37.76,11.19,13.99
827,apple hardware,6.92,9.43,18.24,45.28,11.32,8.81
828,apple hardware,11.19,12.69,17.16,36.57,11.94,10.45
829,apple hardware,10.53,10.53,19.3,34.21,14.04,11.4
830,apple hardware,9.57,8.7,16.52,41.74,13.04,10.43
831,apple hardware,13.14,9.49,14.6,40.15,10.22,12.41
832,apple hardware,13.75,12.5,18.75,23.75,15.0,16.25
833,apple hardware,19.28,12.05,16.87,24.1,13.25,14.46
834,apple hardware,8.63,9.02,14.12,43.92,10.2,14.12
835,apple hardware,12.4,10.08,20.93,30.23,13.18,13.18
836,for sale,16.81,10.08,21.01,19.33,16.81,15.97
837,apple hardware,9.7,10.3,11.52,50.91,9.09,8.48
838,apple hardware,12.38,9.52,14.29,30.48,20.95,12.38
839,apple hardware,10.55,9.63,9.63,52.75,6.88,10.55
840,apple hardware,13.39,10.71,15.18,33.04,13.39,14.29
841,apple hardware,15.18,16.07,14.29,23.21,15.18,16.07
842,for sale,15.22,10.87,30.43,18.48,10.87,14.13
843,apple hardware,10.49,11.11,12.96,42.59,14.81,8.02
844,electronics,18.9,9.45,18.9,14.17,22.05,16.54
845,apple hardware,10.38,10.38,16.39,30.6,23.5,8.74
846,apple hardware,12.12,11.11,22.22,28.28,14.14,12.12
847,electronics,10.65,10.06,16.57,15.38,36.69,10.65
848,electronics,9.85,12.12,17.42,17.42,26.52,16.67
849,apple hardware,10.43,19.13,13.04,25.22,21.74,10.43
850,for sale,8.07,9.94,30.43,28.57,12.42,10.56
851,apple hardware,7.84,8.5,14.38,45.75,12.42,11.11
852,apple hardware,9.42,7.17,7.17,36.77,24.22,15.25
853,apple hardware,13.76,9.17,20.18,22.02,16.51,18.35
854,apple hardware,15.32,10.48,10.48,33.06,20.16,10.48
855,apple hardware,7.14,11.61,8.93,53.57,8.04,10.71
856,apple hardware,13.79,9.48,16.38,27.59,13.79,18.97
857,apple hardware,5.91,5.49,6.75,62.03,12.66,7.17
858,apple hardware,10.91,10.91,13.64,38.18,11.82,14.55
859,apple hardware,14.91,10.53,14.04,35.96,12.28,12.28
860,guns,9.17,10.83,11.67,20.83,21.67,25.83
861,apple hardware,6.47,12.94,11.76,50.59,8.82,9.41
862,apple hardware,12.5,10.83,20.0,31.67,14.17,10.83
863,apple hardware,15.0,12.5,16.25,21.25,20.0,15.0
864,electronics,16.04,7.49,14.44,16.58,33.16,12.3
865,apple hardware,13.4,10.82,9.28,41.24,15.46,9.79
866,apple hardware,14.29,11.43,14.29,32.38,13.33,14.29
867,apple hardware,14.85,11.88,18.81,20.79,20.79,12.87
868,apple hardware,13.4,12.37,9.28,41.75,15.98,7.22
869,atheism,10.23,23.86,13.07,22.73,13.64,16.48
870,for sale,12.5,8.33,29.17,16.67,21.67,11.67
871,electronics,8.24,12.35,17.65,18.24,31.76,11.76
872,apple hardware,8.28,10.19,14.01,47.13,10.83,9.55
873,electronics,12.02,7.69,14.42,18.27,37.02,10.58
874,apple hardware,16.83,10.89,19.8,29.7,11.88,10.89
875,electronics,14.5,9.16,16.03,19.08,25.19,16.03
876,for sale,19.59,10.31,23.71,14.43,19.59,12.37
877,apple hardware,14.04,12.28,14.91,20.18,18.42,20.18
878,for sale,16.67,10.53,27.19,21.05,13.16,11.4
879,apple hardware,10.23,6.25,7.39,36.36,26.7,13.07
880,for sale,12.28,13.16,30.7,16.67,14.04,13.16
881,electronics,8.38,12.85,12.85,20.11,28.49,17.32
882,apple hardware,12.5,10.71,15.18,31.25,12.5,17.86
883,electronics,8.56,6.42,6.95,32.09,33.16,12.83
884,apple hardware,11.26,7.95,12.58,45.03,13.25,9.93
885,apple hardware,6.57,8.66,6.57,37.91,30.75,9.55
886,apple hardware,6.01,10.38,11.48,48.09,12.57,11.48
887,apple hardware,7.98,9.82,17.18,36.81,17.18,11.04
888,apple hardware,4.33,7.06,3.87,74.72,3.87,6.15
889,apple hardware,12.8,11.2,22.4,29.6,12.0,12.0
890,atheism,10.0,27.27,20.91,18.64,7.27,15.91
891,apple hardware,6.85,18.26,9.59,23.74,20.09,21.46
892,for sale,15.31,12.24,20.41,20.41,18.37,13.27
893,apple hardware,11.89,11.19,10.49,34.27,21.68,10.49
894,electronics,10.96,11.64,8.22,23.97,36.3,8.9
895,apple hardware,7.85,16.49,4.45,46.07,9.69,15.45
896,apple hardware,11.22,11.22,23.47,31.63,10.2,12.24
897,apple hardware,10.32,16.77,13.55,28.39,16.77,14.19
898,apple hardware,10.78,10.78,13.73,34.31,19.61,10.78
899,apple hardware,17.29,22.56,12.03,23.31,14.29,10.53
900,for sale,13.2,7.61,28.43,23.35,12.18,15.23
901,guns,14.73,8.53,15.5,20.93,15.5,24.81
902,apple hardware,19.88,8.77,14.62,26.32,15.2,15.2
903,for sale,14.05,9.92,25.62,23.14,17.36,9.92
904,electronics,9.48,6.64,12.32,20.38,37.91,13.27
905,apple hardware,15.38,11.54,12.5,23.08,19.23,18.27
906,apple hardware,11.57,9.09,10.74,28.93,28.1,11.57
907,apple hardware,17.82,9.9,14.85,29.7,14.85,12.87
908,apple hardware,8.76,5.67,11.34,59.28,8.25,6.7
909,apple hardware,14.14,10.1,18.18,26.26,18.18,13.13
