document,actual,guns,for sale,hockey,politics misc,apple hardware,atheism
463,hockey,10.36,5.18,51.39,18.33,6.77,7.97
464,hockey,3.47,1.13,72.79,14.82,4.51,3.29
465,hockey,4.8,8.12,52.4,16.61,5.9,12.18
466,hockey,11.07,8.7,54.15,14.23,5.93,5.93
467,hockey,6.08,6.08,72.95,6.08,3.95,4.86
468,hockey,8.84,6.43,43.78,23.29,6.43,11.24
469,hockey,4.19,4.42,83.26,2.79,2.56,2.79
470,hockey,13.21,15.09,30.82,11.95,17.61,11.32
471,hockey,8.65,5.14,53.78,20.81,4.59,7.03
472,for sale,17.82,21.78,14.85,15.84,17.82,11.88
473,hockey,8.35,5.65,56.27,20.88,4.18,4.67
474,hockey,15.49,12.68,38.03,16.9,7.75,9.15
475,hockey,8.66,11.02,43.31,12.6,11.02,13.39
476,hockey,10.88,15.65,40.14,16.33,8.84,8.16
477,hockey,9.7,8.48,63.03,6.06,6.06,6.67
478,hockey,13.25,11.92,29.8,21.19,10.6,13.25
479,hockey,6.35,12.17,60.85,8.47,5.82,6.35
480,hockey,8.57,21.71,43.28,9.75,8.57,8.12
481,hockey,2.19,3.81,88.35,1.96,1.73,1.96
482,hockey,8.47,19.49,26.27,17.8,13.56,14.41
483,hockey,12.5,9.72,45.14,16.67,7.64,8.33
484,hockey,8.55,10.53,51.32,11.84,7.24,10.53
485,hockey,12.12,18.18,28.03,20.45,10.61,10.61
486,hockey,7.88,18.79,23.64,18.18,18.79,12.73
487,hockey,9.69,10.57,34.36,25.55,6.17,13.66
488,hockey,12.27,6.14,44.04,19.13,6.86,11.55
489,hockey,8.51,9.93,41.84,16.31,11.35,12.06
490,hockey,9.17,6.73,51.38,18.04,6.42,8.26
491,hockey,12.43,9.73,48.65,15.68,5.41,8.11
492,hockey,7.02,7.46,45.61,23.25,6.58,10.09
493,hockey,8.12,8.12,51.25,12.5,11.25,8.75
494,hockey,11.19,12.69,41.04,13.43,10.45,11.19
495,hockey,9.4,9.77,46.62,19.17,7.89,7.14
496,hockey,9.09,11.62,46.97,14.65,6.57,11.11
497,hockey,8.92,11.15,37.92,24.54,8.92,8.55
498,hockey,10.43,15.65,35.65,16.52,10.43,11.3
499,hockey,9.68,23.39,28.23,14.52,8.87,15.32
500,hockey,11.04,22.08,28.57,18.83,9.74,9.74
501,hockey,10.34,6.1,59.95,15.38,4.51,3.71
502,hockey,9.17,18.35,38.53,13.76,9.17,11.01
503,apple hardware,14.85,18.81,13.86,13.86,22.77,15.84
504,for sale,18.42,21.05,15.79,15.79,15.79,13.16
505,hockey,8.1,8.1,42.86,15.71,12.38,12.86
506,hockey,5.49,3.89,59.5,17.85,4.12,9.15
507,hockey,12.15,12.71,31.49,16.02,13.26,14.36
508,hockey,10.45,8.21,41.04,17.16,11.94,11.19
509,hockey,7.33,8.9,57.59,10.99,6.28,8.9
510,hockey,16.15,16.77,35.4,17.39,6.83,7.45
511,hockey,14.71,8.09,42.28,20.59,5.88,8.46
512,hockey,15.77,6.85,43.45,18.75,5.06,10.12
513,guns,21.43,21.43,21.43,14.29,10.2,11.22
514,hockey,9.09,13.29,44.76,12.59,7.69,12.59
515,for sale,11.4,36.84,15.79,14.04,11.4,10.53
516,hockey,10.14,15.22,38.41,18.84,7.25,10.14
517,for sale,11.48,25.41,21.31,18.85,13.11,9.84
518,for sale,16.46,21.52,18.99,13.92,15.19,13.92
519,hockey,12.0,24.0,30.4,13.6,11.2,8.8
520,hockey,3.92,2.16,86.55,2.87,1.61,2.9
521,hockey,6.59,18.68,32.97,18.68,11.54,11.54
522,hockey,10.14,17.57,35.81,14.19,12.16,10.14
523,hockey,8.86,5.9,49.45,18.82,8.49,8.49
524,hockey,7.58,4.55,40.3,33.03,7.27,7.27
525,hockey,9.59,8.49,52.77,15.5,5.17,8.49
526,hockey,14.22,6.9,49.14,8.62,6.47,14.66
527,hockey,7.04,9.86,62.91,7.04,5.16,7.98
528,hockey,8.21,9.66,41.55,19.32,9.18,12.08
529,hockey,8.14,11.31,35.75,21.27,8.6,14.93
530,hockey,9.36,6.74,50.56,20.6,5.24,7.49
531,hockey,3.91,2.43,59.3,23.58,3.1,7.68
532,hockey,3.2,3.2,84.88,2.91,2.91,2.91
533,hockey,14.84,14.06,28.12,18.75,10.94,13.28
534,hockey,11.67,10.0,35.0,21.11,7.22,15.0
535,hockey,12.04,10.19,34.72,24.54,9.72,8.8
536,hockey,12.29,15.08,33.52,17.32,7.82,13.97
537,hockey,10.0,8.75,45.62,14.37,10.0,11.25
538,hockey,9.68,16.67,38.71,15.05,8.6,11.29
539,hockey,11.11,9.15,43.14,13.73,11.76,11.11
540,hockey,8.44,8.44,59.09,9.09,7.14,7.79
541,hockey,10.57,24.39,29.27,15.45,10.57,9.76
542,hockey,8.66,23.62,25.2,21.26,8.66,12.6
543,hockey,12.3,11.48,45.9,10.66,9.84,9.84
544,hockey,10.07,17.45,34.9,14.77,13.42,9.4
545,hockey,10.94,11.72,38.28,19.53,10.94,8.59
546,hockey,11.35,17.02,31.21,22.7,9.93,7.8
547,hockey,11.76,10.86,36.65,20.81,6.79,13.12
548,hockey,8.16,9.52,33.33,17.69,10.2,21.09
549,hockey,6.77,5.47,43.75,22.92,7.81,13.28
550,hockey,6.01,10.93,60.11,10.93,6.01,6.01
551,hockey,10.95,9.0,41.36,15.57,7.06,16.06
552,hockey,8.19,10.34,52.16,13.36,9.91,6.03
553,hockey,7.43,12.0,41.14,21.14,7.43,10.86
554,hockey,4.63,5.18,58.04,19.62,5.99,6.54
555,hockey,5.97,9.55,51.94,14.93,5.37,12.24
556,hockey,12.63,12.11,44.74,11.05,11.05,8.42
557,hockey,10.49,9.74,45.69,15.73,7.87,10.49
558,hockey,10.05,9.52,56.08,7.41,10.58,6.35
559,hockey,11.68,9.14,47.72,14.21,5.58,11.68
560,hockey,9.52,13.69,49.4,9.52,10.71,7.14
561,hockey,12.31,23.85,27.69,15.38,10.0,10.77
562,hockey,5.03,6.21,65.09,14.2,3.55,5.92
563,hockey,8.92,9.39,54.93,11.74,7.51,7.51
564,hockey,8.22,21.23,23.29,21.23,11.64,14.38
565,hockey,5.36,7.66,74.33,4.6,4.21,3.83
566,hockey,11.9,10.32,33.73,25.79,10.71,7.54
567,hockey,12.16,11.49,43.24,12.84,10.14,10.14
568,hockey,16.84,11.05,29.47,15.79,12.11,14.74
569,hockey,9.38,13.28,42.19,13.28,8.59,13.28
570,hockey,8.09,10.4,34.68,13.87,9.25,23.7
571,hockey,7.37,7.02,58.25,14.04,5.26,8.07
572,hockey,16.39,13.11,38.8,12.57,8.2,10.93
573,hockey,13.39,16.07,24.11,20.54,15.18,10.71
574,hockey,11.52,18.85,39.27,14.14,6.28,9.95
575,hockey,6.64,14.11,41.91,22.41,6.22,8.71
576,hockey,11.02,18.64,33.05,14.41,10.17,12.71
577,hockey,13.64,15.45,26.36,12.73,15.45,16.36
578,hockey,12.37,17.53,35.05,10.31,12.37,12.37
579,hockey,10.08,22.48,28.68,19.38,9.3,10.08
580,hockey,11.9,18.25,30.95,13.49,11.9,13.49
581,hockey,7.91,9.6,42.94,11.3,9.04,19.21
582,hockey,9.09,16.04,49.73,10.16,8.02,6.95
583,hockey,4.3,2.27,70.17,14.2,4.3,4.77
584,hockey,5.14,5.14,71.3,7.55,5.44,5.44
585,hockey,2.84,5.41,82.22,2.58,3.61,3.35
586,hockey,8.72,9.88,59.3,7.56,6.4,8.14
587,hockey,5.05,6.38,73.94,6.12,3.99,4.52
588,hockey,9.26,17.59,36.11,15.74,11.11,10.19
589,hockey,9.27,15.73,39.52,20.16,5.24,10.08
590,hockey,8.95,9.47,46.32,13.68,7.89,13.68
591,hockey,7.3,10.67,47.75,13.48,10.11,10.67
592,hockey,13.29,20.89,28.48,15.82,8.86,12.66
593,hockey,11.05,8.29,49.72,13.81,7.18,9.94
594,hockey,11.71,21.62,27.03,15.32,13.51,10.81
595,hockey,12.07,18.1,27.59,16.38,12.07,13.79
596,hockey,9.26,24.69,27.78,20.37,8.64,9.26
597,hockey,10.0,15.26,26.32,25.26,10.53,12.63
598,hockey,15.83,16.55,24.46,12.23,12.23,18.71
599,hockey,8.48,8.48,41.82,16.36,10.91,13.94
600,guns,65.77,6.31,7.66,6.76,5.41,8.11
601,guns,77.42,1.75,5.36,6.75,3.61,5.12
602,guns,58.2,9.02,5.74,11.07,6.56,9.43
603,guns,74.82,2.62,2.62,4.51,2.2,13.22
604,guns,46.91,4.53,9.47,23.05,6.17,9.88
605,guns,24.78,18.58,16.81,12.39,14.16,13.27
606,guns,64.24,4.3,4.3,6.62,6.62,13.91
607,guns,26.67,17.78,14.44,13.33,15.56,12.22
608,politics misc,23.74,15.95,7.78,24.51,8.17,19.84
609,guns,27.54,13.77,8.98,13.77,10.18,25.75
610,guns,32.16,15.79,6.43,17.54,10.53,17.54
611,guns,31.4,22.09,9.3,14.53,9.88,12.79
612,guns,31.5,16.0,14.0,14.5,8.0,16.0
613,for sale,17.05,31.01,11.63,17.05,8.53,14.73
614,atheism,19.83,16.53,11.57,9.92,16.53,25.62
615,guns,44.12,14.71,10.29,10.29,8.82,11.76
616,guns,44.97,7.1,8.28,13.02,9.47,17.16
617,guns,56.12,10.13,7.59,8.86,8.02,9.28
618,guns,40.84,12.04,8.38,14.14,7.85,16.75
619,guns,47.32,8.39,8.72,21.14,6.71,7.72
620,for sale,12.63,32.32,10.61,17.17,14.14,13.13
621,politics misc,13.54,15.62,13.54,21.88,17.71,17.71
622,guns,70.25,4.25,3.97,7.93,5.95,7.65
623,guns,34.15,17.07,7.32,17.48,9.76,14.23
624,guns,33.02,12.56,9.3,17.21,9.3,18.6
625,guns,40.95,8.1,6.19,17.14,5.71,21.9
626,guns,63.84,4.52,3.67,16.38,5.37,6.21
627,guns,60.06,6.6,6.6,10.06,7.23,9.43
628,guns,62.69,6.22,6.74,6.22,10.88,7.25
629,guns,36.01,11.47,4.59,25.69,8.49,13.76
630,guns,29.05,10.14,14.86,14.19,14.86,16.89
631,guns,62.29,8.57,7.43,8.57,6.29,6.86
632,guns,54.51,7.38,8.2,12.3,6.97,10.66
633,politics misc,31.11,10.86,6.67,35.56,8.89,6.91
634,guns,29.41,17.65,14.71,14.12,11.18,12.94
635,guns,34.76,9.63,7.49,23.53,8.56,16.04
636,guns,32.89,15.44,8.72,14.09,12.75,16.11
637,guns,23.12,18.5,10.4,17.34,18.5,12.14
638,guns,47.98,9.27,10.48,10.89,14.52,6.85
639,politics misc,27.61,10.82,7.46,27.99,16.79,9.33
640,guns,27.04,12.58,6.29,23.27,13.84,16.98
641,politics misc,28.26,9.24,9.78,28.8,10.87,13.04
642,guns,36.6,11.76,11.76,18.95,9.8,11.11
643,guns,44.79,14.29,9.27,11.97,9.27,10.42
644,guns,49.27,7.8,6.83,19.02,7.8,9.27
645,guns,34.36,5.83,5.52,30.98,11.04,12.27
646,politics misc,29.15,8.12,5.9,34.32,10.33,12.18
647,politics misc,19.32,18.75,11.93,21.59,15.91,12.5
648,for sale,24.0,24.8,12.0,18.4,10.4,10.4
649,guns,40.86,14.52,8.06,15.59,9.68,11.29
650,guns,27.97,25.42,11.86,14.41,8.47,11.86
651,politics misc,15.15,8.59,14.14,40.4,9.09,12.63
652,guns,23.9,13.84,7.55,20.75,21.38,12.58
653,guns,56.52,4.64,6.38,10.72,5.22,16.52
654,guns,57.53,8.6,10.22,11.83,5.38,6.45
655,guns,43.18,7.73,11.82,24.55,7.42,5.3
656,politics misc,24.17,8.75,5.42,35.83,10.83,15.0
657,guns,65.8,6.32,5.58,7.06,6.69,8.55
658,guns,62.37,5.38,3.94,17.56,5.02,5.73
659,guns,46.08,4.99,4.04,23.28,7.84,13.78
660,guns,60.0,7.95,4.77,12.5,7.05,7.73
661,guns,35.16,10.05,10.96,16.44,14.16,13.24
662,guns,55.83,7.98,7.98,9.82,8.59,9.82
663,guns,58.41,7.01,7.48,12.15,8.41,6.54
664,guns,30.05,14.55,8.45,19.25,10.33,17.37
665,guns,33.88,13.22,7.44,23.14,9.92,12.4
666,guns,39.74,9.62,8.33,26.92,7.05,8.33
667,guns,39.45,8.98,7.42,20.7,8.59,14.84
668,guns,42.52,9.81,6.07,20.09,12.62,8.88
669,guns,28.1,15.7,14.05,13.22,11.57,17.36
670,guns,54.36,8.72,8.05,12.08,8.72,8.05
671,guns,38.14,7.22,10.31,21.65,10.82,11.86
672,guns,56.17,3.08,3.08,12.33,5.95,19.38
673,guns,42.29,10.29,6.29,16.57,11.43,13.14
674,politics misc,14.84,6.13,5.81,60.65,5.81,6.77
675,guns,49.51,4.87,3.76,13.91,4.45,23.5
676,guns,60.67,5.44,5.86,12.55,7.11,8.37
677,politics misc,15.95,6.19,5.95,51.9,4.05,15.95
678,politics misc,6.41,2.93,2.38,82.23,2.38,3.66
679,politics misc,16.36,11.52,7.88,47.88,7.27,9.09
680,politics misc,31.85,9.27,6.05,40.32,5.24,7.26
681,guns,63.99,2.92,3.41,16.55,5.35,7.79
682,guns,38.31,7.96,8.46,22.39,6.47,16.42
683,guns,53.63,9.62,4.06,13.89,10.26,8.55
684,guns,35.61,20.45,10.61,12.12,9.09,12.12
685,politics misc,22.65,3.66,3.2,57.21,5.72,7.55
686,politics misc,8.07,4.65,3.91,73.11,4.89,5.38
687,guns,28.47,14.6,8.76,24.82,13.14,10.22
688,guns,46.06,5.25,5.25,25.07,6.12,12.24
689,guns,25.85,16.33,14.97,19.05,12.93,10.88
690,guns,40.76,6.69,3.66,31.37,4.3,13.22
691,guns,36.55,15.17,11.03,17.93,8.28,11.03
692,politics misc,19.8,8.53,5.8,47.44,7.51,10.92
693,guns,50.1,3.3,2.52,21.75,5.63,16.7
694,guns,33.59,12.21,7.63,9.92,9.16,27.48
695,guns,47.25,7.69,8.24,14.84,12.64,9.34
696,guns,52.23,9.38,6.25,10.71,11.16,10.27
697,guns,49.87,4.83,4.29,17.96,6.7,16.35
698,guns,34.18,18.35,8.23,19.62,10.76,8.86
699,guns,37.57,16.57,12.71,16.57,6.63,9.94
700,guns,33.73,19.53,7.69,15.38,8.88,14.79
701,guns,53.55,7.11,8.53,12.32,7.11,11.37
702,guns,55.67,7.33,4.0,16.33,5.0,11.67
703,guns,33.33,20.16,13.95,10.08,12.4,10.08
704,guns,55.75,6.39,13.55,12.53,5.88,5.88
705,politics misc,14.04,5.48,6.51,61.64,5.14,7.19
706,guns,38.25,11.48,7.1,19.67,10.38,13.11
707,guns,47.7,6.69,7.95,19.25,8.79,9.62
708,guns,38.85,10.19,7.01,20.38,10.19,13.38
709,guns,39.49,13.38,12.74,15.92,7.64,10.83
710,guns,41.07,5.03,6.76,28.42,8.49,10.23
711,guns,39.86,12.59,9.09,16.08,10.49,11.89
712,guns,51.3,4.61,3.17,15.27,7.78,17.87
713,guns,39.13,12.25,5.53,18.58,5.14,19.37
714,guns,22.83,14.96,16.54,16.54,13.39,15.75
715,politics misc,14.81,20.74,9.63,25.93,17.04,11.85
716,guns,31.58,15.79,10.53,16.67,12.28,13.16
717,guns,55.09,7.44,6.2,9.93,4.22,17.12
718,guns,54.14,10.51,6.69,8.92,6.69,13.06
719,guns,30.17,9.92,11.57,19.01,9.5,19.83
720,guns,34.67,6.53,9.05,21.61,13.57,14.57
721,politics misc,21.01,5.04,6.72,48.32,8.4,10.5
722,politics misc,15.25,3.28,5.21,64.48,4.05,7.72
723,guns,47.93,5.53,9.22,16.13,9.22,11.98
724,guns,55.51,9.32,4.66,16.95,7.2,6.36
725,guns,41.91,5.94,5.61,28.71,6.27,11.55
726,for sale,24.48,29.37,10.49,16.08,9.79,9.79
727,guns,56.23,6.05,6.05,14.23,4.63,12.81
728,guns,52.62,3.42,3.64,28.25,6.38,5.69
729,guns,50.77,5.26,4.02,25.08,8.05,6.81
730,apple hardware,17.97,16.41,9.38,17.19,21.09,17.97
731,guns,31.28,11.85,11.85,17.54,11.85,15.64
732,guns,35.56,6.69,8.45,19.72,11.62,17.96
733,guns,42.48,5.25,6.44,23.87,4.77,17.18
734,guns,35.53,12.72,8.33,25.88,6.14,11.4
735,guns,55.36,6.25,6.25,14.73,8.04,9.38
736,guns,46.34,9.15,6.71,20.12,10.37,7.32
737,guns,40.32,11.29,10.48,12.9,11.29,13.71
738,guns,48.88,3.23,5.46,19.11,8.19,15.14
739,guns,54.27,8.12,5.56,14.53,7.69,9.83
740,guns,56.12,4.85,3.7,20.32,4.62,10.39
741,politics misc,27.55,8.67,5.1,45.92,6.12,6.63
742,guns,58.06,4.17,4.72,20.83,5.0,7.22
743,guns,52.34,6.81,5.96,15.74,8.94,10.21
744,guns,55.57,2.03,4.22,26.86,3.55,7.77
745,guns,36.07,7.31,7.31,29.68,6.39,13.24
746,guns,30.94,14.39,10.79,17.99,12.23,13.67
747,politics misc,29.49,6.45,3.46,36.18,12.21,12.21
748,guns,39.49,10.14,6.88,26.09,9.06,8.33
749,guns,45.95,6.76,9.46,16.67,7.21,13.96
750,politics misc,14.11,7.05,8.71,47.93,5.19,17.01
751,politics misc,22.48,13.18,15.12,26.36,4.65,18.22
752,guns,37.85,8.76,10.36,16.73,13.94,12.35
753,guns,34.27,16.78,9.79,13.99,11.19,13.99
754,guns,28.33,10.83,10.0,21.67,15.0,14.17
755,guns,30.6,9.29,7.1,22.95,21.31,8.74
756,guns,64.04,5.56,5.85,12.87,6.14,5.56
757,politics misc,30.81,8.08,6.57,40.4,6.06,8.08
758,politics misc,21.71,13.16,7.89,37.5,7.89,11.84
759,politics misc,15.42,10.13,6.61,55.07,4.85,7.93
760,politics misc,25.3,6.83,6.02,48.59,7.23,6.02
761,guns,46.65,5.23,6.9,27.82,5.02,8.37
762,politics misc,22.69,13.03,12.18,29.83,7.98,14.29
763,guns,43.48,12.08,8.7,12.56,7.25,15.94
764,guns,48.67,13.33,7.33,10.67,11.33,8.67
765,guns,48.74,7.58,5.05,20.58,6.5,11.55
766,politics misc,14.01,2.6,1.73,75.59,2.94,3.13
767,guns,48.28,7.14,4.68,21.18,6.16,12.56
768,guns,49.7,13.41,11.89,8.54,6.71,9.76
769,guns,27.52,14.68,13.76,14.68,12.84,16.51
770,guns,34.08,11.24,8.61,28.84,6.74,10.49
771,guns,50.21,9.87,4.72,18.45,8.58,8.15
772,guns,49.61,6.43,4.63,18.77,5.14,15.42
773,guns,50.44,6.64,5.75,18.14,7.08,11.95
774,apple hardware,17.19,16.41,14.84,14.06,27.34,10.16
775,guns,32.2,13.98,8.05,19.07,9.75,16.95
776,guns,30.46,14.72,13.2,21.32,9.64,10.66
777,guns,28.99,7.98,6.72,28.57,12.18,15.55
778,guns,32.64,9.92,6.61,30.99,9.92,9.92
779,guns,47.54,3.52,5.2,26.44,5.63,11.67
780,politics misc,21.15,11.54,7.31,30.38,12.31,17.31
781,politics misc,7.3,2.4,1.39,81.61,2.77,4.53
782,politics misc,27.36,9.45,7.46,35.32,11.44,8.96
783,politics misc,13.95,14.73,10.85,39.53,9.3,11.63
784,politics misc,10.83,10.83,5.42,57.92,6.25,8.75
785,guns,46.82,15.0,7.73,15.0,7.27,8.18
786,guns,39.58,15.28,12.5,12.5,9.03,11.11
787,guns,35.09,14.34,6.79,27.17,6.42,10.19
788,guns,24.7,16.87,10.24,16.87,12.65,18.67
789,guns,38.52,11.48,9.43,22.13,9.43,9.02
790,guns,50.24,9.66,6.28,14.49,7.25,12.08
791,guns,56.57,8.75,4.71,16.84,6.4,6.73
792,politics misc,12.12,8.48,7.88,49.09,9.09,13.33
793,guns,39.53,12.4,9.3,18.6,9.3,10.85
794,guns,36.27,12.75,8.82,21.57,6.86,13.73
795,guns,40.64,8.22,7.31,26.48,8.22,9.13
796,guns,50.55,4.95,8.24,20.33,5.22,10.71
797,guns,45.97,12.5,14.11,12.9,5.65,8.87
798,guns,38.31,11.69,4.87,22.73,8.77,13.64
799,guns,38.89,12.78,7.22,16.67,8.89,15.56
800,apple hardware,7.49,8.37,11.45,12.78,37.89,22.03
801,for sale,19.42,30.22,7.91,17.99,13.67,10.79
802,for sale,10.45,34.33,8.96,20.9,15.67,9.7
803,apple hardware,7.75,22.54,15.49,12.68,28.87,12.68
804,apple hardware,8.72,30.23,6.4,8.14,33.72,12.79
805,for sale,13.59,29.13,14.56,12.62,19.42,10.68
806,for sale,16.13,35.48,11.29,12.1,11.29,13.71
807,for sale,11.85,42.22,9.63,12.59,14.81,8.89
808,apple hardware,17.05,11.36,14.77,15.91,26.14,14.77
809,for sale,11.36,28.41,10.8,17.61,22.16,9.66
810,apple hardware,9.09,18.94,11.36,10.61,41.67,8.33
811,for sale,15.67,24.63,13.43,12.69,22.39,11.19
812,apple hardware,13.91,10.43,8.7,15.65,40.0,11.3
813,apple hardware,13.21,12.26,6.6,12.26,46.7,8.96
814,guns,20.41,16.33,16.33,12.24,19.39,15.31
815,for sale,11.0,24.0,12.0,17.0,24.0,12.0
816,apple hardware,10.18,20.35,7.52,13.72,38.05,10.18
817,apple hardware,20.45,10.23,20.45,15.91,23.86,9.09
818,apple hardware,7.02,12.92,13.2,19.66,34.27,12.92
819,for sale,18.09,26.6,15.96,11.7,15.96,11.7
820,atheism,15.68,17.3,9.19,9.73,16.76,31.35
821,apple hardware,11.67,23.33,12.5,11.67,30.0,10.83
822,apple hardware,17.36,16.67,8.33,12.5,33.33,11.81
823,for sale,13.59,36.89,10.68,12.62,14.56,11.65
824,apple hardware,11.06,11.49,5.96,18.3,43.4,9.79
825,apple hardware,13.51,20.72,16.22,10.81,26.13,12.61
826,for sale,13.91,29.57,11.3,15.65,17.39,12.17
827,apple hardware,8.2,9.84,7.1,17.49,46.99,10.38
828,for sale,10.85,37.98,9.3,14.73,16.28,10.85
829,for sale,7.56,48.84,8.14,7.56,20.35,7.56
830,for sale,9.09,28.57,12.34,13.64,22.08,14.29
831,for sale,11.32,33.02,12.26,12.26,20.75,10.38
832,for sale,14.91,29.19,9.32,15.53,22.36,8.7
833,for sale,6.59,34.13,15.57,14.37,17.37,11.98
834,for sale,12.37,36.02,7.53,16.67,17.2,10.22
835,apple hardware,12.04,21.3,12.04,13.89,26.85,13.89
836,apple hardware,7.39,18.18,10.23,12.5,42.61,9.09
837,apple hardware,11.22,21.43,19.39,11.22,26.53,10.2
838,apple hardware,13.18,12.4,18.6,17.05,28.68,10.08
839,apple hardware,21.11,13.33,10.56,12.78,27.22,15.0
840,apple hardware,11.46,16.67,16.67,11.46,31.25,12.5
841,for sale,10.05,43.39,8.99,15.34,12.17,10.05
842,apple hardware,11.96,17.93,9.24,16.3,36.96,7.61
843,politics misc,13.97,16.16,7.86,26.64,24.89,10.48
844,apple hardware,12.23,12.23,7.45,14.89,43.09,10.11
845,apple hardware,9.7,14.18,11.19,8.96,45.52,10.45
846,apple hardware,11.44,21.89,6.97,19.4,34.33,5.97
847,apple hardware,6.99,8.82,4.78,9.93,60.29,9.19
848,for sale,12.08,39.6,8.05,12.08,18.12,10.07
849,for sale,10.28,31.78,16.82,11.21,14.95,14.95
850,hockey,8.89,20.74,28.89,11.11,20.74,9.63
851,apple hardware,13.1,27.59,8.28,13.79,28.28,8.97
852,for sale,10.91,26.36,16.36,20.0,12.73,13.64
853,apple hardware,9.09,26.67,10.3,18.18,27.27,8.48
854,for sale,14.41,24.58,16.1,12.71,16.95,15.25
855,for sale,12.29,30.73,11.73,15.08,16.76,13.41
856,apple hardware,11.66,15.95,11.04,21.47,31.29,8.59
857,for sale,13.79,29.31,9.48,18.97,17.24,11.21
858,for sale,11.82,32.73,13.64,12.73,20.0,9.09
859,apple hardware,12.35,19.14,13.58,16.67,30.25,8.02
860,politics misc,10.05,21.61,6.53,28.64,22.61,10.55
861,apple hardware,10.0,11.11,8.89,21.11,38.89,10.0
862,apple hardware,11.76,19.33,15.97,13.45,26.89,12.61
863,apple hardware,10.29,19.85,11.03,10.29,35.29,13.24
864,apple hardware,12.06,14.41,9.12,20.29,34.41,9.71
865,for sale,9.73,42.48,10.62,14.16,13.27,9.73
866,for sale,10.56,38.33,8.33,13.89,22.22,6.67
867,for sale,11.95,30.82,10.06,14.47,16.98,15.72
868,apple hardware,7.43,16.0,7.43,9.71,51.43,8.0
869,for sale,10.91,28.18,17.27,9.09,23.64,10.91
870,apple hardware,6.97,16.8,8.61,13.52,39.34,14.75
871,apple hardware,10.39,25.32,10.39,13.64,31.82,8.44
872,for sale,9.84,28.69,9.84,25.41,18.03,8.2
873,for sale,11.56,28.57,10.2,14.29,23.81,11.56
874,politics misc,10.67,20.95,7.51,24.11,18.58,18.18
875,for sale,9.65,41.23,12.28,10.53,11.4,14.91
876,politics misc,13.91,20.0,12.17,27.83,13.04,13.04
877,for sale,10.05,28.14,9.55,16.58,22.61,13.07
878,politics misc,8.61,25.17,8.61,29.14,18.54,9.93
879,apple hardware,11.36,21.02,9.09,10.23,38.64,9.66
880,apple hardware,18.83,12.99,14.94,13.64,27.92,11.69
881,politics misc,12.61,22.69,9.24,25.21,19.33,10.92
882,apple hardware,8.24,14.12,7.65,20.0,42.35,7.65
883,apple hardware,6.42,8.56,5.81,4.89,67.58,6.73
884,apple hardware,5.2,7.34,5.81,7.95,66.67,7.03
885,apple hardware,7.93,14.63,21.34,18.29,28.66,9.15
886,apple hardware,10.38,26.42,8.02,15.57,29.72,9.91
887,for sale,13.29,26.57,13.29,12.59,26.57,7.69
888,apple hardware,12.5,13.19,20.83,20.83,25.0,7.64
889,politics misc,9.54,21.58,6.22,36.51,17.43,8.71
890,apple hardware,9.3,14.73,8.53,12.4,44.96,10.08
891,apple hardware,9.57,10.43,10.43,11.3,47.83,10.43
892,for sale,8.33,27.98,9.52,22.02,20.83,11.31
893,for sale,8.16,38.78,9.52,18.37,15.65,9.52
894,apple hardware,9.79,25.87,11.19,12.59,27.27,13.29
895,for sale,8.89,25.0,18.33,15.56,24.44,7.78
896,apple hardware,7.76,18.75,4.53,13.36,48.06,7.54
897,apple hardware,10.27,15.07,8.22,10.96,47.95,7.53
898,apple hardware,10.71,23.81,6.55,16.07,30.36,12.5
899,apple hardware,7.84,23.14,7.84,15.69,39.61,5.88
900,apple hardware,7.04,21.11,7.04,22.61,33.67,8.54
901,for sale,12.73,33.64,9.09,12.73,18.18,13.64
902,apple hardware,11.76,12.61,14.29,14.29,31.09,15.97
903,apple hardware,11.84,12.5,8.55,17.76,36.84,12.5
904,apple hardware,13.91,14.78,18.26,12.17,30.43,10.43
905,apple hardware,14.01,10.63,10.14,18.36,35.27,11.59
906,apple hardware,12.3,16.58,6.95,11.76,45.45,6.95
907,apple hardware,6.48,13.43,10.65,19.44,43.06,6.94
908,apple hardware,13.73,15.69,11.76,12.75,33.33,12.75
909,apple hardware,8.79,11.72,5.44,14.64,51.88,7.53
910,apple hardware,10.48,16.19,10.48,20.0,30.48,12.38
911,for sale,12.39,33.63,14.16,9.73,18.58,11.5
912,apple hardware,9.63,24.44,8.15,14.81,28.89,14.07
913,apple hardware,10.5,18.5,9.5,23.5,30.0,8.0
914,apple hardware,9.52,11.64,6.88,11.11,44.97,15.87
915,apple hardware,11.18,26.09,9.94,14.91,27.95,9.94
916,for sale,8.76,31.39,10.95,10.95,23.36,14.6
917,for sale,10.43,31.9,11.04,15.34,22.7,8.59
918,for sale,14.81,25.93,11.11,17.9,19.75,10.49
919,for sale,9.43,41.51,9.43,8.18,18.87,12.58
920,politics misc,11.02,22.46,7.63,27.54,21.19,10.17
921,for sale,14.91,26.09,9.32,22.36,20.5,6.83
922,for sale,14.77,26.14,13.64,13.64,20.45,11.36
923,apple hardware,9.47,9.47,7.69,21.89,39.64,11.83
924,apple hardware,7.69,11.72,7.33,17.22,49.45,6.59
925,apple hardware,13.21,25.16,8.18,16.35,27.67,9.43
926,for sale,10.58,37.5,11.54,13.46,16.35,10.58
