document,actual,atheism,hockey,apple hardware,for sale,guns,electronics
464,atheism,66.29,6.38,5.92,7.97,6.83,6.61
465,atheism,45.76,7.91,7.34,16.38,14.12,8.47
466,atheism,62.58,4.72,8.18,7.23,12.26,5.03
467,atheism,42.71,10.05,10.55,18.59,8.54,9.55
468,atheism,42.59,7.87,7.41,13.43,21.3,7.41
469,atheism,48.31,7.87,8.99,20.6,9.36,4.87
470,atheism,54.63,6.61,4.85,13.22,13.22,7.49
471,atheism,30.67,12.0,9.33,20.0,12.67,15.33
472,atheism,32.57,7.43,14.86,22.29,13.14,9.71
473,for sale,21.62,13.51,10.81,31.53,10.81,11.71
474,atheism,31.45,10.48,12.1,20.97,13.71,11.29
475,atheism,27.92,11.69,11.04,25.32,12.99,11.04
476,atheism,31.91,10.64,8.51,30.5,9.22,9.22
477,atheism,50.33,9.8,6.54,10.46,15.03,7.84
478,atheism,52.05,9.59,7.53,14.38,8.22,8.22
479,atheism,36.73,11.22,13.27,14.29,11.22,13.27
480,for sale,10.48,12.38,22.86,29.52,10.48,14.29
481,apple hardware,11.72,10.16,32.81,17.19,12.5,15.62
482,for sale,11.3,10.43,21.74,34.78,8.7,13.04
483,apple hardware,9.68,9.68,39.52,15.32,9.68,16.13
484,apple hardware,7.84,20.92,26.14,20.92,9.8,14.38
485,apple hardware,12.94,15.29,27.06,16.47,11.76,16.47
486,apple hardware,11.43,11.43,36.19,20.0,9.52,11.43
487,for sale,14.37,10.0,8.75,36.88,20.0,10.0
488,for sale,7.27,9.09,21.21,34.55,10.91,16.97
489,electronics,5.04,5.04,27.59,5.31,5.31,51.72
490,for sale,12.2,19.51,15.45,26.02,12.2,14.63
491,electronics,10.53,20.18,13.16,15.79,14.04,26.32
492,apple hardware,9.73,8.85,40.71,15.04,10.62,15.04
493,apple hardware,10.31,14.43,36.08,13.4,11.34,14.43
494,apple hardware,10.59,8.24,38.82,17.06,10.0,15.29
495,apple hardware,8.9,17.79,49.11,8.54,8.19,7.47
496,apple hardware,5.69,9.95,48.82,14.69,8.53,12.32
497,apple hardware,8.22,10.96,34.25,16.44,10.96,19.18
498,apple hardware,14.13,10.87,35.87,13.04,11.96,14.13
499,apple hardware,7.1,11.61,38.06,14.19,8.39,20.65
500,apple hardware,9.48,16.38,29.31,23.28,12.07,9.48
501,apple hardware,13.54,16.67,31.25,12.5,11.46,14.58
502,apple hardware,8.72,11.34,43.02,5.23,21.8,9.88
503,apple hardware,15.54,10.14,25.0,25.0,12.84,11.49
504,electronics,10.68,17.48,18.45,15.53,9.71,28.16
505,atheism,27.44,10.37,16.46,23.17,10.98,11.59
506,for sale,14.85,12.87,16.83,24.75,13.86,16.83
507,electronics,10.0,9.33,20.0,12.67,12.0,36.0
508,for sale,26.5,7.0,15.5,29.0,12.0,10.0
509,apple hardware,8.7,20.0,29.57,12.17,9.57,20.0
510,apple hardware,9.56,13.24,38.24,12.5,11.03,15.44
511,for sale,16.67,16.67,12.88,19.7,15.91,18.18
512,electronics,10.33,8.7,22.83,24.46,7.61,26.09
513,apple hardware,7.91,10.07,40.29,16.55,12.23,12.95
514,apple hardware,11.3,6.21,50.85,14.12,7.34,10.17
515,apple hardware,17.39,12.17,26.09,18.26,9.57,16.52
516,electronics,12.5,12.5,20.83,16.67,13.54,23.96
517,electronics,11.11,15.56,22.22,11.11,12.22,27.78
518,apple hardware,8.33,8.33,47.44,9.62,9.62,16.67
519,apple hardware,21.69,9.04,40.36,9.04,10.24,9.64
520,apple hardware,7.89,9.87,46.05,10.53,7.89,17.76
521,apple hardware,10.13,8.86,48.1,8.23,10.13,14.56
522,apple hardware,12.85,9.5,31.28,15.08,16.76,14.53
523,apple hardware,10.1,12.12,32.32,16.16,12.12,17.17
524,hockey,8.93,23.21,22.32,18.75,10.71,16.07
525,apple hardware,15.76,7.27,33.33,15.76,13.33,14.55
526,apple hardware,7.23,7.83,49.4,9.64,10.24,15.66
527,apple hardware,13.33,10.0,40.0,18.0,10.0,8.67
528,apple hardware,13.41,10.14,36.59,10.51,19.2,10.14
529,apple hardware,7.26,7.69,58.12,5.98,8.12,12.82
530,apple hardware,10.24,14.96,29.13,18.9,11.02,15.75
531,apple hardware,8.84,12.24,25.17,20.41,15.65,17.69
532,apple hardware,13.22,9.92,41.32,16.53,9.92,9.09
533,hockey,9.23,23.59,15.38,14.36,20.51,16.92
534,apple hardware,15.18,16.07,21.43,19.64,8.93,18.75
535,apple hardware,7.47,8.05,38.51,13.22,9.77,22.99
536,electronics,10.32,10.32,11.11,17.46,14.29,36.51
537,apple hardware,12.73,10.0,25.45,18.18,17.27,16.36
538,apple hardware,9.84,9.02,35.25,13.93,11.48,20.49
539,apple hardware,10.19,10.19,29.63,25.0,12.04,12.96
540,apple hardware,9.36,14.04,28.65,16.37,11.7,19.88
541,apple hardware,10.32,12.7,43.65,9.52,12.7,11.11
542,apple hardware,11.65,8.84,38.15,15.26,14.46,11.65
543,apple hardware,12.12,11.11,29.29,15.15,17.17,15.15
544,apple hardware,9.38,14.84,34.38,13.28,11.72,16.41
545,apple hardware,4.78,8.46,54.78,9.19,4.04,18.75
546,apple hardware,9.42,14.49,36.23,17.39,13.77,8.7
547,electronics,8.31,9.79,13.35,12.76,12.17,43.62
548,for sale,7.79,8.44,24.03,28.57,16.88,14.29
549,for sale,6.88,6.88,25.4,29.1,20.11,11.64
550,for sale,13.13,15.15,22.22,24.24,13.13,12.12
551,apple hardware,18.14,6.51,28.84,27.91,10.23,8.37
552,apple hardware,10.14,18.12,36.96,10.14,7.97,16.67
553,apple hardware,7.94,15.87,40.48,10.32,7.94,17.46
554,apple hardware,10.97,11.61,36.13,17.42,13.55,10.32
555,apple hardware,10.57,11.38,26.02,23.58,15.45,13.01
556,apple hardware,21.21,12.73,26.67,15.76,11.52,12.12
557,electronics,11.49,12.64,13.79,21.84,16.09,24.14
558,apple hardware,8.72,10.74,42.95,10.74,13.42,13.42
559,apple hardware,8.18,20.13,29.56,16.35,11.95,13.84
560,electronics,7.11,17.78,19.56,18.22,8.44,28.89
561,apple hardware,8.14,26.74,31.4,8.14,13.95,11.63
562,apple hardware,6.99,8.6,43.01,9.68,8.6,23.12
563,apple hardware,8.89,9.44,26.11,22.78,19.44,13.33
564,apple hardware,6.94,6.94,52.6,13.87,8.67,10.98
565,electronics,14.04,11.11,21.05,11.11,11.11,31.58
566,electronics,13.46,15.38,19.23,13.46,8.17,30.29
567,apple hardware,13.53,9.02,31.58,18.8,14.29,12.78
568,hockey,12.84,20.18,20.18,18.35,11.93,16.51
569,apple hardware,9.33,8.67,50.0,10.0,12.67,9.33
570,hockey,10.17,22.03,21.19,18.64,14.41,13.56
571,apple hardware,10.92,15.13,27.73,15.97,13.45,16.81
572,apple hardware,8.07,10.56,40.99,13.66,11.8,14.91
573,for sale,14.71,12.75,16.67,32.35,11.76,11.76
574,apple hardware,11.43,13.33,21.9,16.19,15.24,21.9
575,apple hardware,11.36,8.33,43.18,15.91,9.09,12.12
576,apple hardware,11.9,9.52,38.89,14.29,8.73,16.67
577,apple hardware,7.65,8.24,49.41,8.24,9.41,17.06
578,apple hardware,12.24,11.22,30.61,22.45,10.2,13.27
579,apple hardware,11.76,15.69,25.49,11.76,20.59,14.71
580,apple hardware,13.39,15.18,27.68,16.07,14.29,13.39
581,apple hardware,10.46,12.42,40.52,15.03,9.15,12.42
582,apple hardware,7.52,9.02,42.11,17.29,13.53,10.53
583,apple hardware,14.41,6.55,46.72,13.54,10.04,8.73
584,apple hardware,11.49,14.86,28.38,16.89,17.57,10.81
585,apple hardware,17.19,10.94,26.56,11.72,10.94,22.66
586,electronics,11.17,16.76,11.73,11.17,8.94,40.22
587,electronics,10.64,8.51,29.79,9.22,7.8,34.04
588,hockey,8.94,24.02,23.46,9.5,13.97,20.11
589,apple hardware,10.48,12.38,38.1,12.38,12.38,14.29
590,apple hardware,11.97,11.97,32.39,12.68,7.75,23.24
591,apple hardware,9.84,9.84,38.52,11.48,16.39,13.93
592,apple hardware,9.26,15.74,26.85,16.67,12.04,19.44
593,apple hardware,10.48,13.71,29.03,14.52,13.71,18.55
594,apple hardware,10.0,13.08,40.0,11.54,13.85,11.54
595,electronics,11.43,10.71,24.29,15.71,11.43,26.43
596,apple hardware,9.79,8.39,54.55,9.79,6.99,10.49
597,apple hardware,15.53,5.34,48.06,8.74,6.8,15.53
598,apple hardware,10.4,7.34,54.43,4.59,14.98,8.26
599,apple hardware,6.0,7.0,58.0,7.0,13.5,8.5
600,apple hardware,10.9,8.97,50.64,7.69,12.82,8.97
601,apple hardware,14.81,7.41,47.22,10.19,10.65,9.72
602,apple hardware,17.36,12.12,22.04,13.22,14.33,20.94
603,apple hardware,10.43,10.43,46.09,13.91,8.7,10.43
604,electronics,16.98,13.21,14.15,16.98,16.04,22.64
605,apple hardware,9.52,17.14,22.86,14.29,15.24,20.95
606,electronics,10.28,19.63,17.76,14.95,9.35,28.04
607,electronics,11.04,12.34,21.43,15.58,12.99,26.62
608,apple hardware,15.58,15.58,19.48,16.88,16.88,15.58
609,for sale,17.39,8.07,16.77,28.57,16.15,13.04
610,apple hardware,11.26,8.11,28.38,17.12,22.07,13.06
611,electronics,10.95,13.87,17.52,16.79,15.33,25.55
612,electronics,7.53,6.85,10.96,10.27,8.9,55.48
613,for sale,12.37,12.37,21.65,26.8,12.37,14.43
614,apple hardware,10.48,11.43,40.95,11.43,10.48,15.24
615,apple hardware,10.07,10.74,36.91,10.74,11.41,20.13
616,hockey,8.27,26.32,21.05,12.78,18.8,12.78
617,apple hardware,10.28,17.76,23.36,19.63,13.08,15.89
618,electronics,9.62,11.06,18.75,11.54,13.46,35.58
619,electronics,8.51,14.18,19.86,17.73,17.02,22.7
620,apple hardware,11.83,19.35,23.66,12.9,11.83,20.43
621,apple hardware,12.62,10.68,31.07,17.48,12.62,15.53
622,for sale,13.85,12.31,22.31,24.62,13.85,13.08
623,for sale,10.66,10.66,27.87,30.33,9.02,11.48
624,apple hardware,7.59,7.59,53.1,8.97,11.03,11.72
625,apple hardware,8.68,7.31,52.05,10.5,5.94,15.53
626,apple hardware,10.2,12.24,38.78,11.22,12.24,15.31
627,apple hardware,8.95,8.56,54.47,7.78,8.56,11.67
628,electronics,7.14,12.5,18.75,18.3,12.95,30.36
629,hockey,8.77,27.49,18.13,18.13,8.19,19.3
630,electronics,8.94,13.01,26.02,12.2,10.57,29.27
631,apple hardware,10.67,12.0,25.33,18.67,15.56,17.78
632,electronics,10.39,22.08,16.88,9.74,10.39,30.52
633,apple hardware,18.75,11.88,39.38,9.38,10.0,10.62
634,apple hardware,11.01,11.01,28.44,14.68,9.17,25.69
635,apple hardware,10.96,13.7,32.88,15.75,14.38,12.33
636,apple hardware,14.68,18.35,21.1,15.6,15.6,14.68
637,apple hardware,9.17,8.33,39.17,19.17,12.5,11.67
638,hockey,4.39,81.3,5.98,2.5,4.01,1.82
639,apple hardware,10.2,15.65,32.65,14.29,9.52,17.69
640,hockey,5.12,68.29,8.54,5.85,5.37,6.83
641,hockey,15.74,20.37,16.67,11.11,17.59,18.52
642,apple hardware,11.36,9.09,36.36,12.12,15.15,15.91
643,apple hardware,9.09,10.0,24.55,14.55,19.09,22.73
644,apple hardware,7.96,10.38,43.6,15.22,11.07,11.76
645,for sale,11.0,10.0,22.0,27.0,15.0,15.0
646,apple hardware,11.11,12.12,25.25,10.1,17.17,24.24
647,apple hardware,8.61,9.93,38.41,9.93,11.26,21.85
648,apple hardware,13.64,18.18,26.14,15.91,11.36,14.77
649,apple hardware,7.32,9.76,50.61,7.32,10.98,14.02
650,apple hardware,9.62,13.46,36.54,15.38,11.54,13.46
651,apple hardware,16.96,10.71,39.29,9.82,12.5,10.71
652,apple hardware,8.96,10.95,36.32,7.96,9.95,25.87
653,apple hardware,6.43,10.53,39.18,10.53,8.77,24.56
654,apple hardware,9.68,18.55,28.23,12.9,14.52,16.13
655,apple hardware,11.21,12.15,31.78,17.76,13.08,14.02
656,for sale,16.0,17.0,17.0,18.0,14.0,18.0
657,apple hardware,10.32,10.32,38.89,15.87,14.29,10.32
658,electronics,16.79,10.69,19.85,19.08,12.98,20.61
659,apple hardware,12.99,15.58,24.68,16.88,15.58,14.29
660,apple hardware,10.87,13.04,34.78,16.3,13.04,11.96
661,apple hardware,22.05,8.72,31.79,8.21,11.79,17.44
662,apple hardware,10.87,23.91,27.17,13.04,13.04,11.96
663,apple hardware,13.64,15.45,33.64,11.82,10.91,14.55
664,apple hardware,9.57,19.68,35.11,15.43,7.98,12.23
665,apple hardware,14.81,20.37,27.78,13.89,12.96,10.19
666,apple hardware,9.82,13.39,25.89,17.86,14.29,18.75
667,hockey,15.93,26.55,13.27,13.27,11.5,19.47
668,electronics,13.08,13.08,14.02,16.82,14.02,28.97
669,electronics,13.25,11.26,16.56,19.21,15.89,23.84
670,apple hardware,10.53,8.27,42.86,15.04,12.03,11.28
671,apple hardware,11.99,5.24,53.18,13.11,6.74,9.74
672,apple hardware,8.15,8.89,52.59,10.37,8.15,11.85
673,apple hardware,7.05,6.41,54.49,8.97,8.97,14.1
674,apple hardware,15.35,10.89,26.24,16.83,13.37,17.33
675,for sale,12.5,16.41,13.28,28.12,18.75,10.94
676,apple hardware,9.91,9.91,41.44,16.22,9.01,13.51
677,for sale,4.31,7.41,13.13,63.73,6.81,4.61
678,for sale,11.65,11.65,23.3,24.27,9.71,19.42
679,apple hardware,10.87,10.87,32.61,19.57,14.13,11.96
680,apple hardware,5.7,9.89,53.99,11.79,6.08,12.55
681,apple hardware,13.13,12.12,37.37,13.13,10.1,14.14
682,hockey,11.11,24.24,24.24,14.14,14.14,12.12
683,apple hardware,12.12,18.18,24.24,19.19,14.14,12.12
684,electronics,12.24,20.41,16.33,14.29,10.2,26.53
685,electronics,7.04,11.27,19.72,19.01,12.68,30.28
686,apple hardware,8.15,9.63,50.37,8.15,8.89,14.81
687,apple hardware,7.27,26.99,34.26,16.61,5.19,9.69
688,apple hardware,14.13,15.22,26.09,13.04,10.87,20.65
689,apple hardware,13.41,13.41,35.37,12.2,13.41,12.2
690,apple hardware,11.71,10.81,39.64,11.71,11.71,14.41
691,apple hardware,15.09,10.38,27.36,19.81,11.32,16.04
692,apple hardware,8.13,13.82,42.28,13.01,11.38,11.38
693,apple hardware,12.75,17.97,28.7,14.49,12.75,13.33
694,guns,14.86,12.84,21.96,13.85,28.38,8.11
695,apple hardware,10.45,9.7,54.48,8.21,8.21,8.96
696,apple hardware,11.63,11.63,23.26,17.83,15.5,20.16
697,apple hardware,6.31,4.5,54.95,7.21,9.46,17.57
698,apple hardware,4.72,6.87,52.36,7.73,7.73,20.6
699,apple hardware,12.24,15.31,31.63,14.29,12.24,14.29
700,apple hardware,22.62,15.48,28.57,11.9,11.31,10.12
701,apple hardware,10.49,9.26,43.83,9.26,9.88,17.28
702,apple hardware,5.66,9.43,55.66,8.96,7.08,13.21
703,apple hardware,6.83,7.74,67.2,5.47,8.43,4.33
704,apple hardware,9.62,8.33,48.72,10.26,8.33,14.74
705,apple hardware,8.27,7.89,53.76,8.65,9.77,11.65
706,apple hardware,19.64,13.69,36.31,7.14,8.93,14.29
707,apple hardware,9.93,11.26,37.75,13.25,14.57,13.25
708,apple hardware,7.97,11.16,48.21,5.98,13.94,12.75
709,apple hardware,8.03,13.14,37.96,15.33,11.68,13.87
710,apple hardware,11.89,12.59,34.97,10.49,16.08,13.99
711,apple hardware,11.48,13.11,36.07,11.48,10.66,17.21
712,apple hardware,13.91,11.3,30.43,14.78,16.52,13.04
713,apple hardware,8.64,9.26,52.47,9.26,8.64,11.73
714,apple hardware,15.83,10.07,23.02,15.11,16.55,19.42
715,apple hardware,9.38,8.33,43.75,10.94,11.46,16.15
716,apple hardware,10.81,15.32,36.04,13.51,13.51,10.81
717,apple hardware,13.83,15.96,30.85,14.89,11.7,12.77
718,electronics,8.18,11.95,29.56,7.55,6.92,35.85
719,electronics,8.77,8.19,26.9,11.7,9.94,34.5
720,apple hardware,14.15,14.15,24.53,16.04,12.26,18.87
721,apple hardware,11.39,9.9,37.62,14.85,11.39,14.85
722,apple hardware,7.25,7.25,36.27,8.29,9.33,31.61
723,apple hardware,12.98,7.63,30.53,16.79,13.74,18.32
724,apple hardware,8.24,18.82,37.65,11.76,9.41,14.12
725,apple hardware,12.2,13.41,31.71,15.85,12.2,14.63
726,apple hardware,9.45,8.66,42.52,11.02,11.02,17.32
727,electronics,12.98,14.5,16.79,16.03,13.74,25.95
728,apple hardware,9.21,8.55,48.03,12.5,12.5,9.21
729,hockey,10.04,45.19,19.25,7.53,8.79,9.21
730,apple hardware,8.97,10.26,36.54,19.87,14.1,10.26
731,apple hardware,10.2,8.84,34.01,11.56,8.16,27.21
732,for sale,9.2,11.49,21.26,28.16,10.92,18.97
733,electronics,10.62,15.93,20.35,15.04,15.04,23.01
734,electronics,9.35,12.23,17.99,14.39,12.95,33.09
735,apple hardware,9.62,12.13,37.66,11.72,9.21,19.67
736,for sale,9.26,15.74,17.59,27.78,13.89,15.74
737,apple hardware,10.74,9.09,36.36,19.83,9.92,14.05
738,apple hardware,5.52,27.24,30.0,14.48,15.17,7.59
739,apple hardware,12.63,17.89,31.58,13.68,10.53,13.68
740,apple hardware,6.63,8.16,28.06,15.82,20.41,20.92
741,hockey,10.85,21.71,21.71,11.63,21.71,12.4
742,apple hardware,9.35,15.83,41.73,12.23,8.63,12.23
743,guns,10.74,11.57,19.83,14.05,22.31,21.49
744,apple hardware,7.69,11.54,48.08,7.05,10.26,15.38
745,for sale,15.9,9.74,18.46,22.56,20.0,13.33
746,apple hardware,6.57,11.11,26.26,16.67,15.15,24.24
747,electronics,8.28,13.79,17.93,17.93,10.34,31.72
748,apple hardware,10.58,12.5,23.08,19.23,11.54,23.08
749,electronics,18.56,11.86,22.16,8.25,13.92,25.26
750,electronics,6.52,11.41,17.39,9.24,16.3,39.13
751,electronics,9.4,10.26,17.09,18.8,15.38,29.06
752,for sale,12.79,18.6,16.28,20.93,12.79,18.6
753,hockey,10.4,30.64,26.59,15.61,6.94,9.83
754,apple hardware,11.25,10.62,43.12,13.75,11.25,10.0
755,electronics,11.21,11.21,18.69,16.82,14.02,28.04
756,apple hardware,19.67,9.02,26.23,18.85,14.75,11.48
757,for sale,13.1,22.07,15.86,22.76,17.24,8.97
758,apple hardware,11.36,13.64,25.0,23.86,12.5,13.64
759,apple hardware,10.89,12.87,34.65,15.84,10.89,14.85
760,apple hardware,11.43,11.43,28.57,12.14,12.86,23.57
761,apple hardware,4.8,4.8,55.9,6.55,10.04,17.9
762,apple hardware,5.43,6.79,52.49,6.33,6.33,22.62
763,electronics,13.89,12.04,19.44,14.81,16.67,23.15
764,for sale,12.88,12.12,15.91,20.45,18.94,19.7
765,apple hardware,14.56,9.71,38.83,14.56,10.68,11.65
766,apple hardware,7.97,12.32,29.71,18.12,7.97,23.91
767,apple hardware,6.49,8.44,49.35,16.88,7.79,11.04
768,for sale,11.3,13.04,20.0,22.61,21.74,11.3
769,apple hardware,10.09,10.09,37.61,12.84,12.84,16.51
770,apple hardware,8.06,10.48,37.9,12.1,10.48,20.97
771,apple hardware,11.21,12.07,33.62,15.52,12.07,15.52
772,apple hardware,9.38,9.38,48.44,13.28,8.59,10.94
773,apple hardware,9.8,7.84,45.1,11.11,7.84,18.3
774,apple hardware,13.13,18.18,23.23,17.17,11.11,17.17
775,apple hardware,11.97,21.37,23.08,13.68,8.55,21.37
776,electronics,11.68,21.17,20.44,8.76,12.41,25.55
777,apple hardware,12.64,8.24,41.21,7.69,13.74,16.48
778,apple hardware,14.29,6.52,29.5,15.22,7.45,27.02
779,for sale,13.86,15.84,16.83,19.8,16.83,16.83
780,for sale,9.6,10.4,23.2,26.4,10.4,20.0
781,apple hardware,13.93,10.66,27.05,17.21,9.84,21.31
782,electronics,8.9,10.47,16.23,16.23,9.42,38.74
783,electronics,11.72,11.72,19.53,14.06,13.28,29.69
784,apple hardware,13.29,11.89,39.16,10.49,11.89,13.29
785,for sale,11.61,9.03,16.77,23.87,20.0,18.71
786,apple hardware,11.22,12.24,33.67,13.27,12.24,17.35
787,apple hardware,9.8,13.07,40.52,15.69,11.11,9.8
788,apple hardware,11.03,11.03,23.45,13.1,17.93,23.45
789,apple hardware,7.73,5.67,54.12,6.7,9.79,15.98
790,electronics,7.73,9.66,25.6,15.94,13.53,27.54
791,apple hardware,10.83,14.17,24.17,15.83,10.83,24.17
792,apple hardware,8.88,7.01,35.51,11.68,10.28,26.64
793,apple hardware,8.16,7.14,37.76,23.47,12.76,10.71
794,apple hardware,5.64,6.67,56.92,6.67,8.72,15.38
795,apple hardware,10.96,8.9,38.36,13.01,10.27,18.49
796,apple hardware,10.0,15.38,26.15,11.54,11.54,25.38
797,apple hardware,9.35,10.28,44.86,13.08,12.15,10.28
798,apple hardware,9.8,10.78,42.16,12.75,10.78,13.73
799,apple hardware,14.55,9.09,30.91,24.55,10.91,10.0
800,apple hardware,9.33,10.67,41.33,13.33,8.67,16.67
801,apple hardware,14.84,11.72,32.03,21.88,8.59,10.94
802,apple hardware,18.69,12.15,28.04,15.89,9.35,15.89
803,apple hardware,14.43,11.34,24.74,13.4,17.53,18.56
804,apple hardware,15.38,14.53,29.06,10.26,20.51,10.26
805,apple hardware,14.16,14.16,34.51,12.39,11.5,13.27
806,for sale,12.3,20.49,18.85,26.23,10.66,11.48
807,apple hardware,13.27,11.5,29.2,13.27,15.93,16.81
808,apple hardware,9.82,9.82,35.71,21.43,10.71,12.5
809,apple hardware,12.08,10.07,44.3,10.07,10.74,12.75
810,apple hardware,10.0,10.0,41.82,11.82,12.73,13.64
811,apple hardware,12.75,9.8,36.27,13.73,11.76,15.69
812,apple hardware,6.1,10.33,48.36,11.27,13.15,10.8
813,apple hardware,7.83,6.91,42.86,9.22,11.52,21.66
814,apple hardware,5.24,6.74,47.57,17.23,5.62,17.6
815,apple hardware,11.02,8.66,29.92,25.98,11.02,13.39
816,apple hardware,11.86,10.17,41.95,7.2,11.44,17.37
817,apple hardware,11.9,14.29,29.76,17.86,11.9,14.29
818,apple hardware,11.01,11.01,42.2,11.01,14.68,10.09
819,apple hardware,9.57,11.3,38.26,13.91,15.65,11.3
820,apple hardware,10.87,14.13,31.52,14.13,10.87,18.48
821,apple hardware,8.89,11.11,48.15,12.59,8.89,10.37
822,apple hardware,8.78,12.84,37.84,11.49,10.81,18.24
823,electronics,13.46,13.46,15.38,13.46,18.27,25.96
824,apple hardware,8.06,10.22,48.39,9.68,7.53,16.13
825,apple hardware,9.73,6.99,38.6,19.15,14.59,10.94
826,apple hardware,8.39,15.38,38.46,10.49,10.49,16.78
827,apple hardware,9.43,8.81,38.99,16.98,11.32,14.47
828,apple hardware,12.69,10.45,33.58,23.13,11.19,8.96
829,apple hardware,8.77,9.65,46.49,11.4,11.4,12.28
830,apple hardware,8.7,9.57,46.09,12.17,9.57,13.91
831,apple hardware,8.76,13.87,41.61,10.95,13.87,10.95
832,apple hardware,13.75,16.25,25.0,13.75,13.75,17.5
833,apple hardware,14.46,16.87,25.3,15.66,13.25,14.46
834,apple hardware,11.37,9.41,38.43,15.29,11.37,14.12
835,apple hardware,10.08,10.85,36.43,17.83,13.18,11.63
836,for sale,10.92,11.76,21.01,26.89,15.13,14.29
837,apple hardware,10.91,11.52,45.45,10.3,10.91,10.91
838,apple hardware,11.43,9.52,34.29,10.48,13.33,20.95
839,apple hardware,9.63,17.43,46.33,11.47,6.88,8.26
840,apple hardware,10.71,16.07,36.61,14.29,10.71,11.61
841,apple hardware,11.61,19.64,27.68,15.18,12.5,13.39
842,apple hardware,14.13,13.04,26.09,19.57,10.87,16.3
843,apple hardware,8.02,11.11,43.83,14.81,9.26,12.96
844,for sale,10.24,12.6,14.17,32.28,14.96,15.75
845,apple hardware,8.2,8.2,35.52,9.29,11.48,27.32
846,apple hardware,11.11,13.13,36.36,16.16,12.12,11.11
847,apple hardware,8.28,7.69,42.01,21.3,10.65,10.06
848,electronics,10.61,10.61,21.97,17.42,15.91,23.48
849,apple hardware,20.0,9.57,33.91,12.17,8.7,15.65
850,for sale,11.8,8.7,27.95,30.43,9.32,11.8
851,apple hardware,7.84,9.15,47.71,13.73,6.54,15.03
852,apple hardware,9.87,6.28,34.08,10.31,21.52,17.94
853,electronics,11.01,11.93,21.1,19.27,14.68,22.02
854,apple hardware,9.68,12.1,36.29,13.71,9.68,18.55
855,apple hardware,8.48,7.14,50.89,9.82,12.5,11.16
856,apple hardware,12.93,12.07,31.03,13.79,15.52,14.66
857,apple hardware,6.75,5.91,60.34,8.02,10.13,8.86
858,apple hardware,10.0,14.55,42.73,13.64,9.09,10.0
859,apple hardware,9.65,11.4,38.6,17.54,9.65,13.16
860,apple hardware,11.67,10.83,35.0,10.83,13.33,18.33
861,apple hardware,9.41,8.82,50.59,8.82,10.0,12.35
862,apple hardware,10.0,14.17,34.17,15.0,11.67,15.0
863,apple hardware,13.75,12.5,22.5,15.0,15.0,21.25
864,electronics,6.42,14.97,15.51,9.63,14.97,38.5
865,apple hardware,10.82,12.37,39.18,9.28,9.28,19.07
866,apple hardware,10.48,11.43,39.05,14.29,14.29,10.48
867,apple hardware,9.9,14.85,31.68,16.83,13.86,12.87
868,apple hardware,8.25,11.86,37.63,12.89,13.4,15.98
869,apple hardware,21.59,7.39,25.57,17.05,17.61,10.8
870,electronics,11.67,11.67,21.67,18.33,12.5,24.17
871,electronics,15.29,8.24,17.65,20.0,13.53,25.29
872,apple hardware,10.19,9.55,39.49,19.11,12.74,8.92
873,electronics,10.58,10.1,16.35,16.35,11.06,35.58
874,apple hardware,19.8,13.86,34.65,10.89,9.9,10.89
875,electronics,8.4,14.5,16.79,20.61,11.45,28.24
876,for sale,10.31,19.59,17.53,22.68,12.37,17.53
877,apple hardware,14.04,13.16,26.32,16.67,8.77,21.05
878,hockey,10.53,26.32,21.93,18.42,11.4,11.4
879,apple hardware,6.82,9.09,31.25,9.09,14.77,28.98
880,for sale,9.65,10.53,21.93,26.32,20.18,11.4
881,electronics,12.85,8.38,15.08,13.41,22.91,27.37
882,apple hardware,15.18,11.61,29.46,16.96,16.07,10.71
883,electronics,6.42,5.88,27.81,9.63,9.63,40.64
884,apple hardware,10.6,9.27,49.01,9.27,10.6,11.26
885,apple hardware,8.06,4.18,34.03,11.04,11.64,31.04
886,apple hardware,6.56,6.56,50.82,8.74,9.84,17.49
887,apple hardware,11.04,9.2,37.42,15.95,13.5,12.88
888,hockey,5.47,64.69,10.02,4.56,7.06,8.2
889,apple hardware,11.2,13.6,31.2,16.0,10.4,17.6
890,for sale,19.09,11.36,16.82,25.91,16.36,10.45
891,electronics,12.33,8.22,21.46,10.96,21.0,26.03
892,apple hardware,12.24,11.22,27.55,17.35,15.31,16.33
893,apple hardware,9.79,11.89,37.76,10.49,12.59,17.48
894,apple hardware,9.59,8.22,39.04,13.7,11.64,17.81
895,apple hardware,14.14,9.16,43.46,7.59,14.14,11.52
896,apple hardware,15.31,12.24,30.61,16.33,14.29,11.22
897,apple hardware,14.84,10.32,32.26,12.9,12.9,16.77
898,apple hardware,10.78,12.75,37.25,13.73,10.78,14.71
899,apple hardware,17.29,16.54,28.57,14.29,13.53,9.77
900,apple hardware,14.72,13.2,23.86,18.27,17.77,12.18
901,apple hardware,10.85,16.28,24.81,10.85,21.71,15.5
902,electronics,8.77,18.13,8.19,18.71,18.71,27.49
903,apple hardware,9.92,9.09,31.4,22.31,13.22,14.05
904,electronics,9.0,9.0,18.48,13.74,13.27,36.49
905,apple hardware,10.58,14.42,27.88,17.31,13.46,16.35
906,apple hardware,9.09,14.05,31.4,9.09,11.57,24.79
907,apple hardware,12.87,14.85,30.69,15.84,11.88,13.86
