document,actual,labeled,for sale,hockey,apple hardware,atheism,email filler,university misc,electronics,guns
450,comp.sys.mac.hardware,email filler,1,7,3,4,13,9,6,5
451,comp.sys.mac.hardware,apple hardware,40,23,71,37,28,37,57,44
452,comp.sys.mac.hardware,email filler,6,8,21,8,22,20,13,10
453,comp.sys.mac.hardware,apple hardware,18,8,28,16,16,17,18,17
454,comp.sys.mac.hardware,email filler,19,22,41,11,70,16,29,28
455,comp.sys.mac.hardware,apple hardware,41,18,60,42,30,20,55,17
456,comp.sys.mac.hardware,apple hardware,1380,963,2463,1646,678,743,1967,1262
457,comp.sys.mac.hardware,apple hardware,14,5,23,15,9,8,19,14
458,comp.sys.mac.hardware,electronics,20,13,28,18,16,20,31,14
459,comp.sys.mac.hardware,apple hardware,51,35,92,50,54,47,58,45
460,comp.sys.mac.hardware,apple hardware,16,12,25,13,6,6,18,13
461,comp.sys.mac.hardware,electronics,42,24,59,55,39,24,67,51
462,comp.sys.mac.hardware,electronics,29,25,37,33,35,38,39,36
463,comp.sys.mac.hardware,apple hardware,88,47,119,57,54,64,95,72
464,comp.sys.mac.hardware,email filler,12,12,19,15,40,23,18,15
465,comp.sys.mac.hardware,email filler,11,11,16,13,37,20,16,12
466,comp.sys.mac.hardware,apple hardware,80,51,148,57,57,62,109,74
467,comp.sys.mac.hardware,apple hardware,8,5,29,15,15,4,21,6
468,comp.sys.mac.hardware,apple hardware,18,8,34,13,15,13,17,15
469,comp.sys.mac.hardware,apple hardware,16,21,45,26,24,18,33,25
470,comp.sys.mac.hardware,apple hardware,13,16,36,15,31,31,22,17
471,comp.sys.mac.hardware,apple hardware,104,30,112,90,56,50,80,67
472,comp.sys.mac.hardware,apple hardware,16,16,36,13,15,14,27,16
473,comp.sys.mac.hardware,apple hardware,19,7,35,18,19,19,13,20
474,comp.sys.mac.hardware,apple hardware,10,11,23,8,14,19,12,7
475,comp.sys.mac.hardware,apple hardware,25,11,54,17,18,14,38,15
476,comp.sys.mac.hardware,electronics,25,13,26,17,19,22,56,24
477,comp.sys.mac.hardware,apple hardware,13,22,47,33,42,17,36,32
478,comp.sys.mac.hardware,apple hardware,38,18,51,38,29,26,38,28
479,comp.sys.mac.hardware,apple hardware,129,81,185,98,33,55,157,80
480,comp.sys.mac.hardware,apple hardware,28,13,49,27,14,16,36,18
481,comp.sys.mac.hardware,apple hardware,11,4,32,11,13,19,18,4
482,comp.sys.mac.hardware,apple hardware,27,24,51,26,28,12,48,29
483,comp.sys.mac.hardware,apple hardware,30,31,65,28,31,28,54,23
484,comp.sys.mac.hardware,email filler,13,8,20,20,39,22,21,21
485,comp.sys.mac.hardware,university misc,4,3,14,8,14,19,11,8
486,comp.sys.mac.hardware,email filler,20,11,29,22,78,26,26,26
487,comp.sys.mac.hardware,apple hardware,36,24,61,14,23,18,28,21
488,comp.sys.mac.hardware,apple hardware,18,14,30,19,22,20,20,15
489,comp.sys.mac.hardware,apple hardware,56,43,117,62,38,31,76,52
490,comp.sys.mac.hardware,apple hardware,63,32,100,51,34,33,71,41
491,comp.sys.mac.hardware,electronics,14,11,9,10,16,17,21,7
492,comp.sys.mac.hardware,apple hardware,6,11,37,13,24,25,18,15
493,comp.sys.mac.hardware,electronics,23,6,27,26,17,23,44,13
494,comp.sys.mac.hardware,apple hardware,5,3,10,1,6,9,2,1
495,comp.sys.mac.hardware,apple hardware,4,0,11,3,9,7,5,6
496,comp.sys.mac.hardware,apple hardware,72,28,86,75,35,39,84,64
497,comp.sys.mac.hardware,apple hardware,22,10,28,24,19,15,26,11
498,comp.sys.mac.hardware,apple hardware,5,9,15,6,12,11,6,9
499,comp.sys.mac.hardware,apple hardware,80,49,89,50,61,56,59,45
500,sci.electronics,electronics,52,37,53,42,55,36,111,53
501,sci.electronics,electronics,108,45,113,112,46,79,139,81
502,sci.electronics,electronics,20,15,27,26,24,20,51,32
503,sci.electronics,electronics,41,18,33,26,25,18,48,30
504,sci.electronics,electronics,24,22,35,31,31,20,78,38
505,sci.electronics,apple hardware,5,6,9,6,9,3,6,3
506,sci.electronics,electronics,22,13,26,30,17,13,43,16
507,sci.electronics,apple hardware,6,7,15,9,11,6,12,11
508,sci.electronics,electronics,24,13,27,24,24,14,54,27
509,sci.electronics,electronics,20,15,24,30,22,17,72,34
510,sci.electronics,electronics,133,64,136,144,84,98,196,102
511,sci.electronics,electronics,10,8,13,8,14,10,21,16
512,sci.electronics,electronics,37,28,34,37,43,34,95,47
513,sci.electronics,email filler,39,30,59,50,75,29,71,65
514,sci.electronics,email filler,18,16,30,22,35,15,35,14
515,sci.electronics,apple hardware,11,5,30,19,24,12,22,14
516,sci.electronics,electronics,17,22,33,12,22,12,36,22
517,sci.electronics,electronics,27,15,20,15,26,21,39,25
518,sci.electronics,electronics,93,54,78,85,64,48,173,81
519,sci.electronics,electronics,37,30,41,40,37,37,103,45
520,sci.electronics,electronics,30,19,34,36,25,16,52,22
521,sci.electronics,apple hardware,13,11,36,16,15,11,28,16
522,sci.electronics,apple hardware,11,19,37,17,20,15,30,18
523,sci.electronics,electronics,152,65,162,177,61,90,202,154
524,sci.electronics,university misc,16,8,19,14,14,24,16,9
525,sci.electronics,for sale,17,3,14,8,17,15,8,11
526,sci.electronics,electronics,26,14,30,34,29,30,43,27
527,sci.electronics,electronics,181,63,185,188,64,88,264,168
528,sci.electronics,guns,48,30,50,51,53,44,42,59
529,sci.electronics,electronics,29,27,35,33,40,23,86,31
530,sci.electronics,electronics,48,19,47,60,30,28,79,46
531,sci.electronics,electronics,73,29,75,89,49,47,119,72
532,sci.electronics,apple hardware,9,9,21,10,18,8,15,12
533,sci.electronics,university misc,7,1,8,3,9,10,8,3
534,sci.electronics,electronics,38,13,27,36,35,31,42,22
535,sci.electronics,electronics,25,13,24,15,25,19,42,20
536,sci.electronics,electronics,32,19,24,38,27,23,44,32
537,sci.electronics,electronics,26,19,34,26,21,15,63,28
538,sci.electronics,apple hardware,7,7,16,11,16,8,10,8
539,sci.electronics,electronics,38,17,38,42,19,27,54,36
540,sci.electronics,electronics,15,5,14,11,18,12,27,9
541,sci.electronics,electronics,106,53,105,96,62,48,208,74
542,sci.electronics,email filler,4,4,6,7,13,5,7,4
543,sci.electronics,email filler,4,9,14,8,15,13,10,13
544,sci.electronics,electronics,20,15,14,16,25,16,28,10
545,sci.electronics,electronics,11,12,17,18,28,30,35,22
546,sci.electronics,electronics,18,17,24,17,21,29,37,13
547,sci.electronics,electronics,48,25,52,44,29,38,58,44
548,sci.electronics,university misc,4,3,7,6,12,19,8,6
549,sci.electronics,apple hardware,9,5,21,7,10,16,21,12
550,sci.electronics,electronics,27,20,26,22,27,24,44,27
551,sci.electronics,electronics,230,101,264,234,115,148,297,234
552,sci.electronics,apple hardware,31,17,41,34,41,28,38,22
553,sci.electronics,electronics,24,10,22,26,18,19,35,15
554,sci.electronics,electronics,29,16,26,15,19,21,30,22
555,sci.electronics,email filler,5,12,10,3,15,13,8,7
556,sci.electronics,university misc,19,23,23,30,39,54,47,34
557,sci.electronics,electronics,42,21,27,31,37,29,72,35
558,sci.electronics,electronics,53,32,50,49,34,29,56,45
559,sci.electronics,atheism,18,16,29,30,29,18,26,21
560,sci.electronics,electronics,24,21,40,34,43,20,54,32
561,sci.electronics,electronics,50,37,47,55,32,18,73,61
562,sci.electronics,electronics,18,16,19,25,20,16,56,29
563,sci.electronics,email filler,5,11,19,16,21,20,12,16
564,sci.electronics,electronics,57,36,66,48,32,33,82,44
565,sci.electronics,apple hardware,52,33,111,62,49,40,80,55
566,sci.electronics,electronics,11,10,14,16,9,5,22,13
567,sci.electronics,apple hardware,27,15,46,24,35,21,32,19
568,sci.electronics,electronics,15,8,15,14,13,10,44,15
569,sci.electronics,electronics,60,36,42,53,38,51,125,50
570,sci.electronics,electronics,20,12,27,27,31,22,39,17
571,sci.electronics,electronics,10,22,40,12,24,11,50,19
572,sci.electronics,electronics,55,38,39,43,53,46,72,62
573,sci.electronics,electronics,108,54,107,97,67,72,149,86
574,sci.electronics,atheism,31,25,31,41,34,37,38,32
575,sci.electronics,electronics,13,20,28,18,30,31,53,19
576,sci.electronics,electronics,26,22,29,36,18,24,61,33
577,sci.electronics,apple hardware,27,14,50,28,27,21,32,20
578,sci.electronics,apple hardware,70,47,138,80,60,58,112,62
579,sci.electronics,apple hardware,23,22,44,42,31,24,35,43
580,sci.electronics,electronics,21,9,30,28,26,15,31,17
581,sci.electronics,university misc,24,18,17,15,24,25,22,11
582,sci.electronics,electronics,44,27,42,52,33,31,76,34
583,sci.electronics,university misc,11,17,16,11,20,25,18,10
584,sci.electronics,electronics,4,7,7,9,10,11,14,9
585,sci.electronics,electronics,5,7,10,6,10,8,22,12
586,sci.electronics,electronics,40,31,42,57,37,29,81,56
587,sci.electronics,electronics,44,30,35,51,22,32,76,42
588,sci.electronics,apple hardware,58,39,100,70,67,43,92,52
589,sci.electronics,apple hardware,26,17,41,31,26,29,33,28
590,sci.electronics,electronics,57,43,49,42,48,41,95,50
591,sci.electronics,electronics,117,50,108,103,61,62,139,86
592,sci.electronics,electronics,46,28,43,52,36,33,74,54
593,sci.electronics,apple hardware,5,3,13,6,13,11,8,5
594,sci.electronics,email filler,3,3,14,6,16,9,6,7
595,sci.electronics,electronics,81,37,66,63,41,33,100,43
596,sci.electronics,electronics,15,15,13,25,23,12,41,17
597,sci.electronics,electronics,32,29,30,43,22,27,48,40
598,sci.electronics,apple hardware,24,13,31,19,27,21,20,16
599,sci.electronics,apple hardware,6,11,29,13,14,10,14,7
