document,actual,labeled,hockey,atheism,for sale,apple hardware,electronics,guns
530,rec.sport.hockey,hockey,159,81,61,41,82,93
531,rec.sport.hockey,hockey,562,281,151,138,226,312
532,rec.sport.hockey,hockey,284,30,15,51,18,63
533,rec.sport.hockey,hockey,43,24,25,22,23,26
534,rec.sport.hockey,hockey,87,49,36,27,39,61
535,rec.sport.hockey,hockey,98,76,45,43,76,83
536,rec.sport.hockey,hockey,81,36,38,31,38,51
537,rec.sport.hockey,hockey,72,27,30,23,37,35
538,rec.sport.hockey,hockey,86,44,50,18,49,42
539,rec.sport.hockey,hockey,69,32,21,13,34,30
540,rec.sport.hockey,hockey,87,6,22,28,19,29
541,rec.sport.hockey,hockey,45,17,32,8,24,21
542,rec.sport.hockey,hockey,45,26,38,16,23,25
543,rec.sport.hockey,hockey,57,5,10,11,9,22
544,rec.sport.hockey,hockey,66,27,31,24,38,31
545,rec.sport.hockey,hockey,53,28,18,12,22,30
546,rec.sport.hockey,hockey,64,33,26,30,40,40
547,rec.sport.hockey,hockey,112,83,55,37,85,81
548,rec.sport.hockey,hockey,60,40,25,16,36,34
549,rec.sport.hockey,hockey,223,130,89,45,122,133
550,rec.sport.hockey,hockey,116,14,34,36,28,40
551,rec.sport.hockey,hockey,244,167,73,86,118,157
552,rec.sport.hockey,hockey,131,39,51,37,46,50
553,rec.sport.hockey,hockey,91,31,43,19,33,41
554,rec.sport.hockey,hockey,254,94,81,83,102,113
555,rec.sport.hockey,hockey,211,123,83,54,96,116
556,rec.sport.hockey,hockey,104,43,23,22,50,46
557,rec.sport.hockey,hockey,140,96,48,43,91,84
558,rec.sport.hockey,hockey,104,29,31,36,47,51
559,rec.sport.hockey,hockey,102,48,28,26,44,59
560,rec.sport.hockey,hockey,95,24,24,25,20,40
561,rec.sport.hockey,hockey,48,23,28,23,25,26
562,rec.sport.hockey,hockey,235,80,52,61,89,107
563,rec.sport.hockey,hockey,130,45,48,24,48,50
564,rec.sport.hockey,hockey,51,24,34,24,31,30
565,rec.sport.hockey,hockey,192,19,19,19,13,21
566,rec.sport.hockey,hockey,128,89,65,37,71,99
567,rec.sport.hockey,hockey,60,23,19,10,34,22
568,rec.sport.hockey,hockey,81,56,39,25,56,57
569,rec.sport.hockey,hockey,54,23,27,16,20,23
570,rec.sport.hockey,hockey,71,49,35,19,41,40
571,rec.sport.hockey,hockey,189,81,66,41,72,75
572,rec.sport.hockey,hockey,80,34,42,25,50,50
573,rec.sport.hockey,hockey,34,13,10,13,25,16
574,rec.sport.hockey,hockey,101,41,45,35,28,57
575,rec.sport.hockey,hockey,126,73,70,35,67,70
576,rec.sport.hockey,hockey,44,22,27,13,18,17
577,rec.sport.hockey,hockey,32,14,20,8,18,12
578,rec.sport.hockey,hockey,30,7,13,5,8,7
579,rec.sport.hockey,hockey,48,21,36,17,22,22
580,rec.sport.hockey,hockey,49,22,21,17,28,26
581,rec.sport.hockey,hockey,87,58,25,19,38,52
582,rec.sport.hockey,hockey,95,22,41,31,28,38
583,rec.sport.hockey,hockey,675,269,147,165,237,318
584,rec.sport.hockey,hockey,245,79,35,78,63,92
585,rec.sport.hockey,hockey,318,28,18,50,37,52
586,rec.sport.hockey,hockey,98,20,23,18,17,20
587,rec.sport.hockey,hockey,277,93,55,93,76,105
588,rec.sport.hockey,hockey,40,18,20,11,11,13
589,rec.sport.hockey,hockey,127,53,59,45,62,81
590,rec.sport.hockey,hockey,114,43,30,19,30,38
591,rec.sport.hockey,hockey,96,38,29,39,53,41
592,rec.sport.hockey,hockey,65,32,39,26,30,38
593,rec.sport.hockey,hockey,101,37,28,20,28,42
594,rec.sport.hockey,hockey,38,16,14,20,30,20
595,rec.sport.hockey,hockey,34,20,21,19,19,19
596,rec.sport.hockey,hockey,76,42,38,34,39,41
597,rec.sport.hockey,hockey,82,61,57,37,58,59
598,rec.sport.hockey,hockey,48,25,28,27,32,30
599,rec.sport.hockey,hockey,82,41,27,21,36,40
600,talk.politics.guns,guns,44,68,44,28,52,146
601,talk.politics.guns,guns,187,295,143,127,213,716
602,talk.politics.guns,guns,55,53,45,45,62,154
603,talk.politics.guns,guns,398,791,256,340,517,1567
604,talk.politics.guns,guns,60,64,64,42,54,147
605,talk.politics.guns,electronics,20,17,21,14,24,23
606,talk.politics.guns,guns,60,100,79,42,74,211
607,talk.politics.guns,electronics,11,5,11,12,20,12
608,talk.politics.guns,atheism,66,109,87,29,80,90
609,talk.politics.guns,guns,28,41,48,22,44,69
610,talk.politics.guns,for sale,36,52,61,28,38,56
611,talk.politics.guns,for sale,28,27,67,21,29,56
612,talk.politics.guns,guns,36,48,60,30,38,83
613,talk.politics.guns,for sale,24,20,46,15,24,26
614,talk.politics.guns,guns,15,20,26,22,16,28
615,talk.politics.guns,for sale,17,15,56,17,18,34
616,talk.politics.guns,guns,37,46,34,13,39,95
617,talk.politics.guns,guns,36,53,62,47,45,125
618,talk.politics.guns,guns,42,56,39,29,43,82
619,talk.politics.guns,guns,72,83,76,50,76,182
620,talk.politics.guns,guns,55,46,41,31,66,67
621,talk.politics.guns,atheism,12,21,15,11,20,21
622,talk.politics.guns,guns,63,115,63,43,69,262
623,talk.politics.guns,guns,57,90,70,61,71,113
624,talk.politics.guns,guns,42,75,50,41,44,88
625,talk.politics.guns,guns,32,73,41,33,51,111
626,talk.politics.guns,guns,64,141,55,49,98,255
627,talk.politics.guns,guns,68,111,58,55,88,218
628,talk.politics.guns,guns,39,50,37,24,42,116
629,talk.politics.guns,guns,107,182,122,103,163,288
630,talk.politics.guns,guns,22,34,41,14,29,46
631,talk.politics.guns,guns,41,39,43,26,30,95
632,talk.politics.guns,guns,60,80,53,43,72,150
633,talk.politics.guns,guns,92,126,74,75,109,262
634,talk.politics.guns,guns,39,45,44,29,36,63
635,talk.politics.guns,guns,29,41,59,32,47,84
636,talk.politics.guns,guns,17,25,33,18,32,53
637,talk.politics.guns,for sale,27,37,56,31,47,55
638,talk.politics.guns,guns,66,57,67,52,50,141
639,talk.politics.guns,guns,45,80,54,53,109,129
640,talk.politics.guns,guns,19,32,44,27,40,60
641,talk.politics.guns,guns,33,48,48,28,45,83
642,talk.politics.guns,guns,34,32,24,22,31,60
643,talk.politics.guns,guns,69,71,53,72,64,153
644,talk.politics.guns,guns,45,57,39,29,45,118
645,talk.politics.guns,guns,77,121,77,60,114,203
646,talk.politics.guns,guns,61,103,67,51,101,143
647,talk.politics.guns,for sale,40,41,63,39,43,61
648,talk.politics.guns,guns,19,12,27,25,25,51
649,talk.politics.guns,guns,25,44,67,37,42,71
650,talk.politics.guns,guns,21,24,32,22,25,43
651,talk.politics.guns,atheism,67,86,52,37,77,77
652,talk.politics.guns,guns,30,42,48,29,51,55
653,talk.politics.guns,guns,99,128,91,64,105,228
654,talk.politics.guns,guns,42,48,46,26,29,113
655,talk.politics.guns,guns,203,172,139,115,157,470
656,talk.politics.guns,guns,47,72,68,54,69,132
657,talk.politics.guns,guns,58,86,60,39,67,190
658,talk.politics.guns,guns,57,97,54,41,74,193
659,talk.politics.guns,guns,93,149,76,65,123,277
660,talk.politics.guns,guns,102,150,115,82,108,296
661,talk.politics.guns,guns,45,53,48,35,54,121
662,talk.politics.guns,guns,26,37,35,19,37,96
663,talk.politics.guns,guns,51,69,41,27,54,131
664,talk.politics.guns,for sale,48,62,83,34,60,81
665,talk.politics.guns,guns,57,82,75,47,76,110
666,talk.politics.guns,guns,43,42,22,21,45,80
667,talk.politics.guns,guns,60,100,61,44,73,150
668,talk.politics.guns,guns,52,58,42,40,59,108
669,talk.politics.guns,guns,18,14,23,10,26,41
670,talk.politics.guns,guns,20,21,25,14,22,80
671,talk.politics.guns,guns,51,59,32,32,51,101
672,talk.politics.guns,guns,92,202,83,80,124,310
673,talk.politics.guns,for sale,17,40,66,30,36,59
674,talk.politics.guns,guns,79,117,81,54,97,212
675,talk.politics.guns,guns,182,365,124,144,180,516
676,talk.politics.guns,guns,47,55,34,32,60,160
677,talk.politics.guns,guns,114,210,124,71,127,270
678,talk.politics.guns,guns,137,192,109,108,168,434
679,talk.politics.guns,guns,33,37,39,27,33,79
680,talk.politics.guns,guns,59,62,55,48,59,159
681,talk.politics.guns,guns,104,129,80,77,128,306
682,talk.politics.guns,guns,32,60,34,24,42,99
683,talk.politics.guns,guns,98,180,102,130,157,321
684,talk.politics.guns,for sale,17,9,47,14,18,31
685,talk.politics.guns,guns,120,181,100,80,149,340
686,talk.politics.guns,guns,97,155,87,72,141,300
687,talk.politics.guns,guns,28,34,36,21,30,56
688,talk.politics.guns,guns,71,152,81,63,87,221
689,talk.politics.guns,guns,47,41,26,26,36,62
690,talk.politics.guns,guns,170,326,151,130,186,424
691,talk.politics.guns,guns,22,23,24,18,23,73
692,talk.politics.guns,guns,64,97,72,48,55,175
693,talk.politics.guns,guns,118,266,117,119,146,366
694,talk.politics.guns,guns,7,29,19,16,15,46
695,talk.politics.guns,guns,30,39,33,25,38,101
696,talk.politics.guns,guns,37,68,39,47,58,138
697,talk.politics.guns,guns,88,184,80,87,109,254
698,talk.politics.guns,for sale,27,26,71,26,30,33
699,talk.politics.guns,guns,40,33,57,24,34,59
700,talk.politics.guns,for sale,23,43,60,24,23,36
701,talk.politics.guns,guns,40,49,74,28,43,104
702,talk.politics.guns,guns,61,103,84,48,62,179
703,talk.politics.guns,for sale,17,19,52,22,19,25
704,talk.politics.guns,guns,121,98,50,84,110,230
705,talk.politics.guns,guns,70,104,57,50,87,209
706,talk.politics.guns,guns,33,41,47,38,46,82
707,talk.politics.guns,guns,54,76,46,34,65,142
708,talk.politics.guns,guns,29,31,28,18,26,81
709,talk.politics.guns,guns,32,38,34,12,33,68
710,talk.politics.guns,guns,159,246,131,108,188,395
711,talk.politics.guns,guns,31,37,24,18,34,62
712,talk.politics.guns,guns,79,161,84,90,104,224
713,talk.politics.guns,guns,58,88,77,53,62,153
714,talk.politics.guns,guns,23,23,23,16,27,57
715,talk.politics.guns,guns,26,25,23,19,41,46
716,talk.politics.guns,guns,16,21,15,18,28,32
717,talk.politics.guns,guns,88,156,94,61,84,281
718,talk.politics.guns,guns,69,116,75,64,84,202
719,talk.politics.guns,guns,55,76,68,55,55,115
720,talk.politics.guns,guns,46,78,40,33,55,109
721,talk.politics.guns,guns,46,79,42,38,77,150
722,talk.politics.guns,guns,157,226,100,118,157,387
723,talk.politics.guns,guns,48,93,36,35,72,131
724,talk.politics.guns,guns,37,51,78,29,49,137
725,talk.politics.guns,guns,81,127,112,45,87,166
726,talk.politics.guns,guns,27,20,32,30,21,60
727,talk.politics.guns,guns,52,104,62,46,70,186
728,talk.politics.guns,guns,140,182,133,75,148,303
729,talk.politics.guns,guns,64,103,63,60,101,238
730,talk.politics.guns,guns,23,31,20,22,30,44
731,talk.politics.guns,guns,56,68,56,29,50,99
732,talk.politics.guns,guns,71,98,69,39,62,185
733,talk.politics.guns,guns,87,168,120,69,120,275
734,talk.politics.guns,guns,64,77,94,45,60,95
735,talk.politics.guns,guns,40,54,42,35,42,141
736,talk.politics.guns,guns,31,52,31,29,39,78
737,talk.politics.guns,guns,21,21,21,15,23,40
738,talk.politics.guns,guns,90,153,110,58,97,260
739,talk.politics.guns,guns,45,77,46,51,63,142
740,talk.politics.guns,guns,97,188,77,84,138,334
741,talk.politics.guns,guns,50,65,49,36,53,119
742,talk.politics.guns,guns,103,152,84,64,113,264
743,talk.politics.guns,guns,52,78,37,42,59,154
744,talk.politics.guns,guns,147,276,140,120,213,467
745,talk.politics.guns,guns,44,74,50,30,45,136
746,talk.politics.guns,guns,19,30,22,19,27,56
747,talk.politics.guns,guns,87,180,133,67,134,275
748,talk.politics.guns,guns,90,97,78,61,93,157
749,talk.politics.guns,guns,68,76,60,26,45,113
750,talk.politics.guns,guns,109,163,93,64,82,334
751,talk.politics.guns,guns,74,90,88,54,65,131
752,talk.politics.guns,guns,49,73,34,47,72,154
753,talk.politics.guns,guns,26,28,32,25,24,61
754,talk.politics.guns,guns,22,31,26,19,24,36
755,talk.politics.guns,guns,36,65,39,46,60,81
756,talk.politics.guns,guns,75,90,84,60,90,231
757,talk.politics.guns,guns,38,57,43,28,39,114
758,talk.politics.guns,guns,40,53,44,35,36,73
759,talk.politics.guns,guns,78,91,76,32,58,126
760,talk.politics.guns,guns,68,91,72,50,75,164
761,talk.politics.guns,guns,139,198,187,86,144,284
762,talk.politics.guns,guns,52,70,32,49,64,131
763,talk.politics.guns,guns,35,54,71,29,40,75
764,talk.politics.guns,guns,22,27,23,19,25,73
765,talk.politics.guns,guns,70,108,68,61,78,169
766,talk.politics.guns,guns,286,521,202,402,435,1824
767,talk.politics.guns,guns,112,178,95,87,124,258
768,talk.politics.guns,guns,83,87,74,63,72,205
769,talk.politics.guns,guns,18,22,14,8,17,33
770,talk.politics.guns,for sale,72,99,125,48,70,125
771,talk.politics.guns,guns,36,59,62,29,61,131
772,talk.politics.guns,guns,87,152,100,62,95,263
773,talk.politics.guns,guns,51,75,65,34,50,120
774,talk.politics.guns,guns,24,23,21,15,35,37
775,talk.politics.guns,for sale,53,77,134,38,59,84
776,talk.politics.guns,guns,45,55,63,28,39,84
777,talk.politics.guns,guns,39,75,58,52,72,144
778,talk.politics.guns,guns,66,68,43,28,59,153
779,talk.politics.guns,guns,212,347,206,177,222,490
780,talk.politics.guns,guns,72,99,74,74,97,146
781,talk.politics.guns,guns,313,472,242,246,392,886
782,talk.politics.guns,guns,28,44,37,36,44,114
783,talk.politics.guns,guns,11,15,16,25,21,57
784,talk.politics.guns,guns,42,60,38,43,56,156
785,talk.politics.guns,guns,48,50,40,56,59,119
786,talk.politics.guns,guns,27,27,27,23,31,57
787,talk.politics.guns,guns,72,73,64,52,68,164
788,talk.politics.guns,guns,31,48,39,35,46,62
789,talk.politics.guns,guns,79,92,48,55,76,147
790,talk.politics.guns,guns,45,47,35,28,42,121
791,talk.politics.guns,guns,57,76,90,51,73,175
792,talk.politics.guns,guns,32,53,38,30,48,93
793,talk.politics.guns,guns,25,15,18,19,28,44
794,talk.politics.guns,guns,51,67,38,39,53,105
795,talk.politics.guns,guns,50,67,41,41,64,137
796,talk.politics.guns,guns,85,131,75,67,84,273
797,talk.politics.guns,guns,69,56,33,61,62,130
798,talk.politics.guns,guns,65,115,95,62,91,187
799,talk.politics.guns,guns,37,54,49,19,47,92
800,comp.sys.mac.hardware,apple hardware,35,54,36,89,62,55
801,comp.sys.mac.hardware,apple hardware,23,38,27,44,34,38
802,comp.sys.mac.hardware,for sale,14,20,40,35,30,25
803,comp.sys.mac.hardware,apple hardware,34,26,30,41,39,32
804,comp.sys.mac.hardware,apple hardware,25,41,39,73,48,30
805,comp.sys.mac.hardware,apple hardware,14,10,19,25,21,12
806,comp.sys.mac.hardware,apple hardware,20,23,21,42,27,31
807,comp.sys.mac.hardware,apple hardware,20,20,22,51,32,25
808,comp.sys.mac.hardware,for sale,10,8,14,11,14,10
809,comp.sys.mac.hardware,apple hardware,32,25,48,54,42,49
810,comp.sys.mac.hardware,apple hardware,22,21,11,65,31,21
811,comp.sys.mac.hardware,electronics,32,24,16,38,48,30
812,comp.sys.mac.hardware,apple hardware,15,16,17,33,30,25
813,comp.sys.mac.hardware,apple hardware,37,66,50,96,65,74
814,comp.sys.mac.hardware,apple hardware,15,10,16,20,17,17
815,comp.sys.mac.hardware,apple hardware,10,9,8,21,12,12
816,comp.sys.mac.hardware,apple hardware,35,57,54,109,80,64
817,comp.sys.mac.hardware,guns,43,39,26,46,39,65
818,comp.sys.mac.hardware,apple hardware,124,151,75,168,127,153
819,comp.sys.mac.hardware,electronics,10,4,14,15,19,10
820,comp.sys.mac.hardware,atheism,35,78,30,48,54,68
821,comp.sys.mac.hardware,apple hardware,22,14,35,40,25,18
822,comp.sys.mac.hardware,apple hardware,17,18,37,53,26,23
823,comp.sys.mac.hardware,apple hardware,13,9,17,30,14,9
824,comp.sys.mac.hardware,apple hardware,43,58,40,112,58,65
825,comp.sys.mac.hardware,for sale,20,10,27,18,24,17
826,comp.sys.mac.hardware,apple hardware,15,17,19,37,24,26
827,comp.sys.mac.hardware,apple hardware,32,51,41,76,62,63
828,comp.sys.mac.hardware,apple hardware,18,20,16,45,27,19
829,comp.sys.mac.hardware,apple hardware,27,24,17,96,30,30
830,comp.sys.mac.hardware,apple hardware,30,34,36,56,37,35
831,comp.sys.mac.hardware,apple hardware,15,11,17,31,17,11
832,comp.sys.mac.hardware,apple hardware,33,24,39,68,38,35
833,comp.sys.mac.hardware,apple hardware,35,33,22,76,42,35
834,comp.sys.mac.hardware,for sale,26,35,67,56,44,50
835,comp.sys.mac.hardware,for sale,6,16,29,27,22,14
836,comp.sys.mac.hardware,apple hardware,34,27,44,66,52,34
837,comp.sys.mac.hardware,apple hardware,22,6,7,26,16,10
838,comp.sys.mac.hardware,apple hardware,32,20,17,38,34,28
839,comp.sys.mac.hardware,atheism,40,62,34,61,49,56
840,comp.sys.mac.hardware,apple hardware,6,7,11,25,16,12
841,comp.sys.mac.hardware,apple hardware,41,40,60,67,43,51
842,comp.sys.mac.hardware,apple hardware,37,35,43,73,52,42
843,comp.sys.mac.hardware,apple hardware,55,77,51,94,68,87
844,comp.sys.mac.hardware,apple hardware,33,45,35,68,66,44
845,comp.sys.mac.hardware,apple hardware,20,19,22,58,24,18
846,comp.sys.mac.hardware,apple hardware,35,46,54,94,53,64
847,comp.sys.mac.hardware,apple hardware,38,51,37,138,96,63
848,comp.sys.mac.hardware,apple hardware,27,22,30,62,38,29
849,comp.sys.mac.hardware,for sale,21,14,26,21,17,20
850,comp.sys.mac.hardware,hockey,30,12,29,21,30,19
851,comp.sys.mac.hardware,apple hardware,15,20,26,59,43,23
852,comp.sys.mac.hardware,for sale,26,22,27,24,26,18
853,comp.sys.mac.hardware,apple hardware,39,29,28,64,46,44
854,comp.sys.mac.hardware,for sale,20,18,28,26,24,26
855,comp.sys.mac.hardware,apple hardware,28,42,34,78,49,48
856,comp.sys.mac.hardware,apple hardware,31,30,37,65,33,34
857,comp.sys.mac.hardware,electronics,15,21,18,27,36,20
858,comp.sys.mac.hardware,apple hardware,21,8,14,32,19,18
859,comp.sys.mac.hardware,apple hardware,36,29,35,47,41,35
860,comp.sys.mac.hardware,apple hardware,52,64,50,74,66,63
861,comp.sys.mac.hardware,apple hardware,39,59,37,62,54,57
862,comp.sys.mac.hardware,apple hardware,21,18,21,36,22,24
863,comp.sys.mac.hardware,apple hardware,20,20,28,47,28,26
864,comp.sys.mac.hardware,apple hardware,92,137,64,152,138,135
865,comp.sys.mac.hardware,for sale,15,11,32,25,21,20
866,comp.sys.mac.hardware,for sale,38,38,66,61,40,40
867,comp.sys.mac.hardware,apple hardware,32,46,37,50,46,41
868,comp.sys.mac.hardware,apple hardware,28,32,27,95,35,31
869,comp.sys.mac.hardware,apple hardware,14,7,18,37,12,13
870,comp.sys.mac.hardware,apple hardware,50,67,58,90,80,65
871,comp.sys.mac.hardware,apple hardware,28,32,30,58,44,36
872,comp.sys.mac.hardware,apple hardware,23,21,29,34,29,34
873,comp.sys.mac.hardware,apple hardware,31,38,41,49,38,28
874,comp.sys.mac.hardware,guns,84,100,72,97,77,102
875,comp.sys.mac.hardware,for sale,13,19,44,19,17,16
876,comp.sys.mac.hardware,apple hardware,12,21,27,31,22,27
877,comp.sys.mac.hardware,electronics,35,49,41,72,74,61
878,comp.sys.mac.hardware,apple hardware,33,32,39,53,41,41
879,comp.sys.mac.hardware,apple hardware,37,35,34,93,40,42
880,comp.sys.mac.hardware,hockey,47,34,34,26,43,47
881,comp.sys.mac.hardware,electronics,15,22,18,30,41,22
882,comp.sys.mac.hardware,electronics,32,35,44,58,68,45
883,comp.sys.mac.hardware,electronics,72,99,68,146,169,105
884,comp.sys.mac.hardware,electronics,72,99,68,146,169,105
885,comp.sys.mac.hardware,electronics,46,40,30,52,54,44
886,comp.sys.mac.hardware,apple hardware,42,58,49,107,72,64
887,comp.sys.mac.hardware,apple hardware,31,25,30,54,27,22
888,comp.sys.mac.hardware,electronics,41,28,29,22,45,33
889,comp.sys.mac.hardware,guns,68,78,71,94,79,102
890,comp.sys.mac.hardware,apple hardware,8,15,13,49,35,17
891,comp.sys.mac.hardware,apple hardware,15,12,15,39,33,16
892,comp.sys.mac.hardware,apple hardware,34,47,44,65,52,42
893,comp.sys.mac.hardware,for sale,24,33,60,43,40,36
894,comp.sys.mac.hardware,guns,19,37,31,43,44,45
895,comp.sys.mac.hardware,electronics,45,46,50,46,70,36
896,comp.sys.mac.hardware,apple hardware,115,136,111,296,164,154
897,comp.sys.mac.hardware,apple hardware,24,21,28,60,51,26
898,comp.sys.mac.hardware,apple hardware,25,45,35,72,58,49
899,comp.sys.mac.hardware,apple hardware,64,55,42,155,64,88
900,comp.sys.mac.hardware,apple hardware,44,54,60,83,51,51
901,comp.sys.mac.hardware,apple hardware,13,17,18,36,19,19
902,comp.sys.mac.hardware,electronics,20,24,26,18,29,25
903,comp.sys.mac.hardware,apple hardware,19,41,35,49,31,35
904,comp.sys.mac.hardware,hockey,25,9,19,20,19,17
905,comp.sys.mac.hardware,apple hardware,47,54,48,94,63,61
906,comp.sys.mac.hardware,apple hardware,40,35,43,86,66,40
907,comp.sys.mac.hardware,electronics,50,54,58,84,88,56
908,comp.sys.mac.hardware,apple hardware,16,12,9,30,15,15
909,comp.sys.mac.hardware,apple hardware,49,51,42,140,60,63
910,comp.sys.mac.hardware,apple hardware,43,68,59,87,66,63
911,comp.sys.mac.hardware,apple hardware,12,11,19,36,13,9
912,comp.sys.mac.hardware,apple hardware,15,24,25,51,33,30
913,comp.sys.mac.hardware,apple hardware,64,46,64,69,55,56
914,comp.sys.mac.hardware,apple hardware,34,50,36,80,58,56
915,comp.sys.mac.hardware,apple hardware,27,35,29,63,53,38
916,comp.sys.mac.hardware,for sale,27,33,42,31,29,27
917,comp.sys.mac.hardware,apple hardware,33,39,50,60,39,35
918,comp.sys.mac.hardware,for sale,41,46,54,44,44,46
919,comp.sys.mac.hardware,apple hardware,25,30,42,66,40,25
920,comp.sys.mac.hardware,apple hardware,73,67,60,109,65,82
921,comp.sys.mac.hardware,apple hardware,25,37,31,53,43,48
922,comp.sys.mac.hardware,apple hardware,7,4,9,19,9,12
923,comp.sys.mac.hardware,electronics,41,56,41,48,58,54
924,comp.sys.mac.hardware,electronics,66,78,47,98,138,85
925,comp.sys.mac.hardware,apple hardware,29,35,29,68,50,40
926,comp.sys.mac.hardware,apple hardware,13,14,14,25,24,6
927,comp.sys.mac.hardware,apple hardware,41,62,45,92,54,53
928,comp.sys.mac.hardware,apple hardware,25,17,29,38,29,35
929,comp.sys.mac.hardware,apple hardware,31,45,40,83,56,42
930,comp.sys.mac.hardware,electronics,30,31,38,27,44,36
931,comp.sys.mac.hardware,electronics,13,7,16,17,18,8
932,comp.sys.mac.hardware,apple hardware,29,39,36,73,69,31
933,comp.sys.mac.hardware,apple hardware,34,28,25,74,50,43
934,comp.sys.mac.hardware,apple hardware,18,12,19,26,23,20
935,comp.sys.mac.hardware,electronics,15,8,12,23,26,7
936,comp.sys.mac.hardware,electronics,25,29,33,42,53,40
937,comp.sys.mac.hardware,electronics,12,16,24,19,26,12
938,comp.sys.mac.hardware,electronics,37,24,37,48,67,34
939,comp.sys.mac.hardware,electronics,15,14,18,22,23,13
940,comp.sys.mac.hardware,apple hardware,15,4,17,27,18,10
941,comp.sys.mac.hardware,apple hardware,30,32,30,67,49,39
942,comp.sys.mac.hardware,apple hardware,6,3,3,16,4,9
943,comp.sys.mac.hardware,apple hardware,21,17,23,28,17,20
944,comp.sys.mac.hardware,apple hardware,26,28,42,70,41,40
945,comp.sys.mac.hardware,apple hardware,43,50,50,82,52,47
946,comp.sys.mac.hardware,apple hardware,30,38,31,63,55,30
947,comp.sys.mac.hardware,apple hardware,28,35,34,85,48,41
948,comp.sys.mac.hardware,electronics,41,59,47,80,83,53
949,comp.sys.mac.hardware,apple hardware,31,30,23,80,52,55
950,comp.sys.mac.hardware,electronics,20,11,18,25,26,20
951,comp.sys.mac.hardware,electronics,29,39,19,58,81,41
952,comp.sys.mac.hardware,electronics,31,38,32,31,56,27
953,comp.sys.mac.hardware,electronics,35,71,55,62,105,65
954,comp.sys.mac.hardware,electronics,26,46,37,55,56,50
955,comp.sys.mac.hardware,electronics,18,24,28,23,36,21
956,comp.sys.mac.hardware,apple hardware,13,26,20,52,30,26
957,comp.sys.mac.hardware,electronics,6,4,7,4,9,4
958,comp.sys.mac.hardware,apple hardware,53,63,50,105,84,76
959,comp.sys.mac.hardware,apple hardware,20,17,16,34,26,15
960,comp.sys.mac.hardware,apple hardware,13,11,19,30,19,12
961,comp.sys.mac.hardware,electronics,28,29,20,31,55,34
962,comp.sys.mac.hardware,apple hardware,35,49,49,70,58,42
963,comp.sys.mac.hardware,apple hardware,11,14,14,56,25,25
964,comp.sys.mac.hardware,apple hardware,15,18,13,31,23,17
965,comp.sys.mac.hardware,apple hardware,21,22,21,36,29,27
966,comp.sys.mac.hardware,apple hardware,12,10,14,24,14,12
967,comp.sys.mac.hardware,apple hardware,35,33,38,63,38,34
968,comp.sys.mac.hardware,apple hardware,20,14,30,39,31,13
969,comp.sys.mac.hardware,apple hardware,22,33,25,51,25,34
970,comp.sys.mac.hardware,apple hardware,31,33,24,72,34,41
971,comp.sys.mac.hardware,apple hardware,29,42,39,75,57,45
972,comp.sys.mac.hardware,apple hardware,21,19,26,30,19,21
973,comp.sys.mac.hardware,apple hardware,11,12,13,31,17,15
974,comp.sys.mac.hardware,apple hardware,28,25,35,49,29,32
975,comp.sys.mac.hardware,apple hardware,15,16,18,27,17,17
976,comp.sys.mac.hardware,electronics,8,2,8,6,9,6
977,comp.sys.mac.hardware,for sale,13,9,27,22,18,11
978,comp.sys.mac.hardware,electronics,27,38,50,39,59,33
979,comp.sys.mac.hardware,apple hardware,17,23,33,58,38,17
980,comp.sys.mac.hardware,apple hardware,34,25,40,55,41,35
981,comp.sys.mac.hardware,apple hardware,12,10,9,26,19,18
982,comp.sys.mac.hardware,apple hardware,56,79,73,105,98,82
983,comp.sys.mac.hardware,apple hardware,30,24,45,66,41,30
984,comp.sys.mac.hardware,apple hardware,31,26,28,69,30,30
985,comp.sys.mac.hardware,apple hardware,48,59,44,105,76,69
986,comp.sys.mac.hardware,apple hardware,52,63,45,109,79,76
987,comp.sys.mac.hardware,apple hardware,57,62,50,136,90,85
988,comp.sys.mac.hardware,for sale,18,11,23,16,23,9
989,comp.sys.mac.hardware,for sale,15,6,23,16,18,8
990,comp.sys.mac.hardware,for sale,17,19,30,15,22,19
991,comp.sys.mac.hardware,apple hardware,9,15,16,40,16,5
992,comp.sys.mac.hardware,apple hardware,49,52,41,95,76,62
993,comp.sys.mac.hardware,apple hardware,49,46,46,102,52,44
994,comp.sys.mac.hardware,apple hardware,22,19,18,41,20,24
995,comp.sys.mac.hardware,apple hardware,33,24,20,50,43,45
996,comp.sys.mac.hardware,electronics,49,71,50,76,100,83
997,comp.sys.mac.hardware,apple hardware,19,18,25,40,29,22
998,comp.sys.mac.hardware,electronics,83,106,65,88,178,102
999,comp.sys.mac.hardware,apple hardware,49,76,42,122,85,74
1000,sci.electronics,electronics,54,57,44,41,123,61
1001,sci.electronics,apple hardware,143,85,89,262,185,156
1002,sci.electronics,electronics,77,100,61,73,207,92
1003,sci.electronics,for sale,17,9,25,18,21,21
1004,sci.electronics,apple hardware,20,11,25,26,23,20
1005,sci.electronics,electronics,20,32,47,22,86,35
1006,sci.electronics,hockey,24,9,17,18,22,11
1007,sci.electronics,apple hardware,67,57,86,139,83,59
1008,sci.electronics,electronics,36,21,30,32,77,20
1009,sci.electronics,apple hardware,33,29,35,93,78,36
1010,sci.electronics,electronics,24,26,37,18,52,33
