document,actual,labeled,apple hardware,atheism,hockey,electronics,for sale,guns
529,rec.sport.hockey,hockey,24,65,95,29,67,60
530,rec.sport.hockey,hockey,31,72,153,39,85,78
531,rec.sport.hockey,hockey,96,255,534,155,233,278
532,rec.sport.hockey,hockey,21,29,284,50,33,51
533,rec.sport.hockey,hockey,16,28,38,21,29,26
534,rec.sport.hockey,hockey,26,50,71,21,49,51
535,rec.sport.hockey,hockey,39,70,97,37,69,70
536,rec.sport.hockey,hockey,20,42,69,32,41,46
537,rec.sport.hockey,hockey,12,34,79,22,31,35
538,rec.sport.hockey,hockey,22,53,100,21,47,48
539,rec.sport.hockey,hockey,12,29,67,17,31,34
540,rec.sport.hockey,hockey,7,7,86,11,19,28
541,rec.sport.hockey,hockey,17,20,38,13,38,16
542,rec.sport.hockey,hockey,20,26,47,13,33,22
543,rec.sport.hockey,hockey,6,9,53,12,9,12
544,rec.sport.hockey,hockey,18,28,62,29,47,25
545,rec.sport.hockey,hockey,8,27,52,14,21,22
546,rec.sport.hockey,hockey,24,31,61,25,39,39
547,rec.sport.hockey,hockey,27,83,108,43,66,76
548,rec.sport.hockey,hockey,15,43,54,18,35,35
549,rec.sport.hockey,hockey,43,135,209,46,122,132
550,rec.sport.hockey,hockey,15,16,116,16,24,39
551,rec.sport.hockey,hockey,72,160,245,81,126,149
552,rec.sport.hockey,hockey,23,46,122,28,59,47
553,rec.sport.hockey,hockey,21,31,79,12,38,41
554,rec.sport.hockey,hockey,41,82,238,47,116,114
555,rec.sport.hockey,hockey,41,116,210,66,95,95
556,rec.sport.hockey,hockey,12,37,107,39,40,37
557,rec.sport.hockey,hockey,36,83,139,55,79,77
558,rec.sport.hockey,hockey,32,30,102,35,45,49
559,rec.sport.hockey,hockey,22,48,98,27,46,47
560,rec.sport.hockey,hockey,39,23,91,24,24,27
561,rec.sport.hockey,hockey,27,27,48,21,26,24
562,rec.sport.hockey,hockey,38,75,233,53,82,99
563,rec.sport.hockey,hockey,24,45,130,26,41,36
564,rec.sport.hockey,hockey,23,27,50,28,35,27
565,rec.sport.hockey,hockey,18,16,193,14,21,36
566,rec.sport.hockey,hockey,40,77,109,41,87,79
567,rec.sport.hockey,hockey,16,21,62,23,24,18
568,rec.sport.hockey,hockey,16,59,83,36,52,43
569,rec.sport.hockey,hockey,17,28,59,15,21,25
570,rec.sport.hockey,hockey,15,52,70,26,41,36
571,rec.sport.hockey,hockey,34,75,191,40,63,63
572,rec.sport.hockey,hockey,24,39,79,23,59,47
573,rec.sport.hockey,hockey,11,13,26,22,23,11
574,rec.sport.hockey,hockey,26,43,105,37,48,48
575,rec.sport.hockey,hockey,31,79,129,35,74,66
576,rec.sport.hockey,hockey,15,16,44,14,29,13
577,rec.sport.hockey,hockey,11,21,31,14,19,12
578,rec.sport.hockey,hockey,8,9,34,5,13,10
579,rec.sport.hockey,hockey,23,24,43,16,31,21
580,rec.sport.hockey,hockey,18,24,44,17,19,25
581,rec.sport.hockey,hockey,17,48,89,21,38,38
582,rec.sport.hockey,hockey,24,19,101,24,52,37
583,rec.sport.hockey,hockey,115,250,663,151,222,288
584,rec.sport.hockey,hockey,45,67,251,50,63,86
585,rec.sport.hockey,hockey,53,35,318,42,25,56
586,rec.sport.hockey,hockey,17,17,101,17,28,24
587,rec.sport.hockey,hockey,55,84,285,59,80,100
588,rec.sport.hockey,hockey,10,17,44,7,21,11
589,rec.sport.hockey,hockey,46,58,122,41,77,65
590,rec.sport.hockey,hockey,15,39,113,36,39,32
591,rec.sport.hockey,hockey,25,43,102,22,57,32
592,rec.sport.hockey,hockey,21,38,59,23,36,39
593,rec.sport.hockey,hockey,16,37,98,22,28,39
594,rec.sport.hockey,hockey,28,14,38,14,20,14
595,rec.sport.hockey,hockey,17,19,28,18,22,22
596,rec.sport.hockey,hockey,41,35,79,25,30,39
597,rec.sport.hockey,for sale,34,58,67,32,74,55
598,rec.sport.hockey,atheism,18,41,37,26,32,27
599,rec.sport.hockey,hockey,18,46,75,14,33,33
600,talk.politics.guns,guns,26,74,51,38,37,138
601,talk.politics.guns,guns,100,274,193,146,148,705
602,talk.politics.guns,guns,29,63,54,53,43,142
603,talk.politics.guns,guns,267,737,454,414,355,1528
604,talk.politics.guns,guns,32,66,61,48,46,144
605,talk.politics.guns,for sale,18,17,20,19,26,22
606,talk.politics.guns,guns,45,119,67,47,69,203
607,talk.politics.guns,for sale,12,8,10,13,20,10
608,talk.politics.guns,guns,41,105,58,49,88,115
609,talk.politics.guns,guns,24,56,33,28,45,61
610,talk.politics.guns,guns,24,50,32,26,41,78
611,talk.politics.guns,guns,43,41,33,20,28,64
612,talk.politics.guns,guns,50,55,36,24,29,82
613,talk.politics.guns,guns,29,29,23,14,26,33
614,talk.politics.guns,guns,23,25,28,15,16,30
615,talk.politics.guns,guns,15,22,15,13,21,59
616,talk.politics.guns,guns,18,46,35,18,37,92
617,talk.politics.guns,guns,36,65,31,36,46,137
618,talk.politics.guns,guns,26,55,36,31,44,90
619,talk.politics.guns,guns,36,85,71,66,59,176
620,talk.politics.guns,for sale,17,55,45,28,84,53
621,talk.politics.guns,atheism,17,19,11,11,18,19
622,talk.politics.guns,guns,28,114,68,42,64,266
623,talk.politics.guns,guns,64,90,58,37,68,110
624,talk.politics.guns,guns,24,75,42,26,56,89
625,talk.politics.guns,guns,29,77,31,30,58,100
626,talk.politics.guns,guns,37,121,64,54,104,258
627,talk.politics.guns,guns,35,112,66,50,70,213
628,talk.politics.guns,guns,21,48,42,26,41,116
629,talk.politics.guns,guns,101,182,102,87,155,268
630,talk.politics.guns,guns,13,35,22,23,27,58
631,talk.politics.guns,guns,17,44,38,31,24,90
632,talk.politics.guns,guns,26,75,65,56,45,139
633,talk.politics.guns,guns,57,138,91,81,125,249
634,talk.politics.guns,guns,28,36,35,30,36,69
635,talk.politics.guns,guns,36,55,31,26,54,86
636,talk.politics.guns,guns,18,34,23,24,29,48
637,talk.politics.guns,guns,22,42,18,34,43,62
638,talk.politics.guns,guns,40,49,67,30,58,151
639,talk.politics.guns,guns,43,89,48,67,72,123
640,talk.politics.guns,guns,27,50,27,29,40,54
641,talk.politics.guns,guns,20,57,34,34,39,87
642,talk.politics.guns,guns,16,35,38,26,34,57
643,talk.politics.guns,guns,67,76,72,53,56,145
644,talk.politics.guns,guns,19,63,50,35,51,105
645,talk.politics.guns,guns,49,109,77,82,100,201
646,talk.politics.guns,guns,40,105,64,64,79,150
647,talk.politics.guns,guns,32,42,39,26,58,61
648,talk.politics.guns,guns,25,16,20,12,27,47
649,talk.politics.guns,guns,28,52,24,28,56,71
650,talk.politics.guns,guns,24,24,24,11,30,34
651,talk.politics.guns,for sale,20,72,70,46,79,74
652,talk.politics.guns,for sale,25,42,33,24,52,47
653,talk.politics.guns,guns,40,115,98,83,80,221
654,talk.politics.guns,guns,21,56,41,24,38,112
655,talk.politics.guns,guns,113,156,200,133,152,440
656,talk.politics.guns,guns,60,85,45,47,80,105
657,talk.politics.guns,guns,32,89,63,40,56,179
658,talk.politics.guns,guns,31,84,58,39,65,186
659,talk.politics.guns,guns,45,141,84,80,120,274
660,talk.politics.guns,guns,93,138,101,75,99,300
661,talk.politics.guns,guns,30,61,36,32,48,119
662,talk.politics.guns,guns,17,39,28,25,23,85
663,talk.politics.guns,guns,22,54,49,25,48,132
664,talk.politics.guns,guns,32,63,45,55,56,70
665,talk.politics.guns,guns,37,78,54,53,77,101
666,talk.politics.guns,guns,23,33,40,24,38,79
667,talk.politics.guns,guns,46,102,68,40,86,127
668,talk.politics.guns,guns,39,61,54,33,47,91
669,talk.politics.guns,guns,12,18,17,16,17,34
670,talk.politics.guns,guns,21,26,18,15,21,76
671,talk.politics.guns,guns,21,60,53,38,50,93
672,talk.politics.guns,guns,58,183,90,76,103,309
673,talk.politics.guns,guns,21,50,20,31,40,74
674,talk.politics.guns,guns,55,115,70,43,99,203
675,talk.politics.guns,guns,115,370,161,122,199,458
676,talk.politics.guns,guns,21,52,44,40,40,159
677,talk.politics.guns,guns,70,182,103,88,150,251
678,talk.politics.guns,guns,80,188,124,92,154,438
679,talk.politics.guns,guns,33,48,29,16,36,89
680,talk.politics.guns,guns,43,64,60,33,63,162
681,talk.politics.guns,guns,59,122,91,76,117,299
682,talk.politics.guns,guns,29,64,36,25,25,114
683,talk.politics.guns,guns,89,181,98,123,131,314
684,talk.politics.guns,guns,15,11,15,14,20,60
685,talk.politics.guns,guns,67,155,112,76,145,323
686,talk.politics.guns,guns,58,149,92,78,131,301
687,talk.politics.guns,guns,20,36,30,21,31,50
688,talk.politics.guns,guns,46,132,72,70,93,208
689,talk.politics.guns,guns,26,38,48,29,36,52
690,talk.politics.guns,guns,112,288,155,111,206,424
691,talk.politics.guns,guns,25,31,22,25,16,71
692,talk.politics.guns,guns,29,88,63,51,76,157
693,talk.politics.guns,guns,78,228,120,100,143,365
694,talk.politics.guns,guns,15,37,11,15,16,41
695,talk.politics.guns,guns,26,38,29,28,39,101
696,talk.politics.guns,guns,31,64,44,44,49,130
697,talk.politics.guns,guns,58,150,73,70,107,258
698,talk.politics.guns,apple hardware,65,31,18,26,32,34
699,talk.politics.guns,apple hardware,53,41,31,29,39,47
700,talk.politics.guns,apple hardware,49,48,19,26,39,40
701,talk.politics.guns,guns,23,53,38,39,48,120
702,talk.politics.guns,guns,50,115,61,48,79,186
703,talk.politics.guns,guns,21,23,17,14,19,50
704,talk.politics.guns,guns,132,93,103,73,78,175
705,talk.politics.guns,guns,45,102,59,51,77,196
706,talk.politics.guns,guns,28,43,34,24,55,75
707,talk.politics.guns,guns,31,67,50,40,50,145
708,talk.politics.guns,guns,15,36,29,26,30,79
709,talk.politics.guns,guns,21,39,32,23,40,66
710,talk.politics.guns,guns,85,233,164,125,192,398
711,talk.politics.guns,guns,18,34,27,15,27,69
712,talk.politics.guns,guns,55,143,76,76,102,230
713,talk.politics.guns,guns,36,92,48,55,78,150
714,talk.politics.guns,guns,15,24,20,22,26,49
715,talk.politics.guns,guns,23,18,21,30,24,38
716,talk.politics.guns,guns,14,20,14,17,26,31
717,talk.politics.guns,guns,79,155,81,58,94,263
718,talk.politics.guns,guns,66,124,76,68,74,188
719,talk.politics.guns,guns,50,77,46,33,55,116
720,talk.politics.guns,guns,25,73,47,33,54,111
721,talk.politics.guns,guns,32,81,46,41,72,143
722,talk.politics.guns,guns,67,199,143,107,169,378
723,talk.politics.guns,guns,23,81,51,43,50,127
724,talk.politics.guns,guns,30,57,35,38,55,152
725,talk.politics.guns,guns,41,124,74,42,124,170
726,talk.politics.guns,guns,37,25,30,27,27,45
727,talk.politics.guns,guns,36,118,58,51,60,179
728,talk.politics.guns,guns,64,159,125,63,165,299
729,talk.politics.guns,guns,57,102,61,66,82,232
730,talk.politics.guns,guns,21,29,21,28,33,39
731,talk.politics.guns,guns,28,77,55,28,69,96
732,talk.politics.guns,guns,36,100,59,40,74,173
733,talk.politics.guns,guns,60,162,89,74,131,262
734,talk.politics.guns,guns,75,76,56,31,76,98
735,talk.politics.guns,guns,31,61,35,40,51,144
736,talk.politics.guns,guns,23,48,24,32,47,77
737,talk.politics.guns,guns,11,24,12,18,28,42
738,talk.politics.guns,guns,57,166,95,58,119,241
739,talk.politics.guns,guns,32,73,43,44,66,144
740,talk.politics.guns,guns,62,173,97,69,131,327
741,talk.politics.guns,guns,23,61,45,24,63,115
742,talk.politics.guns,guns,52,130,98,62,130,252
743,talk.politics.guns,guns,39,67,50,41,58,150
744,talk.politics.guns,guns,101,242,153,105,195,443
745,talk.politics.guns,guns,24,72,39,20,67,135
746,talk.politics.guns,guns,13,21,19,22,27,59
747,talk.politics.guns,guns,51,160,78,82,160,266
748,talk.politics.guns,guns,51,89,80,53,97,153
749,talk.politics.guns,guns,31,69,60,34,46,104
750,talk.politics.guns,guns,49,143,114,52,73,344
751,talk.politics.guns,guns,43,89,75,33,75,126
752,talk.politics.guns,guns,35,90,54,52,64,140
753,talk.politics.guns,guns,23,30,25,17,29,58
754,talk.politics.guns,guns,20,31,12,9,34,43
755,talk.politics.guns,guns,31,55,37,36,70,89
756,talk.politics.guns,guns,52,85,69,49,83,244
757,talk.politics.guns,guns,26,59,25,22,52,117
758,talk.politics.guns,guns,18,46,35,24,49,75
759,talk.politics.guns,guns,27,85,66,18,93,126
760,talk.politics.guns,guns,41,88,57,31,92,153
761,talk.politics.guns,guns,72,170,124,82,190,300
762,talk.politics.guns,guns,47,67,62,56,49,126
763,talk.politics.guns,guns,52,60,23,27,48,78
764,talk.politics.guns,guns,13,26,21,22,23,73
765,talk.politics.guns,guns,56,96,50,44,93,154
766,talk.politics.guns,guns,321,488,325,426,195,1804
767,talk.politics.guns,guns,61,160,82,63,143,247
768,talk.politics.guns,guns,51,94,80,59,88,186
769,talk.politics.guns,guns,9,26,18,13,12,27
770,talk.politics.guns,guns,83,97,64,46,87,136
771,talk.politics.guns,guns,45,59,27,37,52,148
772,talk.politics.guns,guns,80,144,80,63,103,261
773,talk.politics.guns,guns,47,74,41,33,62,130
774,talk.politics.guns,for sale,24,23,24,13,36,21
775,talk.politics.guns,guns,34,82,45,33,78,117
776,talk.politics.guns,guns,28,51,45,28,49,89
777,talk.politics.guns,guns,33,78,41,45,65,128
778,talk.politics.guns,guns,34,63,49,29,58,156
779,talk.politics.guns,guns,118,316,210,155,233,495
780,talk.politics.guns,guns,67,95,67,44,82,136
781,talk.politics.guns,guns,152,429,292,244,368,870
782,talk.politics.guns,guns,55,44,30,42,47,82
783,talk.politics.guns,apple hardware,47,16,15,23,20,27
784,talk.politics.guns,guns,67,64,42,38,54,128
785,talk.politics.guns,guns,64,51,42,34,62,85
786,talk.politics.guns,guns,18,25,23,14,26,63
787,talk.politics.guns,guns,55,62,57,37,63,151
788,talk.politics.guns,guns,36,56,33,27,39,65
789,talk.politics.guns,guns,46,84,79,45,77,127
790,talk.politics.guns,guns,33,48,45,30,34,122
791,talk.politics.guns,guns,43,82,53,54,64,201
792,talk.politics.guns,guns,19,55,33,22,59,83
793,talk.politics.guns,guns,11,16,19,23,28,40
794,talk.politics.guns,guns,37,62,45,27,48,109
795,talk.politics.guns,guns,36,67,52,44,63,124
796,talk.politics.guns,guns,41,118,90,79,80,258
797,talk.politics.guns,apple hardware,93,58,65,42,53,82
798,talk.politics.guns,guns,61,97,63,56,98,182
799,talk.politics.guns,guns,21,57,33,25,47,95
800,comp.sys.mac.hardware,apple hardware,90,58,42,35,68,43
801,comp.sys.mac.hardware,guns,34,35,18,24,38,41
802,comp.sys.mac.hardware,apple hardware,40,26,14,28,30,23
803,comp.sys.mac.hardware,apple hardware,39,25,20,24,37,23
804,comp.sys.mac.hardware,apple hardware,61,40,26,60,43,31
805,comp.sys.mac.hardware,apple hardware,25,8,12,15,19,10
806,comp.sys.mac.hardware,apple hardware,44,20,21,27,22,21
807,comp.sys.mac.hardware,apple hardware,55,16,20,29,24,19
808,comp.sys.mac.hardware,for sale,11,9,9,12,13,5
809,comp.sys.mac.hardware,for sale,44,34,38,29,64,43
810,comp.sys.mac.hardware,apple hardware,53,24,28,38,12,16
811,comp.sys.mac.hardware,apple hardware,38,21,26,29,28,25
812,comp.sys.mac.hardware,for sale,30,19,12,22,35,19
813,comp.sys.mac.hardware,apple hardware,71,64,45,57,64,63
814,comp.sys.mac.hardware,for sale,15,10,15,14,17,14
815,comp.sys.mac.hardware,apple hardware,17,11,12,16,9,11
816,comp.sys.mac.hardware,apple hardware,94,54,34,62,77,57
817,comp.sys.mac.hardware,guns,55,42,41,34,41,58
818,comp.sys.mac.hardware,for sale,112,122,115,70,147,145
819,comp.sys.mac.hardware,apple hardware,19,5,13,18,9,5
820,comp.sys.mac.hardware,atheism,30,71,41,46,38,52
821,comp.sys.mac.hardware,apple hardware,32,20,21,31,19,10
822,comp.sys.mac.hardware,apple hardware,62,30,16,24,30,27
823,comp.sys.mac.hardware,for sale,15,8,7,8,33,11
824,comp.sys.mac.hardware,apple hardware,92,60,32,75,49,64
825,comp.sys.mac.hardware,for sale,21,17,15,15,28,16
826,comp.sys.mac.hardware,apple hardware,35,16,17,11,25,14
827,comp.sys.mac.hardware,for sale,55,49,27,41,77,51
828,comp.sys.mac.hardware,apple hardware,43,24,17,24,24,18
829,comp.sys.mac.hardware,apple hardware,90,23,20,31,18,31
830,comp.sys.mac.hardware,apple hardware,50,33,27,27,46,24
831,comp.sys.mac.hardware,apple hardware,29,10,11,17,21,8
832,comp.sys.mac.hardware,for sale,42,27,19,40,55,36
833,comp.sys.mac.hardware,apple hardware,56,36,32,35,39,31
834,comp.sys.mac.hardware,for sale,58,39,39,23,81,44
835,comp.sys.mac.hardware,electronics,21,19,10,26,26,12
836,comp.sys.mac.hardware,for sale,58,31,27,39,68,34
837,comp.sys.mac.hardware,apple hardware,27,7,22,12,13,6
838,comp.sys.mac.hardware,apple hardware,37,22,32,21,26,22
839,comp.sys.mac.hardware,for sale,50,56,47,33,58,56
840,comp.sys.mac.hardware,apple hardware,19,8,11,19,12,4
841,comp.sys.mac.hardware,apple hardware,82,39,41,37,42,44
842,comp.sys.mac.hardware,apple hardware,55,43,29,40,43,37
843,comp.sys.mac.hardware,guns,79,58,55,46,85,86
844,comp.sys.mac.hardware,for sale,54,50,32,41,55,41
845,comp.sys.mac.hardware,apple hardware,54,24,20,23,20,20
846,comp.sys.mac.hardware,for sale,65,51,33,50,74,64
847,comp.sys.mac.hardware,electronics,100,52,37,109,54,53
848,comp.sys.mac.hardware,apple hardware,48,21,25,35,25,18
849,comp.sys.mac.hardware,apple hardware,24,14,23,14,19,11
850,comp.sys.mac.hardware,hockey,29,20,32,25,9,20
851,comp.sys.mac.hardware,apple hardware,56,21,20,29,28,18
852,comp.sys.mac.hardware,hockey,24,21,28,20,23,12
853,comp.sys.mac.hardware,apple hardware,64,27,33,35,37,49
854,comp.sys.mac.hardware,for sale,17,17,22,22,29,19
855,comp.sys.mac.hardware,apple hardware,77,44,27,31,51,43
856,comp.sys.mac.hardware,for sale,48,32,29,29,53,26
857,comp.sys.mac.hardware,apple hardware,38,21,16,12,29,17
858,comp.sys.mac.hardware,apple hardware,40,13,13,14,13,14
859,comp.sys.mac.hardware,electronics,37,32,31,41,23,40
860,comp.sys.mac.hardware,for sale,63,57,41,46,79,61
861,comp.sys.mac.hardware,for sale,32,54,37,51,80,42
862,comp.sys.mac.hardware,for sale,19,18,25,28,32,12
863,comp.sys.mac.hardware,for sale,29,22,22,27,44,18
864,comp.sys.mac.hardware,for sale,111,107,85,97,153,132
865,comp.sys.mac.hardware,apple hardware,37,19,22,20,18,20
866,comp.sys.mac.hardware,for sale,59,28,42,33,61,35
867,comp.sys.mac.hardware,for sale,40,44,30,38,46,34
868,comp.sys.mac.hardware,apple hardware,88,38,30,27,29,33
869,comp.sys.mac.hardware,apple hardware,39,5,12,12,13,10
870,comp.sys.mac.hardware,apple hardware,87,67,44,55,74,66
871,comp.sys.mac.hardware,apple hardware,63,33,36,27,36,31
872,comp.sys.mac.hardware,for sale,28,23,16,16,41,27
873,comp.sys.mac.hardware,for sale,43,30,24,24,45,28
874,comp.sys.mac.hardware,apple hardware,99,92,75,34,91,99
875,comp.sys.mac.hardware,apple hardware,39,25,22,13,26,13
876,comp.sys.mac.hardware,apple hardware,27,19,13,18,26,20
877,comp.sys.mac.hardware,apple hardware,67,55,44,59,54,52
878,comp.sys.mac.hardware,for sale,32,35,22,24,61,34
879,comp.sys.mac.hardware,apple hardware,78,33,36,34,51,35
880,comp.sys.mac.hardware,for sale,16,31,33,26,46,45
881,comp.sys.mac.hardware,apple hardware,42,23,16,15,33,18
882,comp.sys.mac.hardware,for sale,32,38,33,47,65,32
883,comp.sys.mac.hardware,electronics,135,85,65,136,117,82
884,comp.sys.mac.hardware,electronics,135,85,65,136,117,82
885,comp.sys.mac.hardware,apple hardware,56,24,41,31,42,39
886,comp.sys.mac.hardware,electronics,81,57,41,82,60,48
887,comp.sys.mac.hardware,apple hardware,50,22,25,15,28,27
888,comp.sys.mac.hardware,for sale,18,25,31,20,56,36
889,comp.sys.mac.hardware,for sale,66,71,56,40,115,86
890,comp.sys.mac.hardware,electronics,27,18,17,41,26,9
891,comp.sys.mac.hardware,apple hardware,39,11,14,18,18,15
892,comp.sys.mac.hardware,for sale,45,55,32,43,59,33
893,comp.sys.mac.hardware,apple hardware,56,38,34,22,45,31
894,comp.sys.mac.hardware,atheism,36,38,24,36,32,30
895,comp.sys.mac.hardware,for sale,41,35,40,37,65,39
896,comp.sys.mac.hardware,apple hardware,262,154,108,98,138,176
897,comp.sys.mac.hardware,apple hardware,57,21,24,26,31,25
898,comp.sys.mac.hardware,electronics,52,40,24,65,45,34
899,comp.sys.mac.hardware,apple hardware,125,45,51,85,46,83
900,comp.sys.mac.hardware,for sale,61,50,54,45,67,52
901,comp.sys.mac.hardware,apple hardware,33,17,13,16,19,22
902,comp.sys.mac.hardware,for sale,20,21,20,15,28,22
903,comp.sys.mac.hardware,for sale,27,34,19,28,71,37
904,comp.sys.mac.hardware,for sale,22,10,20,12,26,18
905,comp.sys.mac.hardware,for sale,46,53,54,64,73,59
906,comp.sys.mac.hardware,apple hardware,87,37,22,26,49,50
907,comp.sys.mac.hardware,for sale,40,58,54,67,89,45
908,comp.sys.mac.hardware,apple hardware,26,11,12,15,15,16
909,comp.sys.mac.hardware,apple hardware,124,65,48,49,57,65
910,comp.sys.mac.hardware,for sale,51,63,43,51,99,63
911,comp.sys.mac.hardware,apple hardware,36,13,16,8,14,9
912,comp.sys.mac.hardware,apple hardware,44,24,18,27,35,20
913,comp.sys.mac.hardware,for sale,56,38,53,28,71,62
914,comp.sys.mac.hardware,apple hardware,75,45,21,33,53,46
915,comp.sys.mac.hardware,apple hardware,65,33,27,42,43,29
916,comp.sys.mac.hardware,apple hardware,48,35,30,27,34,24
917,comp.sys.mac.hardware,apple hardware,62,34,31,23,53,42
918,comp.sys.mac.hardware,for sale,51,45,41,26,52,49
919,comp.sys.mac.hardware,apple hardware,68,32,27,25,39,30
920,comp.sys.mac.hardware,for sale,88,66,58,42,90,81
921,comp.sys.mac.hardware,for sale,43,39,19,28,57,39
922,comp.sys.mac.hardware,for sale,14,5,8,9,15,8
923,comp.sys.mac.hardware,for sale,31,50,37,38,84,43
924,comp.sys.mac.hardware,electronics,49,66,60,123,80,92
925,comp.sys.mac.hardware,apple hardware,58,32,27,43,38,41
926,comp.sys.mac.hardware,apple hardware,31,14,11,11,10,15
927,comp.sys.mac.hardware,apple hardware,75,66,33,50,52,41
928,comp.sys.mac.hardware,apple hardware,48,24,22,22,22,29
929,comp.sys.mac.hardware,apple hardware,89,34,27,24,70,41
930,comp.sys.mac.hardware,guns,31,28,31,25,26,53
931,comp.sys.mac.hardware,apple hardware,18,8,15,15,9,8
932,comp.sys.mac.hardware,electronics,44,45,31,64,53,38
933,comp.sys.mac.hardware,apple hardware,72,28,31,35,38,39
934,comp.sys.mac.hardware,apple hardware,31,14,19,16,14,16
935,comp.sys.mac.hardware,electronics,19,10,16,22,20,7
936,comp.sys.mac.hardware,electronics,32,33,21,40,39,32
937,comp.sys.mac.hardware,apple hardware,29,16,12,13,15,13
938,comp.sys.mac.hardware,for sale,40,28,30,45,55,30
939,comp.sys.mac.hardware,apple hardware,27,17,9,18,19,14
940,comp.sys.mac.hardware,apple hardware,30,9,18,10,15,7
941,comp.sys.mac.hardware,for sale,36,33,24,40,74,33
942,comp.sys.mac.hardware,apple hardware,15,3,7,9,4,4
943,comp.sys.mac.hardware,apple hardware,29,16,15,12,27,12
944,comp.sys.mac.hardware,for sale,50,33,30,40,54,32
945,comp.sys.mac.hardware,for sale,46,52,39,46,72,40
946,comp.sys.mac.hardware,for sale,48,43,30,51,55,27
947,comp.sys.mac.hardware,apple hardware,74,42,32,44,36,29
948,comp.sys.mac.hardware,for sale,56,69,38,70,75,43
949,comp.sys.mac.hardware,apple hardware,82,27,25,42,32,54
950,comp.sys.mac.hardware,apple hardware,37,12,23,20,13,14
951,comp.sys.mac.hardware,electronics,45,42,32,70,30,31
952,comp.sys.mac.hardware,electronics,33,30,30,38,35,21
953,comp.sys.mac.hardware,electronics,30,60,33,94,71,67
954,comp.sys.mac.hardware,for sale,48,50,20,34,54,41
955,comp.sys.mac.hardware,electronics,26,25,18,31,29,15
956,comp.sys.mac.hardware,apple hardware,52,27,16,23,29,23
957,comp.sys.mac.hardware,atheism,4,7,5,7,6,3
958,comp.sys.mac.hardware,apple hardware,102,66,46,46,69,68
959,comp.sys.mac.hardware,apple hardware,38,17,25,17,19,11
960,comp.sys.mac.hardware,apple hardware,31,11,12,15,18,9
961,comp.sys.mac.hardware,for sale,23,25,23,27,48,32
962,comp.sys.mac.hardware,for sale,43,51,31,50,83,42
963,comp.sys.mac.hardware,apple hardware,35,15,14,29,33,20
964,comp.sys.mac.hardware,apple hardware,34,17,20,13,17,15
965,comp.sys.mac.hardware,apple hardware,39,23,20,14,21,29
966,comp.sys.mac.hardware,apple hardware,24,12,12,8,21,11
967,comp.sys.mac.hardware,for sale,26,29,26,34,62,25
968,comp.sys.mac.hardware,for sale,15,25,13,26,57,8
969,comp.sys.mac.hardware,electronics,26,28,20,48,28,25
970,comp.sys.mac.hardware,apple hardware,50,36,30,46,41,29
971,comp.sys.mac.hardware,for sale,55,39,24,37,74,39
972,comp.sys.mac.hardware,apple hardware,31,22,24,20,20,16
973,comp.sys.mac.hardware,electronics,12,9,10,30,16,4
974,comp.sys.mac.hardware,apple hardware,55,28,23,18,35,26
975,comp.sys.mac.hardware,apple hardware,27,9,10,16,21,11
976,comp.sys.mac.hardware,apple hardware,11,5,7,4,5,4
977,comp.sys.mac.hardware,for sale,19,12,16,12,27,13
978,comp.sys.mac.hardware,for sale,46,41,29,35,50,34
979,comp.sys.mac.hardware,apple hardware,58,19,19,23,33,20
980,comp.sys.mac.hardware,for sale,44,24,26,33,49,27
981,comp.sys.mac.hardware,apple hardware,26,14,16,13,10,17
982,comp.sys.mac.hardware,for sale,75,66,53,82,89,65
983,comp.sys.mac.hardware,electronics,44,30,38,54,30,20
984,comp.sys.mac.hardware,electronics,31,22,32,56,25,15
985,comp.sys.mac.hardware,electronics,62,53,38,94,80,44
986,comp.sys.mac.hardware,electronics,60,58,40,96,85,49
987,comp.sys.mac.hardware,apple hardware,130,63,62,54,74,83
988,comp.sys.mac.hardware,for sale,16,13,20,14,32,9
989,comp.sys.mac.hardware,for sale,18,9,15,9,24,11
990,comp.sys.mac.hardware,for sale,15,21,21,15,34,16
991,comp.sys.mac.hardware,electronics,22,12,13,33,20,4
992,comp.sys.mac.hardware,apple hardware,90,43,46,56,61,55
993,comp.sys.mac.hardware,apple hardware,82,48,44,46,50,40
994,comp.sys.mac.hardware,for sale,27,18,24,24,33,19
995,comp.sys.mac.hardware,electronics,34,21,35,41,27,36
996,comp.sys.mac.hardware,electronics,49,64,54,84,56,63
997,comp.sys.mac.hardware,apple hardware,45,23,12,25,23,18
998,comp.sys.mac.hardware,for sale,54,90,75,97,157,106
999,comp.sys.mac.hardware,for sale,65,58,49,73,125,53
1000,sci.electronics,electronics,40,62,43,95,53,67
1001,sci.electronics,electronics,122,81,154,306,80,131
1002,sci.electronics,electronics,41,101,71,163,105,88
1003,sci.electronics,for sale,19,16,14,15,25,17
1004,sci.electronics,electronics,21,12,22,36,21,13
1005,sci.electronics,electronics,16,42,22,82,32,33
1006,sci.electronics,apple hardware,29,15,24,16,16,8
1007,sci.electronics,for sale,63,49,63,76,120,58
1008,sci.electronics,electronics,25,30,35,73,31,20
1009,sci.electronics,electronics,43,34,33,104,36,29
1010,sci.electronics,electronics,21,28,21,45,36,28
1011,sci.electronics,atheism,20,23,13,20,18,8
1012,sci.electronics,electronics,36,40,35,60,46,40
