document,actual,apple hardware,atheism,hockey,electronics,for sale,guns
461,apple hardware,44.44,7.94,11.11,13.49,12.7,10.32
462,apple hardware,30.12,12.45,7.63,26.1,12.45,11.24
463,apple hardware,30.3,13.13,11.11,18.18,13.13,14.14
464,apple hardware,32.03,10.16,17.97,19.53,8.59,11.72
465,apple hardware,63.6,4.78,8.46,11.03,7.72,4.41
466,apple hardware,39.86,9.42,13.04,10.14,8.7,18.84
467,electronics,21.36,8.61,8.01,29.08,16.02,16.91
468,electronics,18.18,9.09,9.09,27.92,15.58,20.13
469,electronics,12.17,7.94,10.58,36.51,14.81,17.99
470,apple hardware,28.28,14.14,16.16,13.13,13.13,15.15
471,apple hardware,35.35,7.44,6.51,6.98,31.63,12.09
472,apple hardware,40.58,8.7,14.49,12.32,13.04,10.87
473,apple hardware,36.51,8.73,14.29,22.22,10.32,7.94
474,apple hardware,40.0,13.55,7.1,12.9,14.84,11.61
475,apple hardware,29.27,9.76,12.2,13.82,21.14,13.82
476,apple hardware,30.91,13.94,14.55,13.94,13.33,13.33
477,for sale,20.69,11.49,18.39,14.94,21.84,12.64
478,apple hardware,46.98,10.74,9.4,10.74,12.75,9.4
479,apple hardware,33.96,8.18,17.61,16.98,13.84,9.43
480,electronics,24.89,6.67,7.11,43.56,10.67,7.11
481,apple hardware,28.49,9.3,24.42,15.7,10.47,11.63
482,apple hardware,42.47,6.99,12.37,18.82,11.29,8.06
483,electronics,17.22,10.0,10.0,28.89,18.33,15.56
484,apple hardware,54.91,9.25,7.51,10.4,10.98,6.94
485,apple hardware,21.05,8.77,14.04,19.88,17.54,18.71
486,apple hardware,29.81,8.17,13.46,12.02,16.83,19.71
487,apple hardware,38.35,9.77,9.02,11.28,21.05,10.53
488,apple hardware,27.52,12.84,16.51,15.6,15.6,11.93
489,apple hardware,44.0,9.33,12.0,16.0,10.67,8.0
490,apple hardware,31.36,9.32,14.41,16.95,16.1,11.86
491,apple hardware,37.82,8.4,10.08,12.61,17.65,13.45
492,apple hardware,44.1,9.32,9.32,15.53,9.94,11.8
493,electronics,18.63,13.73,16.67,20.59,19.61,10.78
494,apple hardware,35.24,14.29,12.38,16.19,11.43,10.48
495,apple hardware,37.88,9.85,9.09,22.73,11.36,9.09
496,electronics,23.02,11.9,8.73,30.16,16.67,9.52
497,apple hardware,50.59,8.82,8.24,15.88,7.65,8.82
498,apple hardware,31.63,10.2,13.27,16.33,17.35,11.22
499,apple hardware,27.45,10.78,16.67,13.73,16.67,14.71
500,apple hardware,35.71,12.5,13.39,12.5,13.39,12.5
501,apple hardware,43.79,9.15,11.11,8.5,17.65,9.8
502,apple hardware,48.12,10.53,10.53,12.03,9.77,9.02
503,apple hardware,50.22,12.23,5.68,5.68,15.28,10.92
504,apple hardware,32.43,11.49,16.89,11.49,15.54,12.16
505,apple hardware,26.56,16.41,10.94,22.66,14.06,9.38
506,for sale,19.55,10.61,11.17,18.99,29.05,10.61
507,electronics,27.66,8.51,11.35,34.75,7.8,9.93
508,apple hardware,39.11,8.94,15.64,11.73,8.38,16.2
509,apple hardware,34.29,11.43,11.43,17.14,12.38,13.33
510,apple hardware,34.51,7.04,11.27,25.35,14.08,7.75
511,apple hardware,41.8,12.3,13.11,12.3,9.02,11.48
512,apple hardware,25.0,10.19,16.67,14.81,20.37,12.96
513,apple hardware,30.65,12.1,11.29,21.77,12.1,12.1
514,apple hardware,42.31,9.23,13.08,12.31,13.08,10.0
515,apple hardware,34.29,10.71,11.43,15.0,11.43,17.14
516,apple hardware,51.75,8.39,7.69,13.99,9.09,9.09
517,apple hardware,44.17,11.17,7.77,16.5,9.71,10.68
518,apple hardware,62.69,7.34,4.28,5.2,8.56,11.93
519,apple hardware,59.5,7.0,6.0,9.0,9.0,9.5
520,apple hardware,48.08,9.62,8.33,6.41,12.82,14.74
521,apple hardware,49.54,13.43,8.33,10.65,8.8,9.26
522,guns,24.52,8.82,13.5,14.6,13.22,25.34
523,apple hardware,42.61,12.17,13.04,11.3,12.17,8.7
524,electronics,17.92,14.15,13.21,20.75,16.98,16.98
525,apple hardware,33.33,9.52,13.33,14.29,15.24,14.29
526,electronics,19.63,14.02,16.82,21.5,14.02,14.02
527,apple hardware,38.96,9.74,9.09,16.88,12.34,12.99
528,apple hardware,23.38,14.29,14.29,15.58,16.88,15.58
529,for sale,18.63,16.77,9.32,9.32,31.68,14.29
530,for sale,24.77,9.91,9.46,9.46,31.98,14.41
531,for sale,18.98,9.49,13.87,15.33,29.93,12.41
532,electronics,8.9,7.53,8.9,45.21,17.12,12.33
533,apple hardware,35.05,10.31,16.49,12.37,13.4,12.37
534,apple hardware,42.86,9.52,11.43,12.38,14.29,9.52
535,apple hardware,48.99,10.74,10.07,10.07,10.07,10.07
536,apple hardware,21.8,11.28,21.8,15.04,14.29,15.79
537,hockey,15.89,9.35,23.36,19.63,16.82,14.95
538,apple hardware,28.85,7.69,8.17,21.15,19.23,14.9
539,apple hardware,36.17,10.64,11.35,17.02,9.22,15.6
540,apple hardware,26.88,10.75,16.13,18.28,12.9,15.05
541,apple hardware,29.13,11.65,10.68,14.56,22.33,11.65
542,apple hardware,23.85,13.08,10.77,13.08,23.85,15.38
543,apple hardware,31.97,8.2,9.84,28.69,11.48,9.84
544,apple hardware,48.28,8.97,7.59,13.79,11.03,10.34
545,apple hardware,50.23,9.13,5.48,20.55,7.76,6.85
546,apple hardware,39.8,12.24,14.29,11.22,12.24,10.2
547,apple hardware,53.31,9.73,8.17,9.73,12.06,7.0
548,electronics,15.62,10.27,8.48,31.7,20.09,13.84
549,apple hardware,28.65,6.43,23.39,16.96,16.37,8.19
550,apple hardware,27.64,12.2,13.82,23.58,12.2,10.57
551,for sale,24.89,8.44,12.44,12.89,30.22,11.11
552,electronics,15.58,9.74,21.43,26.62,11.69,14.94
553,apple hardware,40.62,20.0,8.75,11.88,10.62,8.12
554,apple hardware,29.36,11.01,9.17,20.18,15.6,14.68
555,apple hardware,40.41,8.22,13.7,10.27,14.38,13.01
556,apple hardware,26.61,10.09,16.51,12.84,20.18,13.76
557,apple hardware,49.17,10.0,8.33,12.5,11.67,8.33
558,electronics,3.03,3.03,6.36,83.65,1.74,2.2
559,apple hardware,35.37,10.88,12.93,17.01,12.24,11.56
560,electronics,7.56,3.9,6.1,73.41,4.15,4.88
561,electronics,17.59,15.74,15.74,19.44,12.96,18.52
562,apple hardware,45.45,10.61,9.09,15.15,8.33,11.36
563,apple hardware,32.73,9.09,10.0,22.73,10.0,15.45
564,apple hardware,38.75,6.92,9.34,21.45,8.65,14.88
565,electronics,24.0,12.0,13.0,25.0,15.0,11.0
566,apple hardware,26.26,12.12,11.11,14.14,14.14,22.22
567,apple hardware,43.05,7.28,9.27,17.88,13.91,8.61
568,apple hardware,21.59,11.36,21.59,15.91,17.05,12.5
569,apple hardware,48.17,7.93,10.37,17.68,7.32,8.54
570,apple hardware,35.58,10.58,13.46,13.46,14.42,12.5
571,apple hardware,37.5,17.86,10.71,13.39,9.82,10.71
572,apple hardware,33.33,7.46,10.45,24.88,11.94,11.94
573,apple hardware,43.86,7.6,10.53,21.05,8.19,8.77
574,apple hardware,39.52,12.1,12.1,11.29,14.52,10.48
575,apple hardware,30.84,11.21,12.15,17.76,15.89,12.15
576,apple hardware,26.0,10.0,13.0,15.0,16.0,20.0
577,apple hardware,40.48,9.52,8.73,17.46,9.52,14.29
578,apple hardware,23.66,18.32,12.98,14.5,21.37,9.16
579,apple hardware,29.87,14.29,14.29,12.99,12.99,15.58
580,apple hardware,36.96,10.87,13.04,13.04,13.04,13.04
581,apple hardware,38.97,16.41,7.69,16.41,6.67,13.85
582,apple hardware,26.09,11.96,26.09,10.87,13.04,11.96
583,apple hardware,40.91,10.0,10.0,15.45,12.73,10.91
584,apple hardware,28.72,8.51,21.81,19.15,12.23,9.57
585,apple hardware,29.63,13.89,20.37,13.89,11.11,11.11
586,apple hardware,27.68,11.61,13.39,17.86,16.07,13.39
587,hockey,19.47,10.62,25.66,16.81,16.81,10.62
588,electronics,14.02,14.02,14.95,28.04,19.63,9.35
589,apple hardware,23.84,9.93,9.27,23.18,20.53,13.25
590,apple hardware,48.87,10.53,8.27,12.78,10.53,9.02
591,apple hardware,48.31,8.24,6.37,17.6,12.36,7.12
592,apple hardware,51.85,7.41,9.63,14.07,7.41,9.63
593,apple hardware,50.0,8.97,7.05,18.59,7.69,7.69
594,electronics,16.34,14.36,11.88,26.24,14.36,16.83
595,guns,20.31,10.94,18.75,12.5,14.06,23.44
596,apple hardware,42.34,10.81,9.01,15.32,12.61,9.91
597,electronics,5.91,6.11,4.11,73.75,3.41,6.71
598,apple hardware,28.16,12.62,15.53,17.48,15.53,10.68
599,apple hardware,35.87,11.96,11.96,13.04,11.96,15.22
600,apple hardware,57.79,7.98,9.51,8.75,9.89,6.08
601,apple hardware,33.33,12.12,13.13,18.18,13.13,10.1
602,apple hardware,28.28,10.1,19.19,14.14,12.12,16.16
603,apple hardware,29.29,12.12,16.16,16.16,14.14,12.12
604,apple hardware,25.85,11.56,14.29,21.77,12.93,13.61
605,electronics,27.46,7.75,11.97,28.17,13.38,11.27
606,apple hardware,50.37,8.15,10.37,14.07,9.63,7.41
607,apple hardware,40.48,8.3,23.53,13.84,7.96,5.88
608,apple hardware,30.43,11.96,14.13,20.65,10.87,11.96
609,apple hardware,34.15,13.41,13.41,13.41,12.2,13.41
610,apple hardware,36.04,9.91,11.71,14.41,15.32,12.61
611,apple hardware,31.13,13.21,10.38,16.04,13.21,16.04
612,apple hardware,47.15,8.13,10.57,14.63,10.57,8.94
613,electronics,13.33,12.17,13.04,31.3,13.33,16.81
614,electronics,21.28,15.54,12.84,25.68,8.45,16.22
615,apple hardware,54.48,7.46,8.21,10.45,10.45,8.96
616,apple hardware,31.01,12.4,10.85,18.6,13.18,13.95
617,apple hardware,59.91,4.95,6.31,10.81,9.46,8.56
618,apple hardware,52.36,6.44,5.58,20.17,7.3,8.15
619,apple hardware,33.67,11.22,14.29,17.35,11.22,12.24
620,electronics,18.45,23.21,6.55,27.98,14.88,8.93
621,apple hardware,54.94,7.41,9.88,11.73,8.64,7.41
622,apple hardware,64.15,5.66,7.55,7.55,8.02,7.08
623,apple hardware,57.4,8.66,7.29,9.79,5.01,11.85
624,apple hardware,53.21,8.33,8.97,10.9,10.26,8.33
625,apple hardware,49.62,6.77,6.02,18.42,9.77,9.4
626,apple hardware,42.86,13.69,14.88,11.9,7.74,8.93
627,apple hardware,36.42,9.27,13.91,10.6,19.21,10.6
628,apple hardware,48.21,8.37,9.56,13.94,10.76,9.16
629,apple hardware,37.96,10.22,16.79,11.68,13.14,10.22
630,apple hardware,36.36,11.19,11.89,20.98,9.79,9.79
631,apple hardware,38.52,11.48,10.66,13.11,13.11,13.11
632,apple hardware,33.91,9.57,10.43,14.78,16.52,14.78
633,apple hardware,56.17,9.26,8.64,8.64,9.88,7.41
634,apple hardware,30.94,16.55,11.51,14.39,12.95,13.67
635,apple hardware,46.88,8.33,7.29,10.94,19.27,7.29
636,apple hardware,35.14,11.71,16.22,11.71,14.41,10.81
637,apple hardware,30.85,12.77,15.96,12.77,17.02,10.64
638,electronics,27.04,9.43,11.95,30.82,11.95,8.81
639,electronics,23.98,7.6,13.45,32.16,10.53,12.28
640,apple hardware,22.64,12.26,12.26,18.87,22.64,11.32
641,apple hardware,35.64,10.4,11.88,12.87,16.83,12.38
642,electronics,24.35,7.25,8.81,31.09,11.4,17.1
643,for sale,27.48,9.92,8.4,11.45,31.3,11.45
644,apple hardware,45.88,8.24,8.82,15.29,14.71,7.06
645,apple hardware,30.49,12.2,12.2,15.85,15.85,13.41
646,apple hardware,40.16,10.24,7.87,15.75,14.17,11.81
647,apple hardware,31.3,12.98,10.69,16.79,14.5,13.74
648,apple hardware,47.37,10.53,11.18,9.87,8.55,12.5
649,electronics,13.39,10.04,11.72,51.05,5.86,7.95
650,apple hardware,37.18,9.62,9.62,16.67,10.9,16.03
651,apple hardware,36.73,8.16,8.16,25.17,12.24,9.52
652,apple hardware,33.91,8.05,10.34,20.11,16.09,11.49
653,apple hardware,24.78,14.16,12.39,16.81,16.81,15.04
654,apple hardware,25.9,10.79,14.39,16.55,15.83,16.55
655,apple hardware,30.13,12.97,10.04,23.01,13.81,10.04
656,apple hardware,26.85,11.11,15.74,13.89,15.74,16.67
657,apple hardware,39.67,11.57,9.92,9.92,20.66,8.26
658,apple hardware,37.59,7.24,20.69,12.41,7.59,14.48
659,apple hardware,32.63,12.63,17.89,13.68,12.63,10.53
660,apple hardware,27.55,7.65,12.24,13.27,26.02,13.27
661,apple hardware,28.68,10.08,20.16,19.38,9.3,12.4
662,apple hardware,44.6,8.63,15.11,10.07,11.51,10.07
663,apple hardware,27.27,13.22,9.92,12.4,22.31,14.88
664,apple hardware,55.13,8.33,10.9,9.62,7.69,8.33
665,for sale,19.49,16.41,9.74,9.74,24.62,20.0
666,apple hardware,32.32,11.11,8.59,9.09,25.25,13.64
667,apple hardware,32.41,10.34,7.59,20.69,15.17,13.79
668,apple hardware,25.96,11.54,13.46,21.15,16.35,11.54
669,electronics,14.43,9.28,9.28,38.14,11.86,17.01
670,apple hardware,30.43,5.98,9.24,23.37,15.76,15.22
671,apple hardware,26.5,10.26,11.11,25.64,11.11,15.38
672,apple hardware,25.58,15.12,15.12,16.28,12.79,15.12
673,apple hardware,30.64,9.25,26.01,8.09,16.18,9.83
674,apple hardware,41.25,7.5,10.0,13.12,15.0,13.12
675,apple hardware,28.97,12.15,10.28,21.5,12.15,14.95
676,apple hardware,27.87,22.13,12.3,8.2,17.21,12.3
677,for sale,19.31,11.72,13.79,15.17,22.07,17.93
678,apple hardware,35.23,12.5,11.36,17.05,12.5,11.36
679,apple hardware,36.63,10.89,11.88,15.84,13.86,10.89
680,apple hardware,41.43,10.0,11.43,14.29,10.0,12.86
681,apple hardware,55.46,5.68,6.99,15.28,8.73,7.86
682,apple hardware,49.32,4.98,8.14,19.0,10.41,8.14
683,apple hardware,27.78,17.59,10.19,15.74,14.81,13.89
684,for sale,21.97,11.36,12.12,12.12,26.52,15.91
685,apple hardware,42.72,11.65,9.71,11.65,13.59,10.68
686,apple hardware,38.41,9.42,9.42,18.84,14.49,9.42
687,apple hardware,50.65,7.14,6.49,16.23,12.34,7.14
688,apple hardware,30.43,10.43,19.13,8.7,10.43,20.87
689,apple hardware,36.7,11.01,12.84,17.43,12.84,9.17
690,apple hardware,41.13,8.06,9.68,17.74,12.1,11.29
691,apple hardware,27.59,11.21,14.66,22.41,12.07,12.07
692,apple hardware,48.44,8.59,10.16,11.72,11.72,9.38
693,apple hardware,52.94,7.19,9.15,14.38,7.19,9.15
694,apple hardware,28.28,13.13,17.17,15.15,10.1,16.16
695,apple hardware,33.33,11.97,20.51,13.68,11.97,8.55
696,apple hardware,37.23,12.41,18.25,12.41,11.68,8.03
697,apple hardware,44.51,8.79,7.14,18.68,10.99,9.89
698,apple hardware,32.3,8.39,5.9,16.77,26.4,10.25
699,electronics,17.82,11.88,13.86,21.78,14.85,19.8
700,apple hardware,29.6,9.6,12.8,18.4,11.2,18.4
701,apple hardware,20.49,11.48,18.85,18.03,20.49,10.66
702,for sale,16.23,10.99,9.95,8.9,42.41,11.52
703,for sale,21.88,9.38,10.16,13.28,31.25,14.06
704,apple hardware,35.66,12.59,16.08,15.38,11.89,8.39
705,for sale,23.23,10.97,10.97,9.68,24.52,20.65
706,apple hardware,39.8,10.2,11.22,13.27,15.31,10.2
707,apple hardware,43.14,7.19,15.69,9.15,15.69,9.15
708,electronics,12.41,11.72,9.66,41.38,10.34,14.48
709,apple hardware,58.76,6.7,5.15,12.37,7.73,9.28
710,apple hardware,34.3,6.76,7.25,18.84,10.14,22.71
711,electronics,25.83,10.0,12.5,30.83,9.17,11.67
712,apple hardware,42.06,6.54,8.88,17.29,12.62,12.62
713,apple hardware,46.43,6.63,9.18,15.82,7.65,14.29
714,apple hardware,57.44,5.13,6.67,13.85,7.69,9.23
715,apple hardware,45.21,8.9,7.53,15.75,14.38,8.22
716,apple hardware,36.92,8.46,10.0,26.15,10.0,8.46
717,apple hardware,44.86,9.35,10.28,13.08,10.28,12.15
718,apple hardware,47.06,9.8,10.78,9.8,11.76,10.78
719,apple hardware,39.09,11.82,9.09,17.27,11.82,10.91
720,apple hardware,39.33,9.33,11.33,10.67,20.67,8.67
721,apple hardware,35.16,12.5,10.94,14.06,17.19,10.16
722,apple hardware,40.19,13.08,11.21,14.95,9.35,11.21
723,apple hardware,26.8,13.4,10.31,18.56,14.43,16.49
724,apple hardware,31.62,14.53,9.4,16.24,12.82,15.38
725,apple hardware,33.63,11.5,13.27,13.27,13.27,15.04
726,hockey,22.95,10.66,26.23,10.66,16.39,13.11
727,apple hardware,25.66,15.04,9.73,14.16,23.01,12.39
728,apple hardware,41.07,11.61,10.71,10.71,13.39,12.5
729,apple hardware,41.61,10.07,8.72,19.46,11.41,8.72
730,apple hardware,38.18,9.09,10.0,20.0,10.91,11.82
731,apple hardware,36.27,12.75,10.78,12.75,14.71,12.75
732,apple hardware,47.42,7.98,9.39,7.98,16.9,10.33
733,apple hardware,42.4,6.91,8.76,21.66,8.29,11.98
734,apple hardware,54.31,5.62,5.24,16.1,10.11,8.61
735,apple hardware,37.8,8.66,8.66,12.6,18.9,13.39
736,apple hardware,38.98,7.63,11.86,16.95,14.41,10.17
737,apple hardware,33.33,13.1,13.1,13.1,15.48,11.9
738,apple hardware,42.2,11.01,10.09,10.09,11.01,15.6
739,apple hardware,41.74,10.43,10.43,13.91,11.3,12.17
740,apple hardware,32.61,11.96,16.3,16.3,11.96,10.87
741,apple hardware,46.67,11.11,10.37,10.37,11.85,9.63
742,apple hardware,35.81,9.46,14.19,12.84,20.95,6.76
743,apple hardware,23.08,12.5,15.38,17.31,20.19,11.54
744,electronics,24.19,6.99,10.75,40.32,9.14,8.6
745,apple hardware,44.07,6.38,9.12,6.69,18.54,15.2
746,apple hardware,46.15,9.09,11.19,11.89,11.89,9.79
747,apple hardware,48.43,11.32,9.43,12.58,9.43,8.81
748,apple hardware,36.57,14.18,11.19,14.93,10.45,12.69
749,apple hardware,42.98,10.53,10.53,11.4,14.91,9.65
750,apple hardware,46.09,11.3,9.57,12.17,10.43,10.43
751,apple hardware,48.91,11.68,10.95,8.03,7.3,13.14
752,apple hardware,30.0,15.0,12.5,15.0,15.0,12.5
753,apple hardware,26.51,14.46,15.66,16.87,14.46,12.05
754,apple hardware,41.96,12.55,5.88,19.22,10.2,10.2
755,apple hardware,32.56,11.63,15.5,11.63,17.83,10.85
756,for sale,20.17,12.61,15.97,13.45,21.85,15.97
757,apple hardware,47.27,7.88,11.52,13.33,12.73,7.27
758,apple hardware,39.05,9.52,9.52,19.05,11.43,11.43
759,apple hardware,30.73,8.72,17.89,20.64,13.76,8.26
760,apple hardware,37.5,8.93,15.18,14.29,14.29,9.82
761,apple hardware,28.57,9.82,16.96,13.39,17.86,13.39
762,apple hardware,25.0,11.96,18.48,13.04,18.48,13.04
763,apple hardware,47.53,10.49,9.88,11.73,10.49,9.88
764,apple hardware,33.86,9.45,10.24,11.02,18.9,16.54
765,electronics,27.87,10.38,7.1,28.42,15.85,10.38
766,apple hardware,40.4,12.12,11.11,11.11,12.12,13.13
767,apple hardware,43.79,11.83,7.1,11.24,15.38,10.65
768,apple hardware,23.48,11.36,11.36,23.48,15.15,15.15
769,apple hardware,26.09,14.78,10.43,14.78,22.61,11.3
770,apple hardware,33.54,11.18,11.8,14.91,14.29,14.29
771,apple hardware,52.94,7.19,7.19,8.5,14.38,9.8
772,apple hardware,38.57,8.97,6.73,18.83,14.8,12.11
773,apple hardware,34.86,12.84,10.09,11.01,18.35,12.84
774,apple hardware,29.03,8.06,9.68,27.42,16.13,9.68
775,apple hardware,42.86,9.82,6.7,20.09,7.14,13.39
776,apple hardware,33.62,9.48,10.34,16.38,13.79,16.38
777,apple hardware,62.87,5.49,7.59,10.13,7.59,6.33
778,apple hardware,43.64,10.0,10.0,11.82,13.64,10.91
779,apple hardware,41.23,10.53,9.65,14.04,14.91,9.65
780,apple hardware,37.5,10.83,10.83,11.67,12.5,16.67
781,apple hardware,44.12,8.24,7.06,20.0,11.76,8.82
782,apple hardware,41.67,8.33,10.83,18.33,10.0,10.83
783,apple hardware,25.0,12.5,12.5,17.5,18.75,13.75
784,apple hardware,29.41,8.56,16.04,13.9,12.3,19.79
785,apple hardware,43.3,7.22,11.86,17.01,12.89,7.73
786,apple hardware,40.0,9.52,14.29,11.43,13.33,11.43
787,apple hardware,30.69,11.88,13.86,16.83,12.87,13.86
788,apple hardware,42.27,8.25,11.34,15.98,12.89,9.28
789,apple hardware,27.84,22.16,8.52,10.23,18.75,12.5
790,electronics,25.0,9.17,11.67,31.67,9.17,13.33
791,electronics,21.76,11.18,8.24,25.29,17.06,16.47
792,apple hardware,38.22,17.2,7.01,14.65,10.19,12.74
793,for sale,25.0,12.02,7.69,15.38,31.25,8.65
794,apple hardware,40.59,11.88,15.84,10.89,10.89,9.9
795,apple hardware,25.95,9.16,15.27,22.9,17.56,9.16
796,apple hardware,25.77,11.34,16.49,14.43,19.59,12.37
797,apple hardware,28.07,13.16,12.28,19.3,12.28,14.91
798,apple hardware,26.32,9.65,21.05,12.28,21.05,9.65
799,apple hardware,42.05,5.68,7.95,21.59,11.36,11.36
800,hockey,4.13,16.86,44.46,3.47,19.34,11.74
801,hockey,6.03,15.52,48.28,5.17,18.97,6.03
802,hockey,10.05,11.64,45.5,6.88,15.34,10.58
803,hockey,15.65,10.2,44.9,8.84,10.2,10.2
804,hockey,17.76,10.28,25.23,21.5,13.08,12.15
805,hockey,6.03,11.64,49.14,5.6,15.52,12.07
806,for sale,17.8,11.02,19.49,14.41,27.12,10.17
807,hockey,19.75,12.35,22.22,16.05,14.81,14.81
808,hockey,8.26,9.13,53.48,6.09,15.22,7.83
809,hockey,8.6,13.12,43.89,9.05,14.93,10.41
810,hockey,1.62,1.35,92.32,1.62,1.75,1.35
811,hockey,2.36,2.15,88.63,2.36,2.15,2.36
812,hockey,10.0,9.33,51.33,8.67,14.0,6.67
813,hockey,10.61,15.15,25.76,11.36,17.42,19.7
814,hockey,5.11,10.21,52.77,7.23,14.89,9.79
815,hockey,11.24,10.06,44.97,7.69,17.16,8.88
816,hockey,12.09,14.84,29.67,11.54,18.68,13.19
817,hockey,4.76,14.55,47.35,5.29,16.4,11.64
818,hockey,18.7,11.38,30.89,9.76,20.33,8.94
819,hockey,5.14,17.68,46.3,4.18,19.94,6.75
820,hockey,8.29,9.76,41.46,7.8,22.44,10.24
821,hockey,4.11,6.01,75.32,4.11,6.01,4.43
822,hockey,12.17,10.43,37.39,17.39,13.04,9.57
823,for sale,9.95,8.6,26.7,9.5,27.6,17.65
824,hockey,5.88,7.14,59.66,7.56,13.45,6.3
825,for sale,10.04,11.2,26.25,14.67,27.03,10.81
826,apple hardware,22.62,13.1,22.62,14.29,15.48,11.9
827,hockey,4.47,4.79,77.64,3.19,6.39,3.51
828,hockey,10.69,8.18,44.65,7.55,20.13,8.81
829,hockey,5.65,17.28,30.9,4.32,29.24,12.62
830,hockey,9.2,11.04,48.47,7.36,14.72,9.2
831,hockey,13.1,13.1,37.24,8.97,17.93,9.66
832,hockey,15.75,10.96,37.67,12.33,12.33,10.96
833,hockey,10.8,5.68,55.11,9.66,10.8,7.95
834,apple hardware,25.45,14.55,16.97,9.7,17.58,15.76
835,hockey,11.46,10.19,42.04,10.19,12.74,13.38
836,hockey,8.53,11.63,35.66,10.08,24.03,10.08
837,apple hardware,23.53,10.78,22.55,11.76,13.73,17.65
838,hockey,8.33,8.33,36.9,8.33,28.57,9.52
839,hockey,4.49,6.74,54.31,4.12,19.1,11.24
840,hockey,13.22,10.74,34.71,10.74,20.66,9.92
841,hockey,21.74,10.87,26.81,13.04,18.84,8.7
842,hockey,22.38,6.19,38.1,7.14,15.71,10.48
843,hockey,5.86,12.97,43.1,5.86,22.18,10.04
844,hockey,11.11,14.53,39.32,10.26,14.53,10.26
845,hockey,10.26,10.26,43.59,7.05,13.46,15.38
846,hockey,11.0,10.5,37.5,9.5,24.5,7.0
847,hockey,14.29,11.9,35.12,13.69,16.07,8.93
848,hockey,5.1,10.2,47.96,6.63,23.47,6.63
849,hockey,9.4,10.74,43.62,8.72,16.11,11.41
850,hockey,9.52,15.71,44.76,6.19,18.1,5.71
851,hockey,12.95,9.35,39.57,11.51,18.71,7.91
852,hockey,8.06,11.83,38.71,12.9,18.82,9.68
853,hockey,14.8,9.69,29.08,13.27,24.49,8.67
854,hockey,17.82,9.9,23.76,15.84,20.79,11.88
855,hockey,5.64,6.9,53.92,4.39,19.12,10.03
856,hockey,11.84,8.33,52.19,7.46,10.53,9.65
857,hockey,12.97,14.64,28.45,7.53,21.76,14.64
858,hockey,16.35,10.06,45.28,8.18,11.95,8.18
859,hockey,8.19,7.33,43.97,5.6,25.0,9.91
860,hockey,6.13,9.2,50.57,9.2,16.86,8.05
861,hockey,9.2,5.75,50.96,9.58,16.48,8.05
862,hockey,5.5,8.25,47.77,5.5,21.99,11.0
863,hockey,4.78,9.16,54.18,5.58,17.53,8.76
864,hockey,1.82,2.69,77.82,2.08,10.92,4.68
865,hockey,6.64,11.07,50.55,4.43,20.3,7.01
866,hockey,7.51,9.09,52.17,5.93,13.04,12.25
867,hockey,3.95,6.99,73.25,4.26,6.99,4.56
868,hockey,6.02,9.24,43.78,7.63,22.49,10.84
869,hockey,3.26,3.02,82.09,5.81,3.02,2.79
870,hockey,20.75,15.72,27.04,10.69,13.84,11.95
871,hockey,7.03,7.57,51.62,6.22,18.92,8.65
872,electronics,21.78,11.88,14.85,25.74,11.88,13.86
873,hockey,4.18,8.35,53.56,4.67,18.18,11.06
874,hockey,10.56,10.56,36.62,9.15,21.83,11.27
875,hockey,9.45,11.81,40.94,8.66,19.69,9.45
876,hockey,9.52,8.84,38.1,6.8,23.13,13.61
877,hockey,6.67,6.06,67.27,6.06,7.27,6.67
878,for sale,10.6,13.25,22.52,9.93,29.8,13.91
879,hockey,6.35,5.82,65.61,10.58,5.82,5.82
880,hockey,5.47,3.55,73.41,7.83,5.17,4.58
881,hockey,1.61,1.5,92.5,1.61,1.27,1.5
882,hockey,11.86,10.17,36.44,13.56,17.8,10.17
883,hockey,7.64,13.19,44.44,8.33,16.67,9.72
884,hockey,7.89,10.53,53.29,9.21,12.5,6.58
885,hockey,12.12,13.64,28.03,16.67,15.91,13.64
886,for sale,18.18,10.3,21.21,10.3,27.88,12.12
887,hockey,10.57,15.42,35.24,5.73,26.87,6.17
888,hockey,5.05,11.55,43.68,7.58,19.13,13.0
889,hockey,12.06,15.6,41.13,9.93,13.48,7.8
890,hockey,8.26,10.7,45.57,6.73,22.32,6.42
891,hockey,7.03,9.19,50.27,5.95,18.92,8.65
892,hockey,7.89,8.33,46.93,5.7,21.93,9.21
893,hockey,6.88,10.62,49.38,7.5,14.37,11.25
894,hockey,8.96,11.94,34.33,8.96,27.61,8.21
895,hockey,5.26,6.77,48.5,9.02,18.05,12.41
896,hockey,9.09,12.63,46.46,7.58,16.16,8.08
897,hockey,6.32,7.81,45.35,8.55,25.65,6.32
898,hockey,11.3,9.57,34.78,11.3,18.26,14.78
899,hockey,9.68,17.74,30.65,12.9,17.74,11.29
900,hockey,19.48,9.09,33.12,8.44,19.48,10.39
901,hockey,6.37,6.9,63.93,3.98,12.73,6.1
902,hockey,13.76,10.09,41.28,10.09,13.76,11.01
903,for sale,12.87,14.85,11.88,12.87,34.65,12.87
904,apple hardware,18.42,13.16,15.79,17.11,17.11,18.42
905,hockey,6.19,10.48,42.38,12.38,20.95,7.62
906,hockey,4.12,11.21,58.35,2.75,16.02,7.55
