document,actual,labeled,hockey,apple hardware,for sale,politics misc,guns,atheism
534,rec.sport.hockey,hockey,69,27,22,25,35,44
535,rec.sport.hockey,hockey,68,46,32,35,48,60
536,rec.sport.hockey,hockey,44,34,22,28,34,26
537,rec.sport.hockey,hockey,59,26,16,25,31,24
538,rec.sport.hockey,hockey,68,23,21,34,31,35
539,rec.sport.hockey,hockey,59,15,17,21,23,19
540,rec.sport.hockey,hockey,53,26,10,15,22,7
541,rec.sport.hockey,for sale,20,13,21,16,9,12
542,rec.sport.hockey,hockey,44,16,27,11,13,22
543,rec.sport.hockey,hockey,44,11,11,8,13,5
544,rec.sport.hockey,hockey,37,23,22,19,20,25
545,rec.sport.hockey,hockey,36,15,11,18,15,17
546,rec.sport.hockey,hockey,46,29,21,23,31,33
547,rec.sport.hockey,hockey,81,51,30,41,65,65
548,rec.sport.hockey,hockey,50,25,21,23,21,34
549,rec.sport.hockey,hockey,164,73,44,63,90,105
550,rec.sport.hockey,hockey,63,34,16,22,26,12
551,rec.sport.hockey,hockey,169,97,56,76,104,117
552,rec.sport.hockey,hockey,86,35,33,36,40,36
553,rec.sport.hockey,hockey,60,29,25,33,30,29
554,rec.sport.hockey,hockey,173,97,40,38,79,77
555,rec.sport.hockey,hockey,135,57,38,69,60,98
556,rec.sport.hockey,hockey,69,38,20,32,18,34
557,rec.sport.hockey,hockey,106,68,47,41,47,64
558,rec.sport.hockey,hockey,69,30,32,28,29,25
559,rec.sport.hockey,hockey,74,26,22,26,40,41
560,rec.sport.hockey,hockey,87,18,15,24,30,16
561,rec.sport.hockey,hockey,25,24,22,22,25,24
562,rec.sport.hockey,hockey,186,60,39,48,82,75
563,rec.sport.hockey,hockey,74,19,21,40,31,36
564,rec.sport.hockey,hockey,34,23,22,21,18,20
565,rec.sport.hockey,hockey,134,12,29,17,14,9
566,rec.sport.hockey,hockey,77,38,39,37,54,66
567,rec.sport.hockey,hockey,37,14,21,26,15,13
568,rec.sport.hockey,hockey,47,35,23,31,34,43
569,rec.sport.hockey,hockey,26,15,14,23,20,23
570,rec.sport.hockey,hockey,58,22,21,30,25,43
571,rec.sport.hockey,hockey,113,40,32,55,44,53
572,rec.sport.hockey,hockey,60,32,15,37,38,31
573,rec.sport.hockey,hockey,18,16,15,13,13,13
574,rec.sport.hockey,hockey,81,31,38,24,33,37
575,rec.sport.hockey,hockey,96,38,33,56,47,56
576,rec.sport.hockey,hockey,38,16,16,13,9,15
577,rec.sport.hockey,hockey,23,15,9,19,12,8
578,rec.sport.hockey,hockey,22,9,7,8,5,7
579,rec.sport.hockey,hockey,29,20,20,18,12,18
580,rec.sport.hockey,hockey,39,20,15,14,21,18
581,rec.sport.hockey,hockey,61,21,20,23,37,30
582,rec.sport.hockey,hockey,64,37,35,20,29,19
583,rec.sport.hockey,hockey,550,145,120,126,202,205
584,rec.sport.hockey,hockey,152,66,38,43,75,63
585,rec.sport.hockey,hockey,144,47,61,28,48,18
586,rec.sport.hockey,hockey,73,27,14,15,19,14
587,rec.sport.hockey,hockey,165,78,49,54,85,72
588,rec.sport.hockey,hockey,37,12,12,10,3,13
589,rec.sport.hockey,hockey,85,44,50,53,45,50
590,rec.sport.hockey,hockey,61,16,15,16,33,38
591,rec.sport.hockey,hockey,81,36,40,23,12,26
592,rec.sport.hockey,hockey,44,25,30,17,28,29
593,rec.sport.hockey,hockey,77,15,15,17,31,33
594,rec.sport.hockey,hockey,31,21,19,12,17,9
595,rec.sport.hockey,hockey,24,13,14,17,16,14
596,rec.sport.hockey,apple hardware,25,40,32,28,25,28
597,rec.sport.hockey,hockey,61,47,32,36,29,52
598,rec.sport.hockey,for sale,21,20,23,22,22,21
599,rec.sport.hockey,hockey,58,21,21,26,27,28
600,talk.politics.guns,guns,30,21,24,20,156,53
601,talk.politics.guns,guns,127,113,79,95,711,212
602,talk.politics.guns,guns,41,34,31,23,155,38
603,talk.politics.guns,guns,270,293,160,176,1586,549
604,talk.politics.guns,guns,35,43,29,25,145,43
605,talk.politics.guns,for sale,15,10,21,17,17,16
606,talk.politics.guns,guns,40,30,32,55,213,83
607,talk.politics.guns,for sale,7,9,16,14,13,4
608,talk.politics.guns,politics misc,42,56,26,105,68,77
609,talk.politics.guns,guns,20,26,24,35,54,42
610,talk.politics.guns,guns,16,25,36,32,60,43
611,talk.politics.guns,politics misc,14,28,23,51,50,32
612,talk.politics.guns,guns,36,31,22,42,70,39
613,talk.politics.guns,politics misc,15,19,23,29,23,18
614,talk.politics.guns,guns,10,8,18,22,23,22
615,talk.politics.guns,guns,18,13,21,22,47,14
616,talk.politics.guns,politics misc,20,22,13,68,34,49
617,talk.politics.guns,guns,30,31,34,36,126,44
618,talk.politics.guns,politics misc,28,30,14,58,52,44
619,talk.politics.guns,guns,48,56,35,31,179,60
620,talk.politics.guns,politics misc,36,45,33,83,28,31
621,talk.politics.guns,apple hardware,12,25,7,13,10,14
622,talk.politics.guns,guns,40,36,27,43,263,86
623,talk.politics.guns,guns,45,39,47,43,93,83
624,talk.politics.guns,atheism,24,36,24,43,66,70
625,talk.politics.guns,guns,23,24,18,38,99,68
626,talk.politics.guns,guns,48,52,34,40,257,107
627,talk.politics.guns,guns,54,44,33,49,207,76
628,talk.politics.guns,guns,25,20,21,20,118,36
629,talk.politics.guns,guns,80,98,87,84,228,166
630,talk.politics.guns,politics misc,16,21,20,43,40,18
631,talk.politics.guns,guns,24,15,20,19,110,32
632,talk.politics.guns,guns,38,31,31,27,163,53
633,talk.politics.guns,guns,77,85,46,86,202,126
634,talk.politics.guns,politics misc,22,20,28,57,46,28
635,talk.politics.guns,guns,19,25,26,48,72,47
636,talk.politics.guns,guns,13,15,20,35,47,28
637,talk.politics.guns,politics misc,15,37,26,58,36,28
638,talk.politics.guns,guns,36,31,47,61,108,42
639,talk.politics.guns,guns,35,72,39,51,118,65
640,talk.politics.guns,guns,22,27,26,39,50,27
641,talk.politics.guns,guns,28,30,21,29,82,40
642,talk.politics.guns,guns,19,24,16,26,63,24
643,talk.politics.guns,guns,25,53,51,54,104,70
644,talk.politics.guns,guns,23,31,18,29,112,41
645,talk.politics.guns,guns,54,63,35,65,182,104
646,talk.politics.guns,guns,40,64,41,38,134,78
647,talk.politics.guns,guns,32,38,37,44,47,29
648,talk.politics.guns,guns,15,19,25,24,33,13
649,talk.politics.guns,politics misc,16,29,30,60,49,35
650,talk.politics.guns,guns,14,22,23,19,29,19
651,talk.politics.guns,atheism,52,50,36,42,48,67
652,talk.politics.guns,for sale,20,31,53,34,35,40
653,talk.politics.guns,guns,63,51,52,49,238,92
654,talk.politics.guns,guns,28,21,19,28,111,39
655,talk.politics.guns,guns,128,97,78,137,438,109
656,talk.politics.guns,for sale,35,49,78,56,72,74
657,talk.politics.guns,guns,34,37,36,31,195,65
658,talk.politics.guns,guns,42,48,32,36,184,70
659,talk.politics.guns,guns,65,63,45,61,247,134
660,talk.politics.guns,guns,61,54,82,98,266,96
661,talk.politics.guns,guns,34,38,38,36,86,51
662,talk.politics.guns,guns,21,11,20,20,89,31
663,talk.politics.guns,guns,45,28,21,27,132,53
664,talk.politics.guns,politics misc,25,35,32,91,54,41
665,talk.politics.guns,politics misc,40,39,39,121,56,65
666,talk.politics.guns,guns,25,29,20,14,73,31
667,talk.politics.guns,atheism,47,48,38,53,93,94
668,talk.politics.guns,guns,35,53,22,22,102,40
669,talk.politics.guns,guns,18,18,9,19,33,15
670,talk.politics.guns,guns,21,15,14,16,76,18
671,talk.politics.guns,guns,34,30,20,37,95,41
672,talk.politics.guns,guns,64,70,43,83,302,156
673,talk.politics.guns,guns,19,29,33,42,59,29
674,talk.politics.guns,guns,58,55,41,52,189,96
675,talk.politics.guns,atheism,110,115,71,120,372,380
676,talk.politics.guns,guns,27,41,26,29,134,45
677,talk.politics.guns,guns,88,86,69,69,204,197
678,talk.politics.guns,guns,97,106,62,78,365,187
679,talk.politics.guns,guns,18,15,20,24,84,33
680,talk.politics.guns,guns,37,32,33,49,163,61
681,talk.politics.guns,guns,63,83,56,69,257,109
682,talk.politics.guns,guns,24,21,31,39,90,47
683,talk.politics.guns,guns,64,92,63,79,274,162
684,talk.politics.guns,apple hardware,13,27,23,21,20,15
685,talk.politics.guns,guns,103,85,50,74,286,156
686,talk.politics.guns,guns,80,78,47,69,250,143
687,talk.politics.guns,guns,21,18,13,12,58,28
688,talk.politics.guns,guns,70,69,25,63,173,118
689,talk.politics.guns,hockey,41,29,23,16,38,36
690,talk.politics.guns,guns,120,137,99,110,331,246
691,talk.politics.guns,guns,16,19,16,24,50,22
692,talk.politics.guns,guns,36,53,40,40,128,106
693,talk.politics.guns,guns,81,101,45,119,269,233
694,talk.politics.guns,politics misc,8,9,13,34,33,24
695,talk.politics.guns,guns,19,30,27,20,88,32
696,talk.politics.guns,guns,23,26,25,43,114,51
697,talk.politics.guns,guns,66,67,45,73,200,154
698,talk.politics.guns,for sale,15,33,54,19,25,28
699,talk.politics.guns,for sale,30,23,70,23,44,32
700,talk.politics.guns,for sale,17,23,42,15,33,28
701,talk.politics.guns,guns,29,41,28,36,85,44
702,talk.politics.guns,guns,42,53,50,54,124,90
703,talk.politics.guns,guns,15,19,26,15,30,13
704,talk.politics.guns,guns,81,65,53,40,109,74
705,talk.politics.guns,guns,55,48,33,47,175,94
706,talk.politics.guns,guns,24,30,27,30,58,34
707,talk.politics.guns,guns,42,35,41,34,104,57
708,talk.politics.guns,guns,18,23,13,27,58,35
709,talk.politics.guns,guns,24,21,27,23,38,28
710,talk.politics.guns,guns,117,127,80,102,255,211
711,talk.politics.guns,guns,16,23,11,31,37,31
712,talk.politics.guns,guns,53,68,49,77,155,137
713,talk.politics.guns,guns,42,46,40,37,99,95
714,talk.politics.guns,apple hardware,19,24,11,17,23,23
715,talk.politics.guns,guns,23,26,14,15,28,17
716,talk.politics.guns,guns,10,13,16,17,31,13
717,talk.politics.guns,guns,58,65,53,75,156,127
718,talk.politics.guns,guns,50,64,47,69,120,94
719,talk.politics.guns,guns,37,34,28,46,66,58
720,talk.politics.guns,guns,32,32,19,29,81,60
721,talk.politics.guns,guns,40,51,27,42,94,71
722,talk.politics.guns,guns,109,131,70,82,246,192
723,talk.politics.guns,guns,35,42,21,32,93,78
724,talk.politics.guns,guns,27,34,44,48,68,49
725,talk.politics.guns,atheism,74,73,52,68,106,116
726,talk.politics.guns,guns,14,17,26,20,38,20
727,talk.politics.guns,guns,43,51,33,54,130,98
728,talk.politics.guns,guns,113,107,71,77,202,150
729,talk.politics.guns,guns,46,54,50,74,146,93
730,talk.politics.guns,politics misc,18,22,19,31,27,25
731,talk.politics.guns,guns,34,37,19,36,68,61
732,talk.politics.guns,atheism,53,48,28,50,80,95
733,talk.politics.guns,atheism,70,80,87,82,143,145
734,talk.politics.guns,guns,43,52,59,45,72,66
735,talk.politics.guns,guns,28,32,27,31,95,62
736,talk.politics.guns,guns,25,35,19,31,52,43
737,talk.politics.guns,guns,18,18,16,14,33,22
738,talk.politics.guns,guns,79,73,50,85,138,120
739,talk.politics.guns,guns,39,50,24,40,92,72
740,talk.politics.guns,guns,70,84,50,86,228,157
741,talk.politics.guns,guns,35,33,27,32,92,50
742,talk.politics.guns,guns,92,86,39,66,170,145
743,talk.politics.guns,guns,36,37,27,34,106,64
744,talk.politics.guns,guns,124,129,81,112,331,228
745,talk.politics.guns,guns,28,31,23,31,97,73
746,talk.politics.guns,guns,17,22,8,14,32,16
747,talk.politics.guns,guns,77,93,56,81,157,157
748,talk.politics.guns,atheism,61,66,36,56,94,97
749,talk.politics.guns,guns,48,35,24,37,87,68
750,talk.politics.guns,atheism,87,61,42,81,115,126
751,talk.politics.guns,atheism,44,43,34,71,47,75
752,talk.politics.guns,guns,39,35,33,43,91,70
753,talk.politics.guns,guns,16,24,16,24,36,22
754,talk.politics.guns,atheism,18,18,21,17,20,24
755,talk.politics.guns,atheism,32,50,28,29,57,61
756,talk.politics.guns,guns,65,77,43,53,143,101
757,talk.politics.guns,guns,28,32,22,28,95,51
758,talk.politics.guns,guns,32,37,16,41,57,35
759,talk.politics.guns,guns,52,43,29,44,97,67
760,talk.politics.guns,guns,52,51,39,44,124,75
761,talk.politics.guns,guns,139,113,86,116,177,156
762,talk.politics.guns,guns,41,36,42,44,84,49
763,talk.politics.guns,guns,14,31,44,32,63,48
764,talk.politics.guns,guns,18,17,10,12,61,23
765,talk.politics.guns,atheism,54,56,34,64,95,99
766,talk.politics.guns,guns,211,306,377,246,838,476
767,talk.politics.guns,atheism,72,84,41,77,145,161
768,talk.politics.guns,guns,59,52,64,39,139,78
769,talk.politics.guns,guns,16,9,10,8,23,22
770,talk.politics.guns,atheism,53,72,62,69,80,87
771,talk.politics.guns,guns,20,43,38,51,86,48
772,talk.politics.guns,guns,70,80,49,69,166,141
773,talk.politics.guns,guns,40,45,26,46,77,67
774,talk.politics.guns,for sale,20,19,36,18,25,18
775,talk.politics.guns,atheism,34,41,28,52,60,63
776,talk.politics.guns,guns,33,29,31,40,52,36
777,talk.politics.guns,guns,32,47,32,50,85,71
778,talk.politics.guns,guns,51,39,27,31,92,65
779,talk.politics.guns,guns,146,170,94,174,347,292
780,talk.politics.guns,atheism,42,71,54,43,84,102
781,talk.politics.guns,guns,209,263,139,190,646,423
782,talk.politics.guns,guns,17,28,49,31,57,45
783,talk.politics.guns,for sale,7,14,38,15,21,17
784,talk.politics.guns,guns,39,35,52,35,89,53
785,talk.politics.guns,guns,34,38,41,33,56,49
786,talk.politics.guns,guns,11,22,14,29,34,23
787,talk.politics.guns,guns,43,58,39,42,105,72
788,talk.politics.guns,guns,21,32,24,30,46,40
789,talk.politics.guns,guns,67,64,41,36,107,78
790,talk.politics.guns,guns,27,28,30,29,90,47
791,talk.politics.guns,guns,42,58,48,50,132,72
792,talk.politics.guns,guns,27,38,19,29,59,53
793,talk.politics.guns,apple hardware,13,27,16,15,25,17
794,talk.politics.guns,politics misc,29,41,22,62,55,56
795,talk.politics.guns,guns,30,50,29,35,111,64
796,talk.politics.guns,guns,51,58,44,68,136,123
797,talk.politics.guns,guns,50,31,44,28,54,48
798,talk.politics.guns,guns,54,65,49,63,112,95
799,talk.politics.guns,guns,23,26,27,41,58,45
800,comp.sys.mac.hardware,apple hardware,26,113,23,27,33,55
801,comp.sys.mac.hardware,for sale,15,27,38,24,29,30
802,comp.sys.mac.hardware,for sale,10,24,47,23,15,26
803,comp.sys.mac.hardware,apple hardware,24,47,33,15,16,25
804,comp.sys.mac.hardware,apple hardware,20,85,22,25,29,33
805,comp.sys.mac.hardware,apple hardware,5,21,15,13,16,13
806,comp.sys.mac.hardware,apple hardware,16,38,24,27,18,14
807,comp.sys.mac.hardware,apple hardware,16,45,27,22,15,15
808,comp.sys.mac.hardware,apple hardware,7,15,12,13,3,8
809,comp.sys.mac.hardware,apple hardware,18,84,19,16,20,35
810,comp.sys.mac.hardware,apple hardware,13,45,21,9,14,21
811,comp.sys.mac.hardware,apple hardware,28,39,24,10,23,17
812,comp.sys.mac.hardware,apple hardware,9,49,10,10,15,16
813,comp.sys.mac.hardware,apple hardware,26,97,29,40,40,57
814,comp.sys.mac.hardware,apple hardware,14,17,13,11,14,11
815,comp.sys.mac.hardware,for sale,9,15,22,10,4,5
816,comp.sys.mac.hardware,apple hardware,28,115,50,30,41,54
817,comp.sys.mac.hardware,apple hardware,32,62,37,28,27,41
818,comp.sys.mac.hardware,apple hardware,88,200,66,52,94,120
819,comp.sys.mac.hardware,for sale,7,14,20,11,6,3
820,comp.sys.mac.hardware,atheism,26,36,31,34,49,72
821,comp.sys.mac.hardware,for sale,9,27,29,17,13,14
822,comp.sys.mac.hardware,apple hardware,12,59,27,26,23,20
823,comp.sys.mac.hardware,apple hardware,5,35,6,10,8,4
824,comp.sys.mac.hardware,apple hardware,35,108,29,38,53,45
825,comp.sys.mac.hardware,apple hardware,16,35,12,16,14,10
826,comp.sys.mac.hardware,for sale,11,20,30,6,9,17
827,comp.sys.mac.hardware,apple hardware,20,97,23,26,35,44
828,comp.sys.mac.hardware,apple hardware,12,46,36,20,12,19
829,comp.sys.mac.hardware,for sale,13,54,69,12,19,14
830,comp.sys.mac.hardware,for sale,23,41,44,26,19,25
831,comp.sys.mac.hardware,apple hardware,13,27,21,14,11,6
832,comp.sys.mac.hardware,apple hardware,17,68,18,26,28,22
833,comp.sys.mac.hardware,apple hardware,21,65,49,30,18,35
834,comp.sys.mac.hardware,apple hardware,23,88,34,27,24,38
835,comp.sys.mac.hardware,apple hardware,6,31,18,10,8,16
836,comp.sys.mac.hardware,apple hardware,17,83,31,20,22,26
837,comp.sys.mac.hardware,apple hardware,15,22,11,7,9,5
838,comp.sys.mac.hardware,apple hardware,24,36,16,14,21,18
839,comp.sys.mac.hardware,apple hardware,27,66,20,26,34,49
840,comp.sys.mac.hardware,apple hardware,6,25,14,6,6,6
841,comp.sys.mac.hardware,apple hardware,33,66,51,41,36,32
842,comp.sys.mac.hardware,apple hardware,20,80,34,23,31,32
843,comp.sys.mac.hardware,apple hardware,37,69,32,56,68,53
844,comp.sys.mac.hardware,for sale,16,48,62,25,40,40
845,comp.sys.mac.hardware,for sale,11,30,57,9,19,14
846,comp.sys.mac.hardware,apple hardware,26,105,28,23,34,44
847,comp.sys.mac.hardware,apple hardware,23,172,32,28,35,52
848,comp.sys.mac.hardware,for sale,17,32,44,14,22,20
849,comp.sys.mac.hardware,apple hardware,14,27,19,10,13,14
850,comp.sys.mac.hardware,apple hardware,16,36,17,29,13,7
851,comp.sys.mac.hardware,for sale,10,37,49,18,17,16
852,comp.sys.mac.hardware,for sale,14,17,25,14,21,19
853,comp.sys.mac.hardware,apple hardware,23,64,26,23,44,25
854,comp.sys.mac.hardware,apple hardware,19,23,18,23,17,17
855,comp.sys.mac.hardware,apple hardware,28,79,33,23,27,42
856,comp.sys.mac.hardware,apple hardware,25,67,13,10,29,22
857,comp.sys.mac.hardware,for sale,10,29,31,16,12,15
858,comp.sys.mac.hardware,apple hardware,12,28,25,9,12,8
859,comp.sys.mac.hardware,guns,27,40,33,22,41,21
860,comp.sys.mac.hardware,apple hardware,32,87,43,30,39,54
861,comp.sys.mac.hardware,apple hardware,28,72,31,30,36,44
862,comp.sys.mac.hardware,apple hardware,14,31,26,16,11,16
863,comp.sys.mac.hardware,apple hardware,16,48,25,13,17,18
864,comp.sys.mac.hardware,apple hardware,69,166,65,55,88,109
865,comp.sys.mac.hardware,for sale,7,23,30,28,10,12
866,comp.sys.mac.hardware,apple hardware,27,75,45,27,28,28
867,comp.sys.mac.hardware,apple hardware,23,37,31,35,22,35
868,comp.sys.mac.hardware,for sale,14,40,88,13,24,27
869,comp.sys.mac.hardware,apple hardware,9,31,28,6,9,6
870,comp.sys.mac.hardware,apple hardware,33,98,57,44,45,58
871,comp.sys.mac.hardware,apple hardware,17,59,33,26,21,24
872,comp.sys.mac.hardware,apple hardware,9,47,19,16,19,15
873,comp.sys.mac.hardware,apple hardware,20,54,27,29,20,28
874,comp.sys.mac.hardware,apple hardware,47,94,58,42,63,88
875,comp.sys.mac.hardware,politics misc,8,18,26,36,12,10
876,comp.sys.mac.hardware,guns,10,26,26,12,28,12
877,comp.sys.mac.hardware,apple hardware,26,60,60,43,35,44
878,comp.sys.mac.hardware,apple hardware,15,63,25,27,21,25
879,comp.sys.mac.hardware,apple hardware,25,81,34,21,29,31
880,comp.sys.mac.hardware,hockey,40,33,22,31,24,32
881,comp.sys.mac.hardware,for sale,9,33,34,17,12,17
882,comp.sys.mac.hardware,for sale,24,47,48,27,30,32
883,comp.sys.mac.hardware,apple hardware,50,238,32,51,52,81
884,comp.sys.mac.hardware,apple hardware,50,238,32,51,52,81
885,comp.sys.mac.hardware,apple hardware,37,51,37,21,30,32
886,comp.sys.mac.hardware,apple hardware,25,106,59,29,31,45
887,comp.sys.mac.hardware,apple hardware,28,44,20,23,19,17
888,comp.sys.mac.hardware,hockey,42,36,23,22,25,23
889,comp.sys.mac.hardware,apple hardware,36,125,35,43,53,64
890,comp.sys.mac.hardware,apple hardware,7,51,14,17,11,13
891,comp.sys.mac.hardware,for sale,5,17,42,9,8,9
892,comp.sys.mac.hardware,apple hardware,20,66,40,27,33,35
893,comp.sys.mac.hardware,politics misc,12,38,38,45,24,22
894,comp.sys.mac.hardware,apple hardware,21,43,24,39,21,21
895,comp.sys.mac.hardware,apple hardware,32,70,38,24,21,32
896,comp.sys.mac.hardware,for sale,68,154,236,82,102,108
897,comp.sys.mac.hardware,for sale,7,29,62,17,18,16
898,comp.sys.mac.hardware,apple hardware,15,78,31,19,26,35
899,comp.sys.mac.hardware,apple hardware,39,156,31,20,59,34
900,comp.sys.mac.hardware,apple hardware,32,65,35,35,34,46
901,comp.sys.mac.hardware,for sale,8,22,27,12,17,18
902,comp.sys.mac.hardware,apple hardware,22,28,13,12,17,19
903,comp.sys.mac.hardware,apple hardware,19,46,21,21,21,30
904,comp.sys.mac.hardware,apple hardware,26,27,18,11,14,5
905,comp.sys.mac.hardware,apple hardware,38,67,37,32,34,52
906,comp.sys.mac.hardware,for sale,16,43,70,26,30,33
907,comp.sys.mac.hardware,apple hardware,34,62,54,38,42,40
908,comp.sys.mac.hardware,apple hardware,9,24,11,10,9,10
909,comp.sys.mac.hardware,for sale,25,79,104,24,41,47
910,comp.sys.mac.hardware,apple hardware,37,70,35,38,33,58
911,comp.sys.mac.hardware,apple hardware,15,20,15,18,6,9
912,comp.sys.mac.hardware,apple hardware,13,35,20,24,15,22
913,comp.sys.mac.hardware,apple hardware,39,54,33,35,29,45
914,comp.sys.mac.hardware,apple hardware,19,65,28,22,33,39
915,comp.sys.mac.hardware,apple hardware,19,49,41,16,22,31
916,comp.sys.mac.hardware,apple hardware,14,36,26,28,18,22
917,comp.sys.mac.hardware,apple hardware,27,51,38,29,26,32
918,comp.sys.mac.hardware,apple hardware,30,45,32,43,33,36
919,comp.sys.mac.hardware,apple hardware,20,59,32,31,17,24
920,comp.sys.mac.hardware,apple hardware,35,94,57,39,46,62
921,comp.sys.mac.hardware,apple hardware,16,50,24,27,33,34
922,comp.sys.mac.hardware,apple hardware,2,16,12,8,8,5
923,comp.sys.mac.hardware,apple hardware,29,54,26,27,31,48
924,comp.sys.mac.hardware,apple hardware,43,110,58,37,50,55
925,comp.sys.mac.hardware,apple hardware,22,38,33,27,32,30
926,comp.sys.mac.hardware,apple hardware,8,15,13,13,10,3
927,comp.sys.mac.hardware,atheism,25,47,43,30,43,50
928,comp.sys.mac.hardware,apple hardware,20,31,20,20,26,25
929,comp.sys.mac.hardware,apple hardware,24,63,26,28,34,34
930,comp.sys.mac.hardware,guns,23,23,23,20,35,23
931,comp.sys.mac.hardware,for sale,7,15,16,8,11,5
932,comp.sys.mac.hardware,apple hardware,23,55,20,38,26,30
933,comp.sys.mac.hardware,for sale,22,43,52,24,29,29
934,comp.sys.mac.hardware,for sale,12,16,18,11,8,13
935,comp.sys.mac.hardware,hockey,13,12,12,12,9,7
936,comp.sys.mac.hardware,apple hardware,17,44,22,19,24,24
937,comp.sys.mac.hardware,apple hardware,9,18,18,11,13,13
938,comp.sys.mac.hardware,apple hardware,24,48,25,21,26,25
939,comp.sys.mac.hardware,apple hardware,11,15,12,14,7,13
940,comp.sys.mac.hardware,for sale,11,14,19,10,7,7
941,comp.sys.mac.hardware,apple hardware,25,56,23,26,24,28
942,comp.sys.mac.hardware,apple hardware,3,15,9,5,3,2
943,comp.sys.mac.hardware,apple hardware,11,20,13,11,11,13
944,comp.sys.mac.hardware,apple hardware,16,63,24,17,33,29
945,comp.sys.mac.hardware,apple hardware,28,50,41,23,38,44
946,comp.sys.mac.hardware,apple hardware,26,47,38,21,27,27
947,comp.sys.mac.hardware,apple hardware,21,61,29,22,29,30
948,comp.sys.mac.hardware,apple hardware,38,60,54,30,33,48
949,comp.sys.mac.hardware,for sale,19,46,51,17,20,26
950,comp.sys.mac.hardware,for sale,8,14,25,13,12,7
951,comp.sys.mac.hardware,apple hardware,19,59,22,16,40,23
952,comp.sys.mac.hardware,apple hardware,10,36,25,24,18,23
953,comp.sys.mac.hardware,apple hardware,22,68,35,27,54,55
954,comp.sys.mac.hardware,apple hardware,18,48,28,26,23,37
955,comp.sys.mac.hardware,apple hardware,13,25,18,15,14,20
956,comp.sys.mac.hardware,apple hardware,10,33,25,10,16,29
957,comp.sys.mac.hardware,apple hardware,6,7,7,7,2,5
958,comp.sys.mac.hardware,apple hardware,38,64,49,40,44,51
959,comp.sys.mac.hardware,for sale,20,21,26,13,13,6
960,comp.sys.mac.hardware,apple hardware,8,19,19,10,13,7
961,comp.sys.mac.hardware,apple hardware,20,38,21,23,24,24
962,comp.sys.mac.hardware,apple hardware,20,63,30,26,34,31
963,comp.sys.mac.hardware,apple hardware,11,30,21,12,13,11
964,comp.sys.mac.hardware,for sale,11,16,18,12,12,13
965,comp.sys.mac.hardware,for sale,15,22,24,12,19,22
966,comp.sys.mac.hardware,apple hardware,4,17,12,7,7,12
967,comp.sys.mac.hardware,apple hardware,18,39,29,25,24,25
968,comp.sys.mac.hardware,for sale,14,19,28,11,16,19
969,comp.sys.mac.hardware,apple hardware,9,30,22,17,20,26
970,comp.sys.mac.hardware,apple hardware,23,40,36,17,24,30
971,comp.sys.mac.hardware,apple hardware,26,68,22,35,24,37
972,comp.sys.mac.hardware,politics misc,15,19,16,20,13,16
973,comp.sys.mac.hardware,apple hardware,6,23,12,6,7,4
974,comp.sys.mac.hardware,for sale,19,25,30,19,24,22
975,comp.sys.mac.hardware,for sale,12,16,17,9,9,14
976,comp.sys.mac.hardware,apple hardware,3,6,4,3,5,3
977,comp.sys.mac.hardware,for sale,5,18,20,12,7,6
978,comp.sys.mac.hardware,apple hardware,15,39,36,31,22,31
979,comp.sys.mac.hardware,apple hardware,16,50,27,18,13,13
980,comp.sys.mac.hardware,apple hardware,24,35,30,25,20,27
981,comp.sys.mac.hardware,apple hardware,6,19,10,12,10,13
982,comp.sys.mac.hardware,apple hardware,35,87,63,52,44,57
983,comp.sys.mac.hardware,apple hardware,14,46,37,22,22,29
984,comp.sys.mac.hardware,apple hardware,19,29,29,13,21,15
985,comp.sys.mac.hardware,apple hardware,39,81,35,34,36,48
986,comp.sys.mac.hardware,apple hardware,38,81,34,37,39,56
987,comp.sys.mac.hardware,apple hardware,36,74,56,43,52,53
988,comp.sys.mac.hardware,for sale,12,12,23,15,8,11
989,comp.sys.mac.hardware,for sale,10,13,21,14,5,6
990,comp.sys.mac.hardware,for sale,14,17,21,19,7,13
991,comp.sys.mac.hardware,apple hardware,7,29,16,9,9,6
992,comp.sys.mac.hardware,apple hardware,29,58,51,37,38,41
993,comp.sys.mac.hardware,apple hardware,29,63,47,24,36,42
994,comp.sys.mac.hardware,apple hardware,13,32,10,17,9,18
995,comp.sys.mac.hardware,apple hardware,22,35,25,21,30,15
996,comp.sys.mac.hardware,apple hardware,42,63,50,34,60,56
997,comp.sys.mac.hardware,for sale,12,23,27,18,10,18
998,comp.sys.mac.hardware,atheism,55,86,50,58,73,95
999,comp.sys.mac.hardware,apple hardware,27,90,45,40,43,60
1000,sci.electronics,apple hardware,22,85,62,31,43,46
1001,sci.electronics,for sale,100,74,382,30,85,48
1002,sci.electronics,apple hardware,42,156,60,69,53,92
1003,sci.electronics,for sale,10,16,27,16,9,9
1004,sci.electronics,for sale,13,20,36,14,11,7
1005,sci.electronics,politics misc,18,27,18,100,18,27
1006,sci.electronics,politics misc,12,17,7,25,8,4
1007,sci.electronics,apple hardware,31,167,40,44,48,37
1008,sci.electronics,apple hardware,24,63,41,17,19,20
1009,sci.electronics,apple hardware,17,109,34,21,40,31
1010,sci.electronics,politics misc,13,23,21,47,28,20
1011,sci.electronics,politics misc,6,21,15,27,11,13
