document,actual,for sale,guns,atheism,electronics,apple hardware,religion misc
454,religion misc,8.28,12.1,10.83,11.46,8.28,49.04
455,religion misc,8.28,15.17,15.17,11.03,8.28,42.07
456,religion misc,9.26,10.19,13.89,10.19,18.52,37.96
457,religion misc,10.0,9.41,10.59,9.41,11.76,48.82
458,religion misc,9.92,9.92,23.66,11.45,13.74,31.3
459,atheism,4.23,10.92,44.72,10.21,4.23,25.7
460,atheism,11.01,18.35,22.02,13.76,12.84,22.02
461,atheism,7.17,12.45,43.4,16.6,9.43,10.94
462,atheism,5.63,16.88,44.16,9.96,3.9,19.48
463,religion misc,10.19,15.53,12.14,12.62,6.8,42.72
464,religion misc,2.73,6.83,11.62,12.3,4.78,61.73
465,religion misc,7.91,15.25,11.86,8.47,9.6,46.89
466,religion misc,4.4,9.75,9.12,8.18,5.35,63.21
467,religion misc,8.04,17.09,23.12,10.05,14.07,27.64
468,guns,5.56,31.94,22.22,8.8,12.04,19.44
469,religion misc,6.37,13.48,25.84,7.49,9.36,37.45
470,religion misc,7.05,11.45,16.3,8.81,7.05,49.34
471,religion misc,9.33,14.0,17.33,12.0,18.67,28.67
472,religion misc,12.57,12.57,18.86,9.71,13.14,33.14
473,religion misc,9.01,11.71,13.51,14.41,23.42,27.93
474,religion misc,12.1,10.48,13.71,12.1,12.1,39.52
475,religion misc,9.09,20.13,12.99,9.74,12.34,35.71
476,religion misc,9.22,9.93,26.24,10.64,15.6,28.37
477,atheism,11.11,14.38,27.45,11.11,8.5,27.45
478,atheism,10.27,10.96,32.19,10.27,10.96,25.34
479,atheism,13.27,12.24,29.59,11.22,13.27,20.41
480,for sale,27.62,11.43,11.43,18.1,19.05,12.38
481,apple hardware,17.97,13.28,11.72,15.62,32.03,9.38
482,for sale,34.78,13.04,8.7,13.04,14.78,15.65
483,apple hardware,10.48,10.48,12.1,14.52,38.71,13.71
484,apple hardware,11.11,9.15,9.15,12.42,49.02,9.15
485,apple hardware,15.29,11.76,11.76,12.94,29.41,18.82
486,apple hardware,18.1,12.38,11.43,14.29,27.62,16.19
487,apple hardware,10.0,20.0,14.37,16.25,29.38,10.0
488,for sale,32.73,15.76,9.7,12.73,18.79,10.3
489,for sale,47.48,8.22,4.51,22.55,12.73,4.51
490,for sale,21.95,17.89,13.82,14.63,20.33,11.38
491,apple hardware,13.16,13.16,11.4,10.53,35.09,16.67
492,apple hardware,20.35,13.27,9.73,15.93,30.97,9.73
493,apple hardware,20.62,10.31,10.31,11.34,34.02,13.4
494,apple hardware,12.35,13.53,9.41,17.65,37.65,9.41
495,apple hardware,11.39,6.05,6.41,7.12,63.7,5.34
496,apple hardware,22.27,9.48,6.64,19.91,33.65,8.06
497,apple hardware,22.6,8.22,12.33,19.86,28.77,8.22
498,for sale,36.96,11.96,11.96,10.87,16.3,11.96
499,apple hardware,23.87,11.61,6.45,13.55,32.26,12.26
500,apple hardware,14.66,11.21,12.93,12.07,37.93,11.21
501,apple hardware,14.58,10.42,11.46,17.71,35.42,10.42
502,apple hardware,20.35,11.63,8.72,13.08,40.7,5.52
503,guns,12.84,28.38,12.84,18.92,17.57,9.46
504,for sale,33.98,12.62,9.71,10.68,20.39,12.62
505,apple hardware,3.31,16.03,17.36,11.07,46.28,5.95
506,apple hardware,8.62,7.76,16.38,9.48,46.98,10.78
507,apple hardware,7.94,14.29,13.23,13.23,37.57,13.76
508,apple hardware,13.61,10.2,11.56,6.8,48.98,8.84
509,apple hardware,14.02,10.28,10.28,23.36,29.91,12.15
510,apple hardware,6.9,23.71,12.93,10.78,37.93,7.76
511,apple hardware,15.25,15.25,13.56,10.17,32.2,13.56
512,apple hardware,13.58,12.35,12.35,14.81,33.33,13.58
513,apple hardware,7.83,22.17,10.43,8.7,45.22,5.65
514,apple hardware,16.29,14.03,11.76,8.14,37.56,12.22
515,apple hardware,1.48,1.62,1.35,1.35,92.72,1.48
516,apple hardware,2.58,2.36,2.15,2.36,88.41,2.15
517,apple hardware,7.33,10.67,9.33,8.67,54.67,9.33
518,apple hardware,12.12,15.91,13.64,15.91,27.27,15.15
519,apple hardware,7.66,16.17,7.23,13.19,45.11,10.64
520,apple hardware,11.24,10.65,12.43,12.43,43.2,10.06
521,apple hardware,9.89,12.09,11.54,24.18,29.12,13.19
522,apple hardware,4.23,17.46,14.02,10.58,47.88,5.82
523,apple hardware,11.38,9.76,10.57,9.76,48.78,9.76
524,apple hardware,4.82,10.29,15.11,13.18,47.91,8.68
525,apple hardware,7.8,16.59,12.2,16.1,38.05,9.27
526,apple hardware,3.48,8.23,5.06,7.59,69.94,5.7
527,apple hardware,9.57,12.17,9.57,9.57,48.7,10.43
528,electronics,11.76,14.93,9.05,29.86,23.53,10.86
529,apple hardware,12.18,10.08,7.56,10.08,51.68,8.4
530,apple hardware,13.51,13.9,11.97,16.22,35.91,8.49
531,apple hardware,15.48,15.48,11.9,13.1,29.76,14.29
532,apple hardware,3.83,5.11,6.07,5.75,74.76,4.47
533,apple hardware,10.69,11.32,9.43,10.69,49.06,8.81
534,apple hardware,4.65,20.93,20.27,17.61,25.25,11.3
535,apple hardware,6.75,13.5,12.27,12.27,48.47,6.75
536,apple hardware,8.97,15.17,10.34,14.48,38.62,12.41
537,apple hardware,8.9,10.96,9.59,10.27,48.63,11.64
538,apple hardware,7.39,8.52,7.39,9.09,59.66,7.95
539,apple hardware,9.7,17.58,11.52,10.91,36.97,13.33
540,apple hardware,10.19,15.29,9.55,13.38,45.22,6.37
541,apple hardware,10.85,12.4,15.5,14.73,34.88,11.63
542,apple hardware,20.59,10.78,14.71,15.69,28.43,9.8
543,apple hardware,7.74,11.9,10.12,19.05,39.88,11.31
544,apple hardware,5.24,20.22,11.99,10.86,45.69,5.99
545,apple hardware,9.92,14.88,15.7,11.57,38.02,9.92
546,apple hardware,13.77,11.59,7.25,15.94,39.13,12.32
547,apple hardware,10.95,14.29,7.62,11.9,42.86,12.38
548,apple hardware,5.44,12.13,20.5,9.62,44.77,7.53
549,apple hardware,8.55,11.11,15.38,9.4,44.44,11.11
550,apple hardware,7.05,15.38,12.18,10.9,41.03,13.46
551,apple hardware,7.0,13.0,10.0,18.0,42.5,9.5
552,apple hardware,10.71,10.71,7.14,9.52,46.43,15.48
553,apple hardware,8.16,12.76,8.16,11.73,50.0,9.18
554,apple hardware,7.38,11.41,12.75,12.75,44.3,11.41
555,guns,7.66,64.86,9.01,7.21,5.41,5.86
556,guns,1.98,82.07,3.73,4.19,4.19,3.84
557,guns,10.25,59.84,6.15,6.56,9.84,7.38
558,guns,2.1,75.97,11.91,5.25,1.94,2.83
559,guns,7.82,55.14,11.52,7.82,9.88,7.82
560,for sale,24.78,17.7,13.27,15.93,16.81,11.5
561,guns,4.3,66.89,8.61,5.3,5.63,9.27
562,for sale,33.33,17.78,11.11,13.33,11.11,13.33
563,religion misc,7.39,13.62,19.07,11.67,18.68,29.57
564,guns,10.18,30.54,13.77,14.37,12.57,18.56
565,apple hardware,9.94,23.39,13.45,13.45,23.98,15.79
566,apple hardware,9.3,25.0,12.79,8.14,29.65,15.12
567,apple hardware,6.0,27.0,12.0,10.5,30.0,14.5
568,apple hardware,9.3,18.6,10.08,13.95,26.36,21.71
569,guns,13.22,21.49,20.66,15.7,13.22,15.7
570,apple hardware,11.76,24.26,9.56,8.09,31.62,14.71
571,guns,5.92,28.99,13.61,9.47,28.99,13.02
572,guns,8.02,38.82,10.97,6.75,21.52,13.92
573,guns,12.57,36.13,12.57,10.47,14.66,13.61
574,guns,10.74,57.72,12.08,6.38,6.38,6.71
575,apple hardware,9.09,14.14,13.13,10.1,41.41,12.12
576,for sale,19.79,14.58,18.75,17.71,13.54,15.62
577,guns,5.1,71.67,5.67,6.52,5.38,5.67
578,guns,8.13,37.4,11.38,17.07,13.82,12.2
579,guns,10.23,30.7,15.35,12.56,11.16,20.0
580,guns,10.0,41.43,15.24,10.0,7.14,16.19
581,guns,4.24,70.9,8.19,5.93,4.52,6.21
582,guns,5.66,56.6,10.06,8.81,7.86,11.01
583,guns,8.29,63.21,7.77,7.25,6.74,6.74
584,guns,4.59,49.08,10.32,18.58,11.93,5.5
585,guns,10.81,38.51,11.49,11.49,12.84,14.86
586,guns,8.57,57.14,9.71,6.29,10.29,8.0
587,guns,8.2,61.07,7.79,5.33,10.66,6.97
588,guns,8.4,44.69,13.58,15.31,13.09,4.94
589,guns,18.24,34.12,12.35,9.41,15.29,10.59
590,guns,14.44,31.55,12.3,11.76,12.3,17.65
591,guns,17.45,26.17,10.74,11.41,11.41,22.82
592,guns,16.18,28.9,8.67,12.72,20.23,13.29
593,guns,10.48,48.39,10.08,9.27,12.9,8.87
594,guns,12.69,32.84,10.07,22.76,9.7,11.94
595,guns,11.32,32.7,11.32,13.21,8.81,22.64
596,guns,11.96,33.7,12.5,15.22,12.5,14.13
597,guns,12.42,47.71,11.11,9.8,9.15,9.8
598,guns,9.65,40.93,13.9,9.65,17.37,8.49
599,guns,7.32,61.46,8.78,7.8,8.78,5.85
600,guns,10.12,45.71,12.58,17.48,6.75,7.36
601,guns,12.18,38.01,17.34,15.13,8.86,8.49
602,apple hardware,15.91,14.2,14.77,15.34,28.98,10.8
603,guns,12.8,28.8,8.8,8.8,28.8,12.0
604,guns,11.83,41.4,10.22,9.68,11.29,15.59
605,guns,12.71,24.58,11.86,10.17,24.58,16.1
606,guns,16.16,18.69,16.16,17.68,13.64,17.68
607,guns,22.01,32.7,12.58,8.81,10.69,13.21
608,guns,4.35,66.96,9.57,4.64,8.41,6.09
609,guns,6.99,62.37,5.38,6.99,11.29,6.99
610,guns,6.67,62.73,4.09,11.21,10.3,5.0
611,guns,10.83,35.42,9.58,18.33,11.25,14.58
612,guns,6.32,68.03,7.81,6.32,5.95,5.58
613,guns,4.3,66.67,6.81,6.81,8.24,7.17
614,guns,9.03,51.54,10.21,16.39,3.8,9.03
615,guns,4.32,58.86,9.32,6.14,10.23,11.14
616,guns,10.5,46.58,9.59,12.33,12.33,8.68
617,guns,9.2,58.28,10.43,6.75,7.36,7.98
618,guns,7.48,66.82,6.54,6.07,7.48,5.61
619,guns,12.68,27.7,10.33,14.08,23.0,12.21
620,guns,14.88,38.84,9.09,13.64,14.46,9.09
621,guns,8.33,41.67,16.03,13.46,11.54,8.97
622,guns,5.08,42.58,18.75,9.38,14.06,10.16
623,guns,9.81,52.34,6.07,10.28,12.62,8.88
624,guns,16.53,27.27,16.53,9.09,14.88,15.7
625,guns,9.4,46.98,8.72,8.72,12.08,14.09
626,guns,8.76,46.91,13.4,12.89,9.79,8.25
627,guns,5.29,62.78,12.78,7.71,3.52,7.93
628,guns,14.86,24.57,11.43,12.0,21.14,16.0
629,guns,9.68,57.42,7.74,8.39,8.39,8.39
630,guns,2.92,54.1,20.72,9.04,4.59,8.62
631,guns,6.69,55.65,10.46,10.88,8.37,7.95
632,guns,7.86,45.95,18.81,15.0,4.52,7.86
633,guns,5.31,64.65,8.97,9.34,5.86,5.86
634,guns,7.27,49.7,10.3,9.7,11.52,11.52
635,guns,5.24,62.5,7.26,9.68,7.26,8.06
636,guns,5.35,62.53,10.95,10.22,6.57,4.38
637,guns,8.46,37.81,15.92,10.45,9.45,17.91
638,guns,6.84,48.29,12.39,19.23,6.62,6.62
639,apple hardware,15.91,20.45,9.85,12.12,28.79,12.88
640,guns,5.49,67.96,5.95,10.53,4.12,5.95
641,guns,6.6,61.61,11.0,9.78,5.13,5.87
642,guns,13.14,33.58,12.41,17.52,8.76,14.6
643,guns,4.37,51.6,9.33,10.5,8.45,15.74
644,electronics,14.29,19.05,12.93,19.73,19.73,14.29
645,guns,6.37,55.73,13.22,10.67,6.37,7.64
646,guns,11.72,34.48,9.66,12.41,20.0,11.72
647,guns,5.12,47.78,9.9,11.95,13.99,11.26
648,guns,2.91,56.12,18.25,7.96,5.05,9.71
649,religion misc,8.4,24.43,13.74,14.5,10.69,28.24
650,guns,10.99,44.51,10.99,14.29,10.99,8.24
651,guns,15.62,45.09,7.59,15.62,5.8,10.27
652,guns,5.9,51.74,16.09,8.31,5.09,12.87
653,apple hardware,15.19,13.29,10.76,13.29,39.87,7.59
654,apple hardware,11.6,23.76,9.94,9.94,35.91,8.84
655,apple hardware,19.38,10.13,16.74,7.05,39.21,7.49
656,apple hardware,11.51,20.86,9.35,13.67,31.65,12.95
657,apple hardware,18.66,17.91,9.7,10.45,24.63,18.66
658,for sale,30.28,7.75,9.86,15.49,27.46,9.15
659,for sale,36.63,7.56,9.88,16.86,19.19,9.88
660,for sale,25.24,13.59,11.65,13.59,24.27,11.65
661,apple hardware,16.13,10.48,10.48,16.13,33.87,12.9
662,apple hardware,26.67,7.41,8.15,11.85,35.56,10.37
663,apple hardware,19.32,11.36,11.36,13.64,26.14,18.18
664,apple hardware,13.07,13.07,7.95,8.52,48.3,9.09
665,for sale,37.12,9.85,10.61,10.61,22.73,9.09
666,for sale,23.88,17.16,10.45,17.16,20.9,10.45
667,for sale,30.43,12.17,13.04,16.52,18.26,9.57
668,apple hardware,20.28,10.38,12.74,15.09,31.6,9.91
669,for sale,25.51,13.27,13.27,11.22,25.51,11.22
670,for sale,25.0,15.0,12.0,14.0,22.0,12.0
671,apple hardware,26.11,12.39,8.41,19.47,26.99,6.64
672,apple hardware,8.52,18.18,12.5,15.91,35.8,9.09
673,apple hardware,8.15,8.99,14.89,19.1,42.42,6.46
674,apple hardware,20.21,10.64,10.64,18.09,28.72,11.7
675,atheism,10.81,14.59,26.49,18.38,20.54,9.19
676,for sale,27.5,9.17,9.17,15.83,24.17,14.17
677,for sale,30.56,8.33,9.72,14.58,22.22,14.58
678,apple hardware,19.42,14.56,10.68,11.65,31.07,12.62
679,for sale,41.28,11.91,9.36,10.21,14.47,12.77
680,apple hardware,12.61,11.71,10.81,18.02,34.23,12.61
681,apple hardware,26.09,9.57,12.17,15.65,26.96,9.57
682,for sale,27.87,10.38,16.94,16.94,19.67,8.2
683,apple hardware,18.6,13.18,8.53,17.05,29.46,13.18
684,apple hardware,18.02,7.56,9.88,11.05,46.51,6.98
685,apple hardware,19.48,8.44,16.88,12.34,32.47,10.39
686,apple hardware,23.58,9.43,11.32,16.04,28.3,11.32
687,apple hardware,22.98,13.66,12.42,9.32,34.78,6.83
688,apple hardware,14.97,7.19,11.98,20.36,34.73,10.78
689,apple hardware,9.68,15.59,8.06,10.22,50.0,6.45
690,apple hardware,17.59,10.19,12.96,13.89,32.41,12.96
691,apple hardware,28.41,9.66,9.66,15.34,30.11,6.82
692,apple hardware,12.24,13.27,13.27,14.29,34.69,12.24
693,apple hardware,20.16,11.63,9.3,16.28,31.01,11.63
694,electronics,8.89,11.11,15.0,32.78,17.78,14.44
695,for sale,26.04,15.62,11.46,13.54,21.88,11.46
696,apple hardware,16.4,10.58,7.41,11.11,41.27,13.23
697,apple hardware,17.39,11.41,15.22,11.41,36.41,8.15
698,apple hardware,10.04,24.02,10.48,13.54,27.51,14.41
699,electronics,17.02,15.43,9.57,24.47,22.34,11.17
700,apple hardware,13.43,10.45,13.43,10.45,44.03,8.21
701,apple hardware,21.89,14.93,6.97,12.44,32.84,10.95
702,for sale,49.63,5.88,9.93,20.59,9.56,4.41
703,apple hardware,20.81,14.77,12.08,10.74,31.54,10.07
704,apple hardware,11.21,11.21,12.15,12.15,42.06,11.21
705,for sale,28.89,9.63,8.15,17.78,20.74,14.81
706,apple hardware,24.83,11.03,9.66,15.17,30.34,8.97
707,apple hardware,19.09,18.18,10.91,17.27,24.55,10.0
708,for sale,33.33,17.58,6.67,18.79,16.36,7.27
709,apple hardware,12.71,14.41,11.02,20.34,28.81,12.71
710,apple hardware,15.08,11.73,14.53,16.76,34.08,7.82
711,apple hardware,13.5,12.27,10.43,7.98,42.94,12.88
712,for sale,26.72,12.93,12.93,20.69,15.52,11.21
713,apple hardware,19.09,13.64,10.91,17.27,27.27,11.82
714,apple hardware,17.28,15.43,11.73,20.37,27.16,8.02
715,apple hardware,12.56,16.58,14.57,15.58,34.17,6.53
716,apple hardware,11.11,12.22,9.44,21.11,33.89,12.22
717,apple hardware,18.49,11.76,10.08,10.92,35.29,13.45
718,apple hardware,16.91,8.09,12.5,12.5,37.5,12.5
719,electronics,17.65,16.18,13.82,24.71,22.06,5.59
720,apple hardware,19.47,9.73,9.73,14.16,32.74,14.16
721,apple hardware,11.11,8.89,9.44,13.33,48.33,8.89
722,apple hardware,10.69,10.06,18.87,22.01,27.04,11.32
723,apple hardware,11.43,9.71,7.43,9.71,55.43,6.29
724,apple hardware,13.64,10.91,9.09,14.55,41.82,10.0
725,apple hardware,13.52,8.61,12.3,25.0,29.1,11.48
726,apple hardware,22.73,10.39,8.44,20.13,27.27,11.04
727,apple hardware,13.93,13.11,9.02,14.75,38.52,10.66
728,apple hardware,16.33,10.2,12.93,10.2,35.37,14.97
729,atheism,18.18,18.18,21.74,13.04,21.74,7.11
730,apple hardware,13.16,11.4,10.53,9.65,36.84,18.42
731,apple hardware,20.0,16.52,10.43,14.78,21.74,16.52
732,for sale,25.63,12.06,11.06,17.09,21.11,13.07
733,apple hardware,23.84,10.6,8.61,14.57,33.11,9.27
734,for sale,34.09,11.36,9.09,15.91,21.59,7.95
735,apple hardware,16.23,12.34,12.99,22.08,25.32,11.04
736,for sale,27.73,9.24,10.08,23.53,15.13,14.29
737,apple hardware,8.82,9.41,10.59,16.47,45.29,9.41
738,electronics,13.46,5.5,7.95,47.71,19.88,5.5
739,electronics,11.31,4.28,8.87,46.48,22.63,6.42
740,apple hardware,18.9,9.15,6.1,19.51,34.76,11.59
741,apple hardware,9.91,8.49,14.62,18.4,43.87,4.72
742,apple hardware,9.09,9.79,9.79,11.89,50.35,9.09
743,apple hardware,19.44,15.28,9.72,19.44,27.08,9.03
744,apple hardware,10.79,15.35,13.69,13.28,38.17,8.71
745,for sale,39.53,9.3,9.3,11.63,19.38,10.85
746,for sale,43.48,9.57,9.57,14.78,13.04,9.57
747,for sale,25.0,8.33,12.5,21.43,22.62,10.12
748,apple hardware,14.29,10.88,10.2,12.93,38.78,12.93
749,for sale,41.26,10.49,10.49,12.59,10.49,14.69
750,apple hardware,12.22,9.44,7.22,15.0,40.0,16.11
751,apple hardware,10.13,7.76,9.27,14.44,50.22,8.19
752,for sale,43.84,8.22,8.9,13.7,15.75,9.59
753,apple hardware,8.93,10.12,11.31,26.79,36.9,5.95
754,for sale,48.24,10.98,7.06,10.98,15.69,7.06
755,apple hardware,8.54,9.55,11.56,9.05,46.73,14.57
756,apple hardware,12.73,11.82,12.73,13.64,36.36,12.73
757,apple hardware,15.97,14.29,11.76,17.65,30.25,10.08
758,apple hardware,9.21,16.45,9.21,14.47,39.47,11.18
759,apple hardware,16.52,11.3,8.7,13.91,39.13,10.43
760,apple hardware,13.53,10.63,10.63,12.56,41.55,11.11
761,for sale,39.04,11.23,8.02,19.25,14.97,7.49
762,apple hardware,10.19,15.28,6.94,15.28,42.59,9.72
763,apple hardware,11.76,10.78,14.71,16.67,32.35,13.73
764,apple hardware,10.46,10.04,9.21,11.3,52.3,6.69
765,apple hardware,8.1,12.86,13.81,15.71,39.52,10.0
766,apple hardware,9.73,11.5,9.73,11.5,47.79,9.73
767,for sale,28.15,12.59,12.59,16.3,20.0,10.37
768,apple hardware,16.5,12.5,10.5,16.0,38.0,6.5
769,for sale,45.5,10.05,14.29,12.7,9.52,7.94
770,for sale,33.54,8.7,11.8,18.63,16.15,11.18
771,apple hardware,13.87,9.49,10.95,14.6,37.96,13.14
772,apple hardware,14.72,16.56,7.98,14.72,37.42,8.59
773,apple hardware,12.96,12.96,10.49,20.99,30.25,12.35
774,apple hardware,18.87,9.43,8.81,10.69,41.51,10.69
775,apple hardware,17.8,14.41,13.98,19.49,27.54,6.78
776,apple hardware,16.77,14.29,11.18,16.15,30.43,11.18
777,apple hardware,15.91,17.05,14.77,14.77,23.86,13.64
778,apple hardware,13.61,14.2,13.02,17.16,33.14,8.88
779,electronics,27.47,10.26,7.69,37.73,12.45,4.4
780,apple hardware,23.27,8.81,9.43,18.24,29.56,10.69
781,apple hardware,17.31,9.62,9.62,13.46,36.54,13.46
782,apple hardware,19.02,6.34,17.56,11.71,30.24,15.12
783,apple hardware,12.59,22.96,7.41,14.07,29.63,13.33
784,for sale,25.13,10.47,9.42,21.47,24.08,9.42
785,guns,15.17,27.59,12.41,19.31,13.1,12.41
786,apple hardware,22.83,10.87,10.87,14.13,28.26,13.04
787,for sale,23.66,9.68,9.14,20.97,21.51,15.05
788,for sale,28.4,11.11,15.43,14.81,18.52,11.73
789,apple hardware,15.32,15.32,10.81,16.22,32.43,9.91
790,for sale,28.7,12.96,11.11,12.04,24.07,11.11
791,for sale,33.78,12.84,10.14,14.19,17.57,11.49
792,apple hardware,21.5,13.08,14.02,11.21,28.97,11.21
793,electronics,18.5,9.83,8.09,27.75,24.86,10.98
794,apple hardware,13.73,12.75,10.78,12.75,33.33,16.67
795,apple hardware,16.19,11.43,10.48,14.29,36.19,11.43
796,apple hardware,11.45,10.24,6.63,16.87,45.78,9.04
797,for sale,28.92,15.66,12.05,13.25,16.87,13.25
798,apple hardware,17.59,14.81,12.04,9.26,32.41,13.89
799,for sale,28.3,10.69,14.47,17.61,19.5,9.43
800,for sale,31.34,11.44,13.43,14.43,21.39,7.96
801,apple hardware,22.41,10.34,9.2,19.54,30.46,8.05
802,for sale,30.98,9.78,8.15,16.3,25.0,9.78
803,apple hardware,24.77,11.68,8.41,16.82,28.97,9.35
804,for sale,42.11,16.32,8.42,11.05,15.79,6.32
805,apple hardware,19.13,11.3,10.43,10.43,35.65,13.04
806,for sale,31.28,9.5,12.85,22.91,13.41,10.06
807,apple hardware,17.73,12.06,13.48,17.02,29.08,10.64
808,for sale,27.88,21.68,14.16,11.95,15.93,8.41
809,for sale,25.45,11.52,16.97,20.61,16.97,8.48
810,electronics,16.13,14.52,11.29,25.0,21.77,11.29
811,apple hardware,21.74,10.14,15.22,11.59,31.16,10.14
812,for sale,19.18,15.07,15.07,13.7,19.18,17.81
813,apple hardware,6.47,8.62,13.36,15.52,47.84,8.19
814,for sale,29.06,10.26,11.97,12.82,24.79,11.11
815,apple hardware,21.21,12.12,13.13,15.15,26.26,12.12
816,electronics,15.67,14.18,12.69,31.34,17.91,8.21
817,electronics,19.5,8.5,7.5,30.5,24.5,9.5
818,for sale,36.51,11.9,10.32,14.29,17.46,9.52
819,apple hardware,16.96,12.5,13.39,16.07,26.79,14.29
820,apple hardware,20.69,12.93,11.21,16.38,23.28,15.52
821,apple hardware,15.62,15.62,13.54,15.62,23.96,15.62
822,apple hardware,10.39,11.69,14.29,12.34,40.26,11.04
823,for sale,32.06,9.16,12.21,13.74,21.37,11.45
824,for sale,26.03,13.01,15.75,13.01,17.12,15.07
825,apple hardware,28.66,9.15,9.15,10.98,32.32,9.76
826,apple hardware,12.02,10.93,8.74,17.49,40.98,9.84
827,for sale,22.32,14.29,15.18,10.71,22.32,15.18
828,for sale,26.21,11.65,16.5,13.59,19.42,12.62
829,apple hardware,15.44,8.82,15.44,13.24,36.03,11.03
830,for sale,22.0,17.0,15.0,14.0,20.0,12.0
831,for sale,21.62,18.92,13.51,14.86,17.57,13.51
832,apple hardware,20.2,10.1,10.1,14.14,31.31,14.14
833,apple hardware,23.72,12.18,13.46,14.1,26.92,9.62
834,apple hardware,13.57,9.29,9.29,14.29,44.29,9.29
835,apple hardware,23.03,9.87,9.21,16.45,26.97,14.47
836,apple hardware,16.16,14.14,14.14,19.19,25.25,11.11
837,for sale,25.81,11.29,7.66,16.94,21.77,16.53
838,for sale,30.13,7.69,8.97,19.87,21.15,12.18
839,for sale,43.14,11.11,8.5,14.38,11.76,11.11
840,apple hardware,14.48,8.6,11.76,19.0,40.27,5.88
841,apple hardware,15.86,8.81,11.89,18.06,39.65,5.73
842,apple hardware,9.4,12.41,7.14,18.8,46.99,5.26
843,apple hardware,14.42,10.58,10.58,19.23,32.69,12.5
844,apple hardware,11.11,12.12,10.1,16.16,38.38,12.12
845,apple hardware,12.96,14.81,12.96,18.52,26.85,13.89
846,apple hardware,24.53,12.26,11.32,9.43,31.13,11.32
847,apple hardware,27.91,11.16,9.77,10.23,29.3,11.63
848,for sale,38.81,10.95,10.45,14.43,18.91,6.47
849,apple hardware,16.0,20.8,13.6,9.6,28.8,11.2
850,for sale,28.29,16.45,9.87,17.11,14.47,13.82
851,electronics,20.28,11.32,15.57,22.64,19.34,10.85
852,apple hardware,12.4,9.92,11.57,11.57,43.8,10.74
853,electronics,11.84,16.82,8.1,40.19,15.58,7.48
854,apple hardware,24.5,9.64,8.03,22.09,24.9,10.84
855,electronics,16.67,13.25,10.26,41.45,10.68,7.69
856,for sale,65.07,7.68,4.99,8.45,11.13,2.69
857,electronics,25.69,9.17,9.17,40.37,8.26,7.34
858,apple hardware,19.09,11.82,10.91,13.64,29.09,15.45
859,for sale,32.14,10.71,11.61,16.96,16.07,12.5
860,for sale,44.38,7.87,9.55,11.24,9.55,17.42
861,apple hardware,16.19,9.52,11.43,11.43,40.0,11.43
862,apple hardware,9.8,9.02,6.67,10.2,57.65,6.67
863,electronics,22.22,7.41,6.79,36.42,17.28,9.88
864,for sale,52.86,8.1,6.19,13.33,11.43,8.1
865,for sale,35.25,10.79,17.27,8.63,18.71,9.35
866,for sale,28.83,9.01,12.61,9.91,13.51,26.13
867,for sale,32.14,9.52,8.33,22.02,20.24,7.74
868,apple hardware,18.18,10.74,13.22,12.4,32.23,13.22
869,for sale,33.6,8.4,8.4,11.2,30.0,8.4
870,for sale,39.04,8.56,6.42,11.23,26.74,8.02
871,for sale,26.21,11.65,13.59,22.33,16.5,9.71
872,electronics,26.03,7.53,10.27,28.08,18.49,9.59
873,for sale,32.95,13.07,9.09,17.61,18.18,9.09
874,for sale,29.78,20.0,5.78,21.33,11.56,11.56
875,for sale,42.41,8.95,7.78,25.29,8.95,6.61
876,for sale,24.86,15.47,16.02,18.23,19.34,6.08
877,apple hardware,14.61,15.73,16.85,12.36,28.09,12.36
878,for sale,25.0,25.0,9.82,14.29,16.07,9.82
879,for sale,45.5,9.72,10.9,18.25,8.06,7.58
880,for sale,24.19,13.71,12.1,16.13,21.77,12.1
881,for sale,29.73,9.91,9.91,21.62,18.02,10.81
882,for sale,50.14,9.22,4.61,22.48,6.05,7.49
883,electronics,30.57,12.23,9.17,31.44,9.17,7.42
884,for sale,24.29,14.29,9.29,16.43,16.43,19.29
885,for sale,25.49,13.24,9.31,25.49,14.71,11.76
886,for sale,51.02,11.22,8.16,11.73,11.73,6.12
887,for sale,37.86,9.22,13.11,16.02,15.05,8.74
888,for sale,22.22,14.81,15.74,14.81,21.3,11.11
889,for sale,30.58,11.57,8.26,19.01,19.83,10.74
890,for sale,45.13,6.64,6.64,7.08,20.35,14.16
891,electronics,17.19,13.28,8.59,40.23,12.11,8.59
892,for sale,33.92,7.6,8.77,20.47,18.13,11.11
893,for sale,50.77,14.36,9.23,11.28,8.72,5.64
894,electronics,10.0,7.08,7.5,61.25,9.17,5.0
895,apple hardware,15.09,10.38,11.32,12.26,40.57,10.38
896,for sale,48.48,9.85,9.85,11.36,11.36,9.09
897,for sale,53.66,8.67,11.92,16.53,4.34,4.88
898,for sale,42.24,12.93,7.33,20.26,7.76,9.48
899,for sale,36.42,7.51,10.98,16.76,19.08,9.25
900,for sale,33.72,15.12,15.7,14.53,11.05,9.88
901,for sale,33.53,8.38,10.78,28.74,9.58,8.98
902,for sale,42.42,8.23,7.36,24.24,6.93,10.82
903,for sale,24.83,12.41,10.34,21.38,23.45,7.59
904,for sale,29.17,12.5,10.42,12.5,14.58,20.83
905,for sale,36.75,9.89,10.25,28.98,6.71,7.42
906,electronics,23.81,9.52,11.43,25.71,17.14,12.38
